FROM,TO,HBCollege,HBOther,HBRec,HBShop,HBWork,NHBNonWork,NHBWork,HBSchool,AllPurposes
Northwest,Southwest,426.795538784,41841.3482853,10328.9718835,26805.349949,41351.0775029,28795.0083905,23338.2784661,0.0,172886.830016
Northwest,West.Wash.Co,1192.96300322,56569.2890357,13589.6484187,24160.9032249,49539.6394415,28146.5268467,27522.4662313,0.0,200721.436202
Portland.Eastside,CBD,22543.9392507,49760.6174463,15896.1074841,21085.3102312,93340.1003011,33254.307233,25610.7770083,1550.86590813,263042.024863
Portland.Eastside,Clackamas.Co,6136.90319236,59705.4699577,14988.4947101,34465.7826341,58297.6548329,38814.734707,23188.0405549,0.0,235597.080589
Portland.Eastside,Clark.Co,86.4065999193,26206.0041676,2155.11685739,3371.42312443,20024.3486998,39302.1343253,58541.6066078,0.0,149687.040382
Portland.Eastside,East.Multnomah.Co,5377.70861273,81183.2458777,20191.2271972,33088.352511,64231.5895276,64072.4041596,40159.7430165,0.0,308304.270902
Portland.Eastside,Northwest,4280.65808962,61311.8516583,19856.5326556,15221.7208362,74861.4817617,41481.7295952,36472.8177359,3290.78415594,256777.576489
Portland.Eastside,Portland.Eastside,23530.5902063,511362.933909,164777.845026,213005.532998,291802.659617,517796.341709,333052.343408,143380.489608,2198708.73648
Portland.Eastside,Southwest,362.914682906,22040.5123241,4650.19053662,8359.74875499,40462.1177449,14397.2775641,11411.3544932,0.0,101684.116101
Portland.Eastside,West.Wash.Co,779.859123818,35381.8650667,6944.22974393,9965.37562777,57047.6630833,20575.0549186,18543.8581259,0.0,149237.90569
Southwest,CBD,5961.68604811,8118.48178336,2173.8504505,1137.75397295,26298.7316098,2629.03704685,1943.77131727,0.0,48263.3122289
Southwest,Clackamas.Co,6158.08212894,42800.6753682,11724.8599274,14384.0689136,49474.103737,17806.6697021,17656.5652772,0.0,160005.025054
Southwest,Clark.Co,6.35593339107,3004.05409125,169.884075686,108.022720477,8230.06158227,1935.26627851,5457.35667329,0.0,18911.0013549
Southwest,East.Multnomah.Co,1304.89676379,9654.15057232,2058.65275017,1291.3862526,16823.2637274,2825.19640884,2999.70719177,0.0,36957.2536669
Southwest,Northwest,15650.9588151,36625.8354808,9884.51147754,4003.26460954,36628.2320751,21958.6633806,19521.3644839,0.0,144272.830323
Southwest,Portland.Eastside,2298.01849299,38549.7534866,8349.49136608,5097.92728146,47158.6434119,13787.2921275,14995.7867683,0.0,130236.912935
Southwest,Southwest,3114.28353663,297751.688241,107058.231568,141565.272471,215111.112177,354078.11404,270404.310152,109017.018166,1498100.03035
Southwest,West.Wash.Co,2566.91814993,90193.9674962,23577.3885136,20124.0157923,71776.2085179,52206.9596673,44268.55086,16723.2578083,321437.266806
West.Wash.Co,CBD,14927.8022134,19971.2825323,5628.95667454,4126.42324136,57379.602043,4995.39998201,4539.06718519,0.0,111568.533872
West.Wash.Co,Clackamas.Co,4741.97107716,16964.1474347,4077.19504163,3104.61504253,41996.6868968,3999.35537931,3784.52041788,0.0,78668.49129
West.Wash.Co,Clark.Co,19.5623688262,6442.29815282,396.13845811,285.630104108,15374.999793,3109.35823586,8688.0624908,0.0,34316.0496035
West.Wash.Co,East.Multnomah.Co,2775.01176782,13640.7365658,2884.2340428,1978.13352844,30807.2455031,2965.16502931,3061.53893726,0.0,58112.0653745
West.Wash.Co,Northwest,18132.8922606,59076.5613488,17766.350137,7296.41375922,59624.6025394,20290.8658301,19561.7571758,0.0,201749.443051
West.Wash.Co,Portland.Eastside,5969.23988221,68318.3603662,15232.8250636,10240.2200826,99340.9450492,18136.2769331,19919.7674272,0.0,237157.634804
West.Wash.Co,Southwest,1723.71497377,124412.139154,30593.9607456,58373.8921801,115606.814302,59802.0572673,45811.6328845,14112.4743873,450436.685894
West.Wash.Co,West.Wash.Co,31869.0969383,829446.414804,279430.068188,325437.432855,536451.035823,555527.811752,497250.895577,256948.766925,3312361.52286
