ID,district,CBD,minority,lowengpro,age18or65,lowinc,minority_zone,lowengpro_zone,age18or65_zone,lowinc_zone,County,termini,Beaverton,Clackamas,ClarkCounty,ColumbiaCounty,Damascus,External,FairviewtoWoodVillagetoTroutdale,ForestGrove,Gateway,Gresham,HappyValley,Hillsboro,Lents,MilwaukietoLakeOswego,PortlandCentralCity,Rivergate,SherwoodtoNewberg,Tigard,Tualatin,Vancouver,WestLinntoOregonCity,WillametteValley,Wilsonville
1,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,CBD,1,0.224719101,0.061797753,0.224719101,0.857272759,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,CBD,1,0.2,0,0.2,0.857272759,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,CBD,1,0.218556701,0.053608247,0.220618557,0.783596411,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,CBD,1,0.189003436,0.021764032,0.184421535,0.628201698,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,CBD,1,0.220454545,0.055681818,0.221590909,0.816519125,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,CBD,1,0.212121212,0.060606061,0.242424242,0.857272759,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,CBD,1,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,CBD,1,0.27284345,0.095846645,0.16485623,0.475689423,1,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,CBD,1,0.308219178,0.068493151,0.215753425,0.276656819,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,CBD,1,0.337278107,0.035502959,0.230769231,0.092706571,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,CBD,1,0.26832018,0.114994363,0.196166855,0.47089154,1,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,CBD,1,0.317750183,0.057706355,0.218407597,0.1726173,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,CBD,1,0.338095238,0.033333333,0.228571429,0.092114881,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,CBD,1,0.337209302,0.034883721,0.227906977,0.092706571,1,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,CBD,1,0.160808436,0.005711775,0.194639719,0.308396896,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,CBD,1,0.173669468,0.008403361,0.212885154,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,CBD,1,0.144989339,0.002132196,0.172707889,0.214492498,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,CBD,1,0.17481203,0.009398496,0.214285714,0.336693205,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,CBD,1,0.175531915,0.008865248,0.214539007,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,CBD,1,0.17535545,0.009478673,0.213270142,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,CBD,1,0.141772152,0.002531646,0.167088608,0.229233451,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,CBD,1,0.175409836,0.008196721,0.213114754,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,CBD,1,0.17535545,0.008530806,0.214218009,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,CBD,1,0.181818182,0,0.204545455,0.356777359,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Northwest,0,0.112121212,0.012121212,0.342424242,0.474953757,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Northwest,0,0.125,0,0.3125,0.111152965,0,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Northwest,0,0.196132597,0.022099448,0.185082873,0.335209925,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Northwest,0,0.254071661,0.042345277,0.211726384,0.438535493,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Northwest,0,0.270017036,0.048551959,0.21890971,0.522778189,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Northwest,0,0.183982684,0.021645022,0.198593074,0.417462485,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Northwest,0,0.285353535,0.054292929,0.232323232,0.503633024,1,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Northwest,0,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,Northwest,0,0,0,0,0,0,0,0,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Northwest,0,0.145294441,0.020913594,0.270776004,0.292269039,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Northwest,0,0.082840237,0.003944773,0.467455621,0.042025697,0,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Northwest,0,0.11627907,0,0.511627907,0.091931607,0,0,1,0,Multnomah,Rivergate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,Northwest,0,0.123076923,0.015384615,0.415384615,0.036103115,0,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Northwest,0,0.172413793,0.034482759,0.586206897,0.020169901,0,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Northwest,0,0.18018018,0.022522523,0.608108108,0.020169901,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Northwest,0,0.174418605,0.023255814,0.604651163,0.020169901,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Northwest,0,0.178938356,0.022260274,0.607876712,0.034934052,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Northwest,0,0.174757282,0.019417476,0.59223301,0.026486038,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Northwest,0,0.178486998,0.022458629,0.608747045,0.045326628,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Northwest,0,0.180722892,0.024096386,0.614457831,0.020169901,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Northwest,0,0.161290323,0.016129032,0.580645161,0.030357292,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Northwest,0,0.114186851,0,0.494809689,0.096270984,0,0,1,0,Multnomah,Rivergate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Northwest,0,0.15625,0.013888889,0.569444444,0.035729987,0,0,1,0,Multnomah,ColumbiaCounty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Northwest,0,0.184466019,0.019417476,0.611650485,0.020169901,0,0,1,0,Multnomah,ColumbiaCounty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Northwest,0,0.05511811,0.002624672,0.594488189,0.145498679,0,0,1,0,Multnomah,ColumbiaCounty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Northwest,0,0.056782334,0.003154574,0.593059937,0.140186396,0,0,1,0,Multnomah,ColumbiaCounty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Northwest,0,0.19486271,0.017714792,0.191319752,0.451764326,0,0,0,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,Northwest,0,0.127724499,0.002615519,0.3326068,0.260267769,0,0,1,1,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Northwest,0,0.115384615,0.007211538,0.701923077,0.054689749,0,0,1,0,Multnomah,Beaverton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Northwest,0,0.181610247,0.020585544,0.418572736,0.19743812,0,0,1,0,Multnomah,PortlandCentralCity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
