PERSON GROUP,ACTIVITY PATTERN,Count,CHART
Full-time Worker,Home,82857,Activity Pattern
Full-time Worker,Mandatory,938383,Activity Pattern
Full-time Worker,Non-Mandatory,125421,Activity Pattern
Part-time Worker,Home,27379,Activity Pattern
Part-time Worker,Mandatory,158132,Activity Pattern
Part-time Worker,Non-Mandatory,65192,Activity Pattern
Non-worker,Home,96973,Activity Pattern
Non-worker,Non-Mandatory,295928,Activity Pattern
Retired,Home,75586,Activity Pattern
Retired,Non-Mandatory,215357,Activity Pattern
College Student,Home,26636,Activity Pattern
College Student,Mandatory,176935,Activity Pattern
College Student,Non-Mandatory,58255,Activity Pattern
Driving Age Student,Home,5306,Activity Pattern
Driving Age Student,Mandatory,95361,Activity Pattern
Driving Age Student,Non-Mandatory,2993,Activity Pattern
Non-driving Student,Home,5097,Activity Pattern
Non-driving Student,Mandatory,344984,Activity Pattern
Non-driving Student,Non-Mandatory,8187,Activity Pattern
Pre-school,Home,28262,Activity Pattern
Pre-school,Mandatory,104811,Activity Pattern
Pre-school,Non-Mandatory,76405,Activity Pattern
