PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,8,DISCRETIONARY,1345,1
FULL-TIME WORKER,8,EATING OUT,420,1
FULL-TIME WORKER,8,ESCORT,179,1
FULL-TIME WORKER,8,HOME,1121791,1
FULL-TIME WORKER,8,MAINTENANCE,788,1
FULL-TIME WORKER,8,SHOP,616,1
FULL-TIME WORKER,8,VISITING,265,1
FULL-TIME WORKER,8,WORK,21198,1
FULL-TIME WORKER,8,WORK-BASED,59,1
FULL-TIME WORKER,9,DISCRETIONARY,2934,1
FULL-TIME WORKER,9,EATING OUT,747,1
FULL-TIME WORKER,9,ESCORT,704,1
FULL-TIME WORKER,9,HOME,1095142,1
FULL-TIME WORKER,9,MAINTENANCE,1845,1
FULL-TIME WORKER,9,SHOP,1345,1
FULL-TIME WORKER,9,VISITING,526,1
FULL-TIME WORKER,9,WORK,43259,1
FULL-TIME WORKER,9,WORK-BASED,159,1
FULL-TIME WORKER,10,DISCRETIONARY,4582,1
FULL-TIME WORKER,10,EATING OUT,1019,1
FULL-TIME WORKER,10,ESCORT,2231,1
FULL-TIME WORKER,10,HOME,1031918,1
FULL-TIME WORKER,10,MAINTENANCE,3135,1
FULL-TIME WORKER,10,SHOP,2135,1
FULL-TIME WORKER,10,VISITING,766,1
FULL-TIME WORKER,10,WORK,100477,1
FULL-TIME WORKER,10,WORK-BASED,398,1
FULL-TIME WORKER,11,DISCRETIONARY,6113,1
FULL-TIME WORKER,11,EATING OUT,1111,1
FULL-TIME WORKER,11,ESCORT,4587,1
FULL-TIME WORKER,11,HOME,962949,1
FULL-TIME WORKER,11,MAINTENANCE,4704,1
FULL-TIME WORKER,11,SHOP,2780,1
FULL-TIME WORKER,11,VISITING,991,1
FULL-TIME WORKER,11,WORK,162710,1
FULL-TIME WORKER,11,WORK-BASED,716,1
FULL-TIME WORKER,12,DISCRETIONARY,7223,1
FULL-TIME WORKER,12,EATING OUT,1001,1
FULL-TIME WORKER,12,ESCORT,5539,1
FULL-TIME WORKER,12,HOME,861384,1
FULL-TIME WORKER,12,MAINTENANCE,6024,1
FULL-TIME WORKER,12,SHOP,3096,1
FULL-TIME WORKER,12,VISITING,1105,1
FULL-TIME WORKER,12,WORK,260118,1
FULL-TIME WORKER,12,WORK-BASED,1171,1
FULL-TIME WORKER,13,DISCRETIONARY,7697,1
