ZONE,PER,PERSONS NOT AT HOME
13,PER0,0
13,PER1,0
13,PER2,0
13,PER3,0
13,PER4,0
13,PER5,0
13,PER6,0
13,PER7,0
13,PER8,0
13,PER10,41
13,PER11,78
13,PER12,134
13,PER13,203
13,PER14,318
13,PER15,402
13,PER16,462
13,PER17,513
13,PER18,543
13,PER19,581
13,PER20,616
13,PER21,637
13,PER22,640
13,PER23,628
13,PER24,610
13,PER25,614
13,PER26,624
13,PER27,610
13,PER28,596
13,PER29,557
13,PER30,522
13,PER31,510
13,PER32,445
13,PER33,381
13,PER34,336
13,PER35,303
13,PER36,281
13,PER37,253
13,PER38,224
13,PER39,186
13,PER40,146
13,PER41,123
13,PER42,93
13,PER43,86
13,PER44,60
13,PER45,48
13,PER46,26
13,PER47,13
13,PER8,7
13,PER9,15
14,PER10,16
14,PER11,20
14,PER12,36
14,PER13,47
14,PER14,58
14,PER15,68
14,PER16,79
14,PER17,85
14,PER18,89
14,PER19,90
14,PER20,92
14,PER21,94
14,PER22,91
14,PER23,92
14,PER24,92
14,PER25,91
14,PER26,91
14,PER27,90
14,PER28,90
14,PER29,85
14,PER30,79
14,PER31,71
14,PER32,65
14,PER33,52
14,PER34,35
14,PER35,28
14,PER36,27
14,PER37,22
14,PER38,15
14,PER39,11
14,PER40,7
14,PER41,6
14,PER42,4
14,PER43,4
14,PER44,4
14,PER45,3
14,PER46,3
14,PER47,3
14,PER8,2
14,PER9,5
15,PER10,5572
15,PER11,7781
15,PER12,10323
15,PER13,13078
15,PER14,15489
15,PER15,17353
15,PER16,18660
15,PER17,19465
15,PER18,19997
15,PER19,20349
15,PER20,20671
15,PER21,20926
15,PER22,21288
15,PER23,21586
15,PER24,21739
15,PER25,21668
15,PER26,21668
15,PER27,21539
15,PER28,21176
15,PER29,20458
15,PER30,18967
15,PER31,17358
15,PER32,15513
15,PER33,13162
15,PER34,10381
15,PER35,8257
15,PER36,6882
15,PER37,5916
15,PER38,5048
15,PER39,4472
15,PER40,3964
15,PER41,3566
15,PER42,3178
15,PER43,2822
15,PER44,2502
15,PER45,2170
15,PER46,1820
15,PER47,1348
15,PER8,1466
15,PER9,2823
16,PER10,1662
16,PER11,2273
16,PER12,3044
16,PER13,3977
16,PER14,5028
16,PER15,5739
16,PER16,6208
16,PER17,6405
16,PER18,6556
16,PER19,6634
16,PER20,6691
16,PER21,6767
16,PER22,6802
16,PER23,6859
16,PER24,6893
16,PER25,6866
16,PER26,6847
16,PER27,6811
16,PER28,6624
16,PER29,6229
16,PER30,5622
16,PER31,5035
16,PER32,4447
16,PER33,3708
16,PER34,2889
16,PER35,2184
16,PER36,1722
16,PER37,1467
16,PER38,1195
16,PER39,1026
16,PER40,899
16,PER41,799
16,PER42,720
16,PER43,633
16,PER44,535
16,PER45,447
16,PER46,358
16,PER47,254
16,PER8,484
16,PER9,897
17,PER10,1
17,PER12,3
17,PER13,4
17,PER14,11
17,PER15,13
17,PER16,13
17,PER17,15
17,PER18,16
17,PER19,20
17,PER20,20
17,PER21,20
17,PER22,20
17,PER23,21
17,PER24,20
17,PER25,17
17,PER26,20
17,PER27,20
17,PER28,18
17,PER29,14
17,PER30,11
17,PER31,9
17,PER32,8
17,PER33,6
17,PER34,6
17,PER35,9
17,PER36,10
17,PER37,12
17,PER38,12
17,PER39,10
17,PER40,7
17,PER41,2
17,PER42,5
17,PER43,5
17,PER44,2
17,PER45,1
17,PER8,1
17,PER9,1
18,PER10,34
18,PER11,59
18,PER12,82
18,PER13,114
18,PER14,150
18,PER15,179
18,PER16,210
18,PER17,224
18,PER18,236
18,PER19,242
18,PER20,245
18,PER21,248
18,PER22,248
18,PER23,252
18,PER24,254
18,PER25,254
18,PER26,252
18,PER27,246
18,PER28,244
18,PER29,231
18,PER30,222
18,PER31,205
18,PER32,185
18,PER33,166
18,PER34,137
18,PER35,117
18,PER36,107
18,PER37,102
18,PER38,94
18,PER39,75
18,PER40,63
18,PER41,53
18,PER42,35
18,PER43,25
18,PER44,22
18,PER45,17
18,PER46,14
18,PER47,6
18,PER8,12
18,PER9,20
19,PER10,2
19,PER11,2
19,PER12,4
19,PER13,7
19,PER14,16
19,PER15,15
19,PER16,18
19,PER17,19
19,PER18,22
19,PER19,18
19,PER20,17
19,PER21,17
19,PER22,17
19,PER23,18
19,PER24,18
19,PER25,18
19,PER26,21
19,PER27,20
19,PER28,20
19,PER29,17
19,PER30,14
19,PER31,14
19,PER32,17
19,PER33,17
19,PER34,18
19,PER35,21
19,PER36,19
19,PER37,21
19,PER38,17
19,PER39,11
19,PER40,5
19,PER41,1
19,PER8,1
19,PER9,1
20,PER10,5
20,PER11,7
20,PER12,9
20,PER13,12
20,PER14,19
20,PER15,22
20,PER16,24
20,PER17,27
20,PER18,28
20,PER19,29
20,PER20,31
20,PER21,33
20,PER22,34
20,PER23,34
20,PER24,34
20,PER25,35
20,PER26,33
20,PER27,32
20,PER28,33
20,PER29,31
20,PER30,29
20,PER31,29
20,PER32,28
20,PER33,25
20,PER34,23
20,PER35,18
20,PER36,16
20,PER37,12
20,PER38,12
20,PER39,13
20,PER40,8
20,PER41,8
20,PER42,6
20,PER43,6
20,PER44,5
20,PER45,4
20,PER46,4
20,PER47,2
20,PER8,2
20,PER9,4
21,PER10,15
21,PER11,21
21,PER12,38
21,PER13,54
21,PER14,77
21,PER15,90
21,PER16,98
21,PER17,106
21,PER18,108
21,PER19,108
21,PER20,113
21,PER21,111
21,PER22,116
21,PER23,115
21,PER24,115
21,PER25,114
21,PER26,111
21,PER27,114
21,PER28,111
21,PER29,107
21,PER30,102
21,PER31,93
21,PER32,86
21,PER33,74
21,PER34,67
21,PER35,44
21,PER36,43
21,PER37,39
21,PER38,33
21,PER39,26
21,PER40,21
21,PER41,17
21,PER42,16
21,PER43,8
21,PER44,7
21,PER45,6
21,PER46,4
21,PER47,2
21,PER8,2
21,PER9,8
22,PER13,1
22,PER14,2
22,PER15,2
22,PER16,6
22,PER17,7
22,PER18,8
22,PER19,8
22,PER20,8
22,PER21,7
22,PER22,7
22,PER23,7
22,PER24,7
22,PER25,6
22,PER26,2
22,PER27,3
22,PER28,3
22,PER29,3
22,PER30,4
22,PER31,9
22,PER32,13
22,PER33,13
22,PER34,16
22,PER35,15
22,PER36,19
22,PER37,19
22,PER38,19
22,PER39,17
22,PER40,9
22,PER41,5
22,PER42,1
22,PER43,1
22,PER44,1
22,PER45,2
22,PER46,2
22,PER47,1
23,PER10,3
23,PER11,3
23,PER12,3
23,PER13,4
23,PER14,3
23,PER15,4
23,PER16,4
23,PER17,4
23,PER18,6
23,PER19,6
23,PER20,6
23,PER21,6
23,PER22,5
23,PER23,6
23,PER24,5
23,PER25,4
23,PER26,3
23,PER27,4
23,PER28,4
23,PER29,4
23,PER30,4
23,PER31,4
23,PER32,4
23,PER33,4
23,PER34,2
23,PER35,3
23,PER36,3
23,PER9,3
24,PER10,5
24,PER11,7
24,PER12,16
24,PER13,21
24,PER14,32
24,PER15,43
24,PER16,47
24,PER17,62
24,PER18,64
24,PER19,68
24,PER20,68
24,PER21,69
24,PER22,67
24,PER23,69
24,PER24,61
24,PER25,65
24,PER26,63
24,PER27,59
24,PER28,58
24,PER29,59
24,PER30,63
24,PER31,74
24,PER32,83
24,PER33,92
24,PER34,96
24,PER35,101
24,PER36,114
24,PER37,110
24,PER38,97
24,PER39,86
24,PER40,66
24,PER41,53
24,PER42,27
24,PER43,20
24,PER44,20
24,PER45,16
24,PER46,12
24,PER47,6
24,PER8,1
24,PER9,4
25,PER32,2
25,PER33,2
25,PER34,2
25,PER35,2
25,PER36,2
25,PER37,2
25,PER38,2
26,PER10,8
26,PER11,10
26,PER12,16
26,PER13,24
26,PER14,41
26,PER15,54
26,PER16,65
26,PER17,75
26,PER18,79
26,PER19,80
26,PER20,79
26,PER21,80
26,PER22,77
26,PER23,71
26,PER24,70
26,PER25,68
26,PER26,66
26,PER27,68
26,PER28,67
26,PER29,66
26,PER30,68
26,PER31,62
26,PER32,70
26,PER33,69
26,PER34,66
26,PER35,80
26,PER36,94
26,PER37,93
26,PER38,87
26,PER39,67
26,PER40,57
26,PER41,49
26,PER42,26
26,PER43,20
26,PER44,18
26,PER45,12
26,PER46,6
26,PER47,1
26,PER8,3
26,PER9,3
27,PER12,1
27,PER13,5
27,PER14,17
27,PER15,19
27,PER16,16
27,PER17,15
27,PER18,12
27,PER19,11
27,PER20,9
27,PER21,9
27,PER22,10
27,PER23,9
27,PER24,9
27,PER25,9
27,PER26,9
27,PER27,9
27,PER28,10
27,PER29,9
27,PER30,12
27,PER31,11
27,PER32,11
27,PER33,12
27,PER34,11
27,PER35,16
27,PER36,19
27,PER37,18
27,PER38,17
27,PER39,12
27,PER40,10
27,PER41,9
27,PER42,6
27,PER43,6
27,PER44,6
27,PER45,4
27,PER46,2
27,PER47,1
28,PER10,5
28,PER11,8
28,PER12,8
28,PER13,16
28,PER14,32
28,PER15,39
28,PER16,47
28,PER17,42
28,PER18,43
28,PER19,46
28,PER20,46
28,PER21,49
28,PER22,48
28,PER23,46
28,PER24,45
28,PER25,44
28,PER26,42
28,PER27,41
28,PER28,37
28,PER29,35
28,PER30,29
28,PER31,24
28,PER32,18
28,PER33,16
28,PER34,20
28,PER35,19
28,PER36,20
28,PER37,15
28,PER38,18
28,PER39,13
28,PER40,10
28,PER41,9
28,PER42,7
28,PER43,7
28,PER44,6
28,PER45,1
28,PER8,2
28,PER9,2
29,PER10,2
29,PER11,4
29,PER12,6
29,PER13,8
29,PER14,18
29,PER15,20
29,PER16,24
29,PER17,25
29,PER18,23
29,PER19,24
29,PER20,21
29,PER21,20
29,PER22,20
29,PER23,20
29,PER24,18
29,PER25,18
29,PER26,18
29,PER27,19
29,PER28,20
29,PER29,18
29,PER30,15
29,PER31,16
29,PER32,15
29,PER33,13
29,PER34,8
29,PER35,6
29,PER36,4
29,PER37,4
29,PER38,4
29,PER39,4
29,PER40,1
29,PER41,1
29,PER42,1
29,PER43,1
29,PER44,1
29,PER45,1
29,PER8,2
29,PER9,2
30,PER10,17
30,PER11,31
30,PER12,46
30,PER13,70
30,PER14,99
30,PER15,118
30,PER16,134
30,PER17,146
30,PER18,151
30,PER19,157
30,PER20,160
30,PER21,161
30,PER22,169
30,PER23,174
30,PER24,179
30,PER25,167
30,PER26,159
30,PER27,154
30,PER28,153
30,PER29,151
30,PER30,137
30,PER31,125
30,PER32,113
30,PER33,101
30,PER34,92
30,PER35,79
30,PER36,70
30,PER37,54
30,PER38,50
30,PER39,44
30,PER40,43
30,PER41,38
30,PER42,23
30,PER43,18
30,PER44,17
30,PER45,14
30,PER46,9
30,PER47,6
30,PER8,6
30,PER9,9
31,PER10,16
31,PER11,27
31,PER12,47
31,PER13,57
31,PER14,90
31,PER15,109
31,PER16,139
31,PER17,161
31,PER18,182
31,PER19,191
31,PER20,194
31,PER21,193
31,PER22,192
31,PER23,187
31,PER24,189
31,PER25,189
31,PER26,169
31,PER27,176
31,PER28,186
31,PER29,181
31,PER30,189
31,PER31,205
31,PER32,211
31,PER33,231
31,PER34,243
31,PER35,253
31,PER36,284
31,PER37,267
31,PER38,246
31,PER39,226
31,PER40,184
31,PER41,155
31,PER42,99
31,PER43,73
31,PER44,56
31,PER45,41
31,PER46,30
31,PER47,13
31,PER8,4
31,PER9,6
32,PER10,2
32,PER11,1
32,PER12,1
32,PER13,7
