ZONE,COUNTY,DailyTruckTrips,QUANTITY
1,DistrictofColumbia,Heavy_Trucks,5981.64076535654
1,DistrictofColumbia,Light_Trucks,47572.5956970384
1,DistrictofColumbia,Medium_Trucks,56352.7799354473
2,AnneArundel,Heavy_Trucks,6743.11516711634
2,AnneArundel,Light_Trucks,33267.3994261386
2,AnneArundel,Medium_Trucks,43324.635932253
3,Carroll,Heavy_Trucks,2234.42649894011
3,Carroll,Light_Trucks,2002.18410002
3,Carroll,Medium_Trucks,10085.0628917569
4,KingGeorge,Heavy_Trucks,747.711783341232
4,KingGeorge,Light_Trucks,467.345907615163
4,KingGeorge,Medium_Trucks,1200.6643644769
5,Charles,Heavy_Trucks,1330.13746840005
5,Charles,Light_Trucks,7923.42318624392
5,Charles,Medium_Trucks,10056.8725694947
6,Frederick,Heavy_Trucks,8068.55376859448
6,Frederick,Light_Trucks,9379.23974334053
6,Frederick,Medium_Trucks,30118.6924365711
7,Montgomery,Heavy_Trucks,10282.6389084116
7,Montgomery,Light_Trucks,69374.2299926023
7,Montgomery,Medium_Trucks,74793.7722907437
8,Loudoun,Heavy_Trucks,5985.7530988353
8,Loudoun,Light_Trucks,36341.0087352546
8,Loudoun,Medium_Trucks,26293.0391377773
9,Stafford,Heavy_Trucks,3200.08852473423
9,Stafford,Light_Trucks,6941.85745464967
9,Stafford,Medium_Trucks,5604.51562466003
10,Jefferson,Heavy_Trucks,142.967315236192
10,Jefferson,Light_Trucks,223.849355579929
10,Jefferson,Medium_Trucks,3214.70978074817
11,Fauquier,Heavy_Trucks,1048.73813293486
11,Fauquier,Light_Trucks,1581.50501566662
11,Fauquier,Medium_Trucks,3492.79211269843
12,St.Marys,Heavy_Trucks,1099.02004309587
12,St.Marys,Light_Trucks,3335.60461141959
12,St.Marys,Medium_Trucks,9627.75834279794
13,Fairfax,Heavy_Trucks,12451.1576843597
13,Fairfax,Light_Trucks,99305.502704835
13,Fairfax,Medium_Trucks,45880.7649802143
14,Howard,Heavy_Trucks,5234.26597323332
14,Howard,Light_Trucks,16091.391463375
14,Howard,Medium_Trucks,20603.7858977792
15,Calvert,Heavy_Trucks,743.169452845985
15,Calvert,Light_Trucks,3095.63138192793
15,Calvert,Medium_Trucks,6202.40733187981
16,PrinceWilliam,Heavy_Trucks,6864.62168434885
16,PrinceWilliam,Light_Trucks,33802.3084442377
16,PrinceWilliam,Medium_Trucks,23611.70964922
17,Clarke,Heavy_Trucks,77.1185296893071
17,Clarke,Light_Trucks,167.827431954539
17,Clarke,Medium_Trucks,450.816557332968
18,FallsChurch,Heavy_Trucks,95.6480667920307
18,FallsChurch,Light_Trucks,1038.50801265925
18,FallsChurch,Medium_Trucks,607.972559472419
19,Fredericksburg,Heavy_Trucks,1018.79212046723
19,Fredericksburg,Light_Trucks,3660.69667707229
19,Fredericksburg,Medium_Trucks,1286.08568742814
20,ManassasPark,Heavy_Trucks,86.6377540669114
20,ManassasPark,Light_Trucks,1414.65920014047
20,ManassasPark,Medium_Trucks,641.727053463137
21,Alexandria,Heavy_Trucks,1557.3972719466
21,Alexandria,Light_Trucks,14388.021260345
21,Alexandria,Medium_Trucks,7238.71636587315
22,FairfaxCity,Heavy_Trucks,860.425237801911
22,FairfaxCity,Light_Trucks,3267.1242702634
22,FairfaxCity,Medium_Trucks,1666.56184092079
23,Arlington,Heavy_Trucks,1423.71549088493
23,Arlington,Light_Trucks,27489.7710491952
23,Arlington,Medium_Trucks,14138.8384049061
24,Manassas,Heavy_Trucks,469.347715618186
24,Manassas,Light_Trucks,2886.01657775408
24,Manassas,Medium_Trucks,2275.29419679531
25,PrinceGeorges,Heavy_Trucks,22395.374099946
25,PrinceGeorges,Light_Trucks,79878.8362694038
25,PrinceGeorges,Medium_Trucks,87529.4440644824
26,Spotsylvania,Heavy_Trucks,1332.97963533743
26,Spotsylvania,Light_Trucks,3476.12771263629
26,Spotsylvania,Medium_Trucks,4710.12155153752
