AXIS,CHART,QUANTITY
Heavy_Trucks VMT,DistrictofColumbia,50287.9339625785
Heavy_Trucks VMT,PrinceWilliam,95515.6443196512
Heavy_Trucks VMT,Stafford,79728.517956915
Heavy_Trucks VMT,Arlington,10181.595304033
Heavy_Trucks VMT,Alexandria,17746.3759521051
Heavy_Trucks VMT,Fairfax,192981.499653314
Heavy_Trucks VMT,FairfaxCity,14554.9211255156
Heavy_Trucks VMT,FallsChurch,674.449868360327
Heavy_Trucks VMT,Loudoun,73639.3047558261
Heavy_Trucks VMT,Manassas,5935.5642893708
Heavy_Trucks VMT,ManassasPark,1209.18944957688
Heavy_Trucks VMT,KingGeorge,18997.6911262146
Heavy_Trucks VMT,Fredericksburg,14964.2670999249
Heavy_Trucks VMT,Spotsylvania,30481.1433720017
Heavy_Trucks VMT,Fauquier,25230.4351257293
Heavy_Trucks VMT,Clarke,1937.76142051566
Heavy_Trucks VMT,Jefferson,3184.21702815013
Heavy_Trucks VMT,Montgomery,115304.241417559
Heavy_Trucks VMT,PrinceGeorges,402857.651968091
Heavy_Trucks VMT,Frederick,197207.213708615
Heavy_Trucks VMT,Howard,73218.4604044111
Heavy_Trucks VMT,AnneArundel,94780.3756605154
Heavy_Trucks VMT,Charles,26951.3336888797
Heavy_Trucks VMT,Carroll,40459.7600099273
Heavy_Trucks VMT,Calvert,16237.5587867441
Heavy_Trucks VMT,St.Marys,21344.5312507317
Medium_Trucks VMT,DistrictofColumbia,322119.133079534
Medium_Trucks VMT,PrinceWilliam,211345.166024808
Medium_Trucks VMT,Stafford,66327.9989560024
Medium_Trucks VMT,Arlington,83448.4944090941
Medium_Trucks VMT,Alexandria,53234.9645657447
Medium_Trucks VMT,Fairfax,381218.853150945
Medium_Trucks VMT,FairfaxCity,15070.0014035982
Medium_Trucks VMT,FallsChurch,4572.11950626216
Medium_Trucks VMT,Loudoun,261741.678652545
Medium_Trucks VMT,Manassas,25187.858536728
Medium_Trucks VMT,ManassasPark,8557.94257969272
Medium_Trucks VMT,KingGeorge,25254.2528920617
Medium_Trucks VMT,Fredericksburg,11891.4354994643
Medium_Trucks VMT,Spotsylvania,57811.6513330414
Medium_Trucks VMT,Fauquier,57727.6411570806
Medium_Trucks VMT,Clarke,10148.8000719632
Medium_Trucks VMT,Jefferson,37202.745753318
Medium_Trucks VMT,Montgomery,692679.77701305
Medium_Trucks VMT,PrinceGeorges,900181.873048091
Medium_Trucks VMT,Frederick,417741.430140829
Medium_Trucks VMT,Howard,214665.42438794
Medium_Trucks VMT,AnneArundel,458979.961789509
Medium_Trucks VMT,Charles,134985.065512253
Medium_Trucks VMT,Carroll,126413.79329716
Medium_Trucks VMT,Calvert,96803.681069841
Medium_Trucks VMT,St.Marys,122772.990498751
Light_Trucks VMT,DistrictofColumbia,334055.883078916
Light_Trucks VMT,PrinceWilliam,303717.464760063
Light_Trucks VMT,Stafford,84502.4816255081
Light_Trucks VMT,Arlington,171375.025302663
Light_Trucks VMT,Alexandria,87856.9605980182
Light_Trucks VMT,Fairfax,748186.269909138
Light_Trucks VMT,FairfaxCity,26678.2930704767
Light_Trucks VMT,FallsChurch,7355.32848430049
Light_Trucks VMT,Loudoun,422633.698129931
Light_Trucks VMT,Manassas,19718.2599161741
Light_Trucks VMT,ManassasPark,13834.2297028524
Light_Trucks VMT,KingGeorge,11325.6004029618
Light_Trucks VMT,Fredericksburg,31764.8492147557
Light_Trucks VMT,Spotsylvania,36684.2668885949
Light_Trucks VMT,Fauquier,36160.0764818519
Light_Trucks VMT,Clarke,4674.36624490978
Light_Trucks VMT,Jefferson,8665.87221672632
Light_Trucks VMT,Montgomery,559456.06736335
Light_Trucks VMT,PrinceGeorges,749873.498062137
Light_Trucks VMT,Frederick,119604.396560386
Light_Trucks VMT,Howard,182687.631814451
Light_Trucks VMT,AnneArundel,423301.600862022
Light_Trucks VMT,Charles,95097.535389081
Light_Trucks VMT,Carroll,37299.0998319147
Light_Trucks VMT,Calvert,59101.5871556221
Light_Trucks VMT,St.Marys,63812.1689626463
