ZONE,PER,PERSONS NOT AT HOME
13,PER0,0
13,PER1,0
13,PER2,0
13,PER3,0
13,PER4,0
13,PER5,0
13,PER6,0
13,PER7,0
13,PER10,31
13,PER11,55
13,PER12,79
13,PER13,120
13,PER14,190
13,PER15,235
13,PER16,277
13,PER17,300
13,PER18,317
13,PER19,328
13,PER20,346
13,PER21,368
13,PER22,378
13,PER23,364
13,PER24,349
13,PER25,339
13,PER26,335
13,PER27,338
13,PER28,331
13,PER29,325
13,PER30,303
13,PER31,269
13,PER32,234
13,PER33,218
13,PER34,188
13,PER35,160
13,PER36,149
13,PER37,135
13,PER38,103
13,PER39,91
13,PER40,72
13,PER41,60
13,PER42,51
13,PER43,39
13,PER44,33
13,PER45,27
13,PER46,17
13,PER47,10
13,PER8,10
13,PER9,19
14,PER10,12
14,PER11,23
14,PER12,36
14,PER13,43
14,PER14,63
14,PER15,75
14,PER16,83
14,PER17,87
14,PER18,88
14,PER19,88
14,PER20,86
14,PER21,88
14,PER22,91
14,PER23,94
14,PER24,96
14,PER25,96
14,PER26,92
14,PER27,89
14,PER28,88
14,PER29,85
14,PER30,78
14,PER31,73
14,PER32,69
14,PER33,60
14,PER34,47
14,PER35,38
14,PER36,37
14,PER37,31
14,PER38,28
14,PER39,22
14,PER40,14
14,PER41,11
14,PER42,7
14,PER43,6
14,PER44,5
14,PER45,5
14,PER46,3
14,PER47,2
14,PER8,5
14,PER9,7
15,PER10,4941
15,PER11,7058
15,PER12,9689
15,PER13,12559
15,PER14,15528
15,PER15,17722
15,PER16,19387
15,PER17,20349
15,PER18,20921
15,PER19,21364
15,PER20,21737
15,PER21,22049
15,PER22,22454
15,PER23,22822
15,PER24,22984
15,PER25,23009
15,PER26,23053
15,PER27,23007
15,PER28,22691
15,PER29,21981
15,PER30,20522
15,PER31,18994
15,PER32,17131
15,PER33,14580
15,PER34,11575
15,PER35,9130
15,PER36,7521
15,PER37,6455
15,PER38,5460
15,PER39,4816
15,PER40,4276
15,PER41,3778
15,PER42,3376
15,PER43,3008
15,PER44,2653
15,PER45,2247
15,PER46,1850
15,PER47,1374
15,PER8,1331
15,PER9,2521
16,PER10,1260
16,PER11,1751
16,PER12,2375
16,PER13,3195
16,PER14,3960
16,PER15,4472
16,PER16,4800
16,PER17,4962
16,PER18,5078
16,PER19,5142
16,PER20,5207
16,PER21,5249
16,PER22,5295
16,PER23,5357
16,PER24,5392
16,PER25,5395
16,PER26,5393
16,PER27,5359
16,PER28,5266
16,PER29,5056
16,PER30,4696
16,PER31,4333
16,PER32,3868
16,PER33,3309
16,PER34,2575
16,PER35,1954
16,PER36,1526
16,PER37,1231
16,PER38,1006
16,PER39,838
16,PER40,723
16,PER41,624
16,PER42,537
16,PER43,467
16,PER44,394
16,PER45,332
16,PER46,269
16,PER47,188
16,PER8,376
16,PER9,654
17,PER10,1
17,PER11,2
17,PER12,4
17,PER13,14
17,PER14,20
17,PER15,25
17,PER16,26
17,PER17,26
17,PER18,25
17,PER19,28
17,PER20,28
17,PER21,30
17,PER22,29
17,PER23,26
17,PER24,25
17,PER25,25
17,PER26,25
17,PER27,26
17,PER28,25
17,PER29,22
17,PER30,21
17,PER31,20
17,PER32,17
17,PER33,15
17,PER34,14
17,PER35,19
17,PER36,17
17,PER37,11
17,PER38,11
17,PER39,9
17,PER40,6
17,PER41,4
17,PER42,1
18,PER10,28
18,PER11,48
18,PER12,71
18,PER13,111
18,PER14,153
18,PER15,173
18,PER16,184
18,PER17,194
18,PER18,198
18,PER19,203
18,PER20,217
18,PER21,227
18,PER22,229
18,PER23,239
18,PER24,240
18,PER25,237
18,PER26,227
18,PER27,244
18,PER28,239
18,PER29,223
18,PER30,205
18,PER31,191
18,PER32,165
18,PER33,146
18,PER34,120
18,PER35,104
18,PER36,107
18,PER37,91
18,PER38,72
18,PER39,50
18,PER40,38
18,PER41,27
18,PER42,20
18,PER43,19
18,PER44,19
18,PER45,15
18,PER46,9
18,PER47,6
18,PER8,8
18,PER9,16
19,PER10,6
19,PER11,6
19,PER12,5
19,PER13,10
19,PER14,19
19,PER15,24
19,PER16,22
19,PER17,23
19,PER18,25
19,PER19,25
19,PER20,23
19,PER21,25
19,PER22,25
19,PER23,24
19,PER24,27
19,PER25,27
19,PER26,26
19,PER27,20
19,PER28,22
19,PER29,18
19,PER30,13
19,PER31,15
19,PER32,20
19,PER33,17
19,PER34,18
19,PER35,23
19,PER36,28
19,PER37,25
19,PER38,21
19,PER39,13
19,PER40,11
19,PER41,8
19,PER42,4
19,PER43,1
19,PER44,1
19,PER45,1
19,PER46,1
19,PER47,1
20,PER10,5
20,PER11,8
20,PER12,15
20,PER13,26
20,PER14,39
20,PER15,48
20,PER16,53
20,PER17,54
20,PER18,59
20,PER19,63
20,PER20,66
20,PER21,67
20,PER22,65
20,PER23,65
20,PER24,66
20,PER25,67
20,PER26,67
20,PER27,64
20,PER28,62
20,PER29,59
20,PER30,56
20,PER31,53
20,PER32,51
20,PER33,46
20,PER34,38
20,PER35,33
20,PER36,31
20,PER37,28
20,PER38,24
20,PER39,14
20,PER40,12
20,PER41,11
20,PER42,8
20,PER43,8
20,PER44,8
20,PER45,8
20,PER46,7
20,PER47,3
20,PER8,1
20,PER9,1
21,PER10,6
21,PER11,12
21,PER12,25
21,PER13,44
21,PER14,65
21,PER15,79
21,PER16,90
21,PER17,91
21,PER18,93
21,PER19,91
21,PER20,95
21,PER21,97
21,PER22,101
21,PER23,97
21,PER24,97
21,PER25,101
21,PER26,98
21,PER27,95
21,PER28,98
21,PER29,97
21,PER30,97
21,PER31,91
21,PER32,80
21,PER33,66
21,PER34,55
21,PER35,52
21,PER36,45
21,PER37,46
21,PER38,37
21,PER39,32
21,PER40,27
21,PER41,20
21,PER42,17
21,PER43,12
21,PER44,13
21,PER45,9
21,PER46,6
21,PER47,2
21,PER8,1
21,PER9,2
22,PER10,1
22,PER11,1
22,PER12,2
22,PER13,3
22,PER14,5
22,PER15,4
22,PER16,4
22,PER17,3
22,PER18,3
22,PER19,3
22,PER20,3
22,PER21,3
22,PER22,3
22,PER23,4
22,PER24,3
22,PER25,3
22,PER26,5
22,PER27,6
22,PER28,6
22,PER29,5
22,PER30,6
22,PER31,8
22,PER32,8
22,PER33,9
22,PER34,11
22,PER35,12
22,PER36,16
22,PER37,16
22,PER38,13
22,PER39,14
22,PER40,11
22,PER41,9
22,PER42,4
22,PER43,4
22,PER44,1
22,PER45,1
23,PER12,2
23,PER13,4
23,PER14,8
23,PER15,8
23,PER16,6
23,PER17,7
23,PER18,7
23,PER19,7
23,PER20,9
23,PER21,11
23,PER22,12
23,PER23,12
23,PER24,13
23,PER25,10
23,PER26,8
23,PER27,5
23,PER28,5
23,PER29,6
23,PER30,8
23,PER31,7
23,PER32,9
23,PER33,8
23,PER34,15
23,PER35,15
23,PER36,15
23,PER37,14
23,PER38,11
23,PER39,2
23,PER40,2
23,PER41,2
23,PER42,3
23,PER43,2
23,PER44,2
24,PER10,8
24,PER11,16
24,PER12,19
24,PER13,23
24,PER14,26
24,PER15,30
24,PER16,42
24,PER17,53
24,PER18,58
24,PER19,58
24,PER20,61
24,PER21,67
24,PER22,69
24,PER23,66
24,PER24,65
24,PER25,60
24,PER26,64
24,PER27,70
24,PER28,71
24,PER29,81
24,PER30,83
24,PER31,92
24,PER32,99
24,PER33,98
24,PER34,97
24,PER35,90
24,PER36,114
24,PER37,111
24,PER38,103
24,PER39,80
24,PER40,65
24,PER41,46
24,PER42,23
24,PER43,18
24,PER44,11
24,PER45,8
24,PER46,6
24,PER47,5
24,PER8,2
24,PER9,3
25,PER13,2
25,PER14,2
25,PER15,2
25,PER16,2
25,PER17,2
25,PER18,2
25,PER19,2
25,PER20,2
25,PER21,2
25,PER22,2
25,PER23,2
25,PER24,2
25,PER25,2
25,PER26,2
25,PER27,2
25,PER28,2
25,PER29,2
25,PER30,2
25,PER31,2
25,PER32,2
25,PER33,2
25,PER34,1
25,PER35,1
25,PER36,1
26,PER10,5
26,PER11,7
26,PER12,13
26,PER13,20
26,PER14,27
26,PER15,43
26,PER16,62
26,PER17,75
26,PER18,87
26,PER19,93
26,PER20,94
26,PER21,93
26,PER22,93
26,PER23,94
26,PER24,97
26,PER25,94
26,PER26,99
26,PER27,99
26,PER28,96
26,PER29,94
26,PER30,105
26,PER31,109
26,PER32,113
26,PER33,120
26,PER34,120
26,PER35,129
26,PER36,140
26,PER37,129
26,PER38,115
26,PER39,100
26,PER40,85
26,PER41,68
26,PER42,39
26,PER43,35
26,PER44,21
26,PER45,18
26,PER46,10
26,PER47,6
26,PER8,1
26,PER9,2
27,PER10,3
27,PER11,3
27,PER12,3
27,PER13,3
27,PER14,5
27,PER15,11
27,PER16,17
27,PER17,21
27,PER18,26
27,PER19,24
27,PER20,25
27,PER21,27
27,PER22,32
27,PER23,36
27,PER24,34
27,PER25,33
27,PER26,32
27,PER27,33
27,PER28,31
27,PER29,29
27,PER30,31
27,PER31,34
27,PER32,40
27,PER33,43
27,PER34,43
27,PER35,45
27,PER36,46
27,PER37,46
27,PER38,39
27,PER39,34
27,PER40,31
27,PER41,25
27,PER42,11
27,PER43,7
27,PER44,6
27,PER45,6
27,PER46,1
27,PER47,1
27,PER8,1
27,PER9,2
28,PER10,2
28,PER11,4
28,PER12,5
28,PER13,9
28,PER14,34
28,PER15,49
28,PER16,54
28,PER17,57
28,PER18,58
28,PER19,66
28,PER20,69
28,PER21,71
28,PER22,76
28,PER23,77
28,PER24,74
28,PER25,76
28,PER26,65
28,PER27,63
28,PER28,53
28,PER29,45
28,PER30,43
28,PER31,36
28,PER32,38
28,PER33,40
28,PER34,46
28,PER35,45
28,PER36,39
28,PER37,37
28,PER38,34
28,PER39,24
28,PER40,23
28,PER41,17
28,PER42,13
28,PER43,5
28,PER44,2
28,PER45,2
29,PER11,3
29,PER12,3
29,PER13,9
29,PER14,14
29,PER15,17
29,PER16,16
29,PER17,18
29,PER18,22
29,PER19,22
29,PER20,23
29,PER21,25
29,PER22,19
29,PER23,20
29,PER24,15
29,PER25,13
29,PER26,12
29,PER27,12
29,PER28,13
29,PER29,15
29,PER30,17
29,PER31,13
29,PER32,11
29,PER33,6
29,PER34,7
29,PER35,5
29,PER36,4
29,PER37,3
29,PER38,3
29,PER39,2
29,PER40,2
29,PER41,2
29,PER42,2
29,PER43,1
29,PER44,1
29,PER45,1
29,PER46,1
30,PER10,20
30,PER11,37
30,PER12,52
30,PER13,81
30,PER14,118
30,PER15,144
30,PER16,166
30,PER17,180
30,PER18,196
30,PER19,203
30,PER20,206
30,PER21,210
30,PER22,216
30,PER23,215
30,PER24,214
30,PER25,207
30,PER26,202
30,PER27,190
30,PER28,188
30,PER29,187
30,PER30,182
30,PER31,166
30,PER32,152
30,PER33,129
30,PER34,102
30,PER35,91
30,PER36,85
30,PER37,72
30,PER38,57
30,PER39,47
30,PER40,42
30,PER41,38
30,PER42,27
30,PER43,22
30,PER44,16
30,PER45,11
30,PER46,8
30,PER47,7
30,PER8,2
30,PER9,6
31,PER10,27
31,PER11,36
31,PER12,58
31,PER13,88
31,PER14,136
31,PER15,176
31,PER16,213
31,PER17,233
31,PER18,264
31,PER19,280
31,PER20,280
31,PER21,294
31,PER22,280
31,PER23,276
31,PER24,274
31,PER25,272
31,PER26,268
31,PER27,263
31,PER28,269
31,PER29,262
31,PER30,295
31,PER31,305
