PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,20,EATING OUT,1219,1
FULL-TIME WORKER,20,ESCORT,5049,1
FULL-TIME WORKER,20,HOME,473973,1
FULL-TIME WORKER,20,MAINTENANCE,20236,1
FULL-TIME WORKER,20,SHOP,15336,1
FULL-TIME WORKER,20,VISITING,4814,1
FULL-TIME WORKER,20,WORK,932242,1
FULL-TIME WORKER,20,WORK-BASED,16131,1
FULL-TIME WORKER,21,DISCRETIONARY,13269,1
FULL-TIME WORKER,21,EATING OUT,2033,1
FULL-TIME WORKER,21,ESCORT,5157,1
FULL-TIME WORKER,21,HOME,456214,1
FULL-TIME WORKER,21,MAINTENANCE,20614,1
FULL-TIME WORKER,21,SHOP,16586,1
FULL-TIME WORKER,21,VISITING,5244,1
FULL-TIME WORKER,21,WORK,943704,1
FULL-TIME WORKER,21,WORK-BASED,20055,1
FULL-TIME WORKER,22,DISCRETIONARY,12155,1
FULL-TIME WORKER,22,EATING OUT,2817,1
FULL-TIME WORKER,22,ESCORT,5457,1
FULL-TIME WORKER,22,HOME,427490,1
FULL-TIME WORKER,22,MAINTENANCE,19544,1
FULL-TIME WORKER,22,SHOP,15680,1
FULL-TIME WORKER,22,VISITING,5801,1
FULL-TIME WORKER,22,WORK,953028,1
FULL-TIME WORKER,22,WORK-BASED,40904,1
FULL-TIME WORKER,23,DISCRETIONARY,11433,1
FULL-TIME WORKER,23,EATING OUT,3030,1
FULL-TIME WORKER,23,ESCORT,5671,1
FULL-TIME WORKER,23,HOME,399769,1
FULL-TIME WORKER,23,MAINTENANCE,18037,1
FULL-TIME WORKER,23,SHOP,14075,1
FULL-TIME WORKER,23,VISITING,6241,1
FULL-TIME WORKER,23,WORK,960291,1
FULL-TIME WORKER,23,WORK-BASED,64329,1
FULL-TIME WORKER,24,DISCRETIONARY,10933,1
FULL-TIME WORKER,24,EATING OUT,2864,1
FULL-TIME WORKER,24,ESCORT,5942,1
FULL-TIME WORKER,24,HOME,394330,1
FULL-TIME WORKER,24,MAINTENANCE,16418,1
FULL-TIME WORKER,24,SHOP,13109,1
FULL-TIME WORKER,24,VISITING,5900,1
FULL-TIME WORKER,24,WORK,965191,1
FULL-TIME WORKER,24,WORK-BASED,68189,1
FULL-TIME WORKER,25,DISCRETIONARY,10667,1
FULL-TIME WORKER,25,EATING OUT,2386,1
FULL-TIME WORKER,25,ESCORT,6158,1
FULL-TIME WORKER,25,HOME,418122,1
FULL-TIME WORKER,25,MAINTENANCE,15633,1
FULL-TIME WORKER,25,SHOP,12777,1
FULL-TIME WORKER,25,VISITING,5585,1
FULL-TIME WORKER,25,WORK,967573,1
FULL-TIME WORKER,25,WORK-BASED,43975,1
FULL-TIME WORKER,26,DISCRETIONARY,10249,1
FULL-TIME WORKER,26,EATING OUT,1849,1
FULL-TIME WORKER,26,ESCORT,11130,1
FULL-TIME WORKER,26,HOME,433686,1
FULL-TIME WORKER,26,MAINTENANCE,14841,1
FULL-TIME WORKER,26,SHOP,12679,1
FULL-TIME WORKER,26,VISITING,5347,1
FULL-TIME WORKER,26,WORK,966837,1
FULL-TIME WORKER,26,WORK-BASED,26258,1
FULL-TIME WORKER,27,DISCRETIONARY,10013,1
FULL-TIME WORKER,27,EATING OUT,1412,1
FULL-TIME WORKER,27,ESCORT,20007,1
FULL-TIME WORKER,27,HOME,441872,1
FULL-TIME WORKER,27,MAINTENANCE,14189,1
FULL-TIME WORKER,27,SHOP,11555,1
FULL-TIME WORKER,27,VISITING,4994,1
FULL-TIME WORKER,27,WORK,961069,1
FULL-TIME WORKER,27,WORK-BASED,17765,1
FULL-TIME WORKER,28,DISCRETIONARY,9942,1
