TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,13582410
AUTO,DRIVEALONE,DRIVEALONEPAY,139776
AUTO,SHARED2,SHARED2FREE,5944139
AUTO,SHARED2,SHARED2PAY,21895
AUTO,SHARED3,SHARED3FREE,4115641
NONMOTORIZED,NONMOTORIZED,BIKE,120649
NONMOTORIZED,NONMOTORIZED,WALK,1208249
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,1251725
TRANSIT,KNR,KNR_ALLTRN,33666
TRANSIT,KNR,KNR_PRMTRN,28328
TRANSIT,PNR,PNR_ALLTRN,7036
TRANSIT,PNR,PNR_PRMTRN,67902
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,209402
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,73358
