ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,9
1,Fulton,DRIVEALONEFREE,1029
1,Fulton,PNR_PRMTRN,1
1,Fulton,SCHOOL_BUS,70
1,Fulton,SHARED2FREE,517
1,Fulton,SHARED3FREE,381
1,Fulton,TOTAL,2043
1,Fulton,WALK,36
2,Fulton,BIKE,5
2,Fulton,DRIVEALONEFREE,1866
2,Fulton,DRIVEALONEPAY,4
2,Fulton,KNR_ALLTRN,5
2,Fulton,KNR_PRMTRN,1
2,Fulton,PNR_ALLTRN,2
2,Fulton,PNR_PRMTRN,8
2,Fulton,SCHOOL_BUS,245
2,Fulton,SHARED2FREE,966
2,Fulton,SHARED3FREE,578
2,Fulton,TOTAL,3767
2,Fulton,WALK,87
3,Fulton,BIKE,57
3,Fulton,DRIVEALONEFREE,7012
3,Fulton,DRIVEALONEPAY,4
3,Fulton,KNR_ALLTRN,3
3,Fulton,KNR_PRMTRN,5
3,Fulton,PNR_ALLTRN,9
3,Fulton,PNR_PRMTRN,15
3,Fulton,SCHOOL_BUS,836
3,Fulton,SHARED2FREE,3979
3,Fulton,SHARED3FREE,2597
3,Fulton,TOTAL,15132
3,Fulton,WALK,615
4,Fulton,BIKE,20
4,Fulton,DRIVEALONEFREE,2176
4,Fulton,KNR_ALLTRN,11
4,Fulton,KNR_PRMTRN,1
4,Fulton,PNR_ALLTRN,4
4,Fulton,PNR_PRMTRN,25
4,Fulton,SCHOOL_BUS,316
4,Fulton,SHARED2FREE,1257
4,Fulton,SHARED3FREE,849
4,Fulton,TOTAL,4731
4,Fulton,WALK,72
5,Fulton,BIKE,8
5,Fulton,DRIVEALONEFREE,2227
5,Fulton,KNR_ALLTRN,8
5,Fulton,KNR_PRMTRN,2
5,Fulton,PNR_ALLTRN,3
5,Fulton,PNR_PRMTRN,17
5,Fulton,SCHOOL_BUS,275
5,Fulton,SHARED2FREE,1306
5,Fulton,SHARED3FREE,908
5,Fulton,TOTAL,4929
5,Fulton,WALK,175
6,Fulton,BIKE,10
6,Fulton,DRIVEALONEFREE,1562
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,702
6,Fulton,SHARED3FREE,372
6,Fulton,TOTAL,2749
6,Fulton,WALK,102
