FROM,TO,Travel Time Savings
Beaverton,Beaverton,-3651.8069770585325
Beaverton,Clackamas,5146.73966230106
Beaverton,ClarkCounty,6014.248019619256
Beaverton,ColumbiaCounty,310.570893804808
Beaverton,Damascus,1011.4188359508094
Beaverton,External,0.0
Beaverton,FairviewtoWoodVillagetoTroutdale,8163.53885485258
Beaverton,ForestGrove,-96.08858877231786
Beaverton,Gateway,21205.193840999225
Beaverton,Gresham,10224.451267901968
Beaverton,HappyValley,1783.7793821646458
Beaverton,Hillsboro,-4572.1411671152755
Beaverton,Lents,21732.87959254667
Beaverton,MilwaukietoLakeOswego,3996.639038641328
Beaverton,PortlandCentralCity,131120.86934848165
Beaverton,Rivergate,15315.90608980298
Beaverton,SherwoodtoNewberg,-484.6033136497303
Beaverton,Tigard,10524.680139427936
Beaverton,Tualatin,2463.977789017192
Beaverton,Vancouver,6687.605600316696
Beaverton,WestLinntoOregonCity,2490.259088237237
Beaverton,WillametteValley,389.6094887484978
Beaverton,Wilsonville,2265.057689523052
Clackamas,Beaverton,7246.747038946733
Clackamas,Clackamas,3352.675196067095
Clackamas,ClarkCounty,86.82439160837723
Clackamas,ColumbiaCounty,79.03887744703239
Clackamas,Damascus,181.64215952453569
Clackamas,External,0.0
Clackamas,FairviewtoWoodVillagetoTroutdale,7460.283436187427
Clackamas,ForestGrove,546.4876044396528
Clackamas,Gateway,2104.6159696699624
Clackamas,Gresham,9215.501560816658
Clackamas,HappyValley,1319.3490037681593
Clackamas,Hillsboro,5057.034419812874
Clackamas,Lents,5252.13706341403
Clackamas,MilwaukietoLakeOswego,5030.082751229924
Clackamas,PortlandCentralCity,67756.02600159732
Clackamas,Rivergate,1591.780124702099
Clackamas,SherwoodtoNewberg,934.6748088129357
Clackamas,Tigard,4813.524819744234
Clackamas,Tualatin,2892.41866118809
Clackamas,Vancouver,78.99966933409283
Clackamas,WestLinntoOregonCity,3132.111703046037
Clackamas,WillametteValley,206.72866605079133
Clackamas,Wilsonville,1128.3969572352853
ClarkCounty,Beaverton,16088.944071452062
ClarkCounty,Clackamas,4992.237425784947
ClarkCounty,ClarkCounty,23620.984100777183
ClarkCounty,ColumbiaCounty,344.38328769931513
ClarkCounty,Damascus,784.4093013442842
ClarkCounty,External,0.0
ClarkCounty,FairviewtoWoodVillagetoTroutdale,6167.424460610409
ClarkCounty,ForestGrove,1661.8369052483686
ClarkCounty,Gateway,16273.382452822689
ClarkCounty,Gresham,3137.725683804262
ClarkCounty,HappyValley,1223.2645137930306
ClarkCounty,Hillsboro,16318.661908649052
ClarkCounty,Lents,4410.763332803031
ClarkCounty,MilwaukietoLakeOswego,6364.965397654269
ClarkCounty,PortlandCentralCity,78780.09275510769
ClarkCounty,Rivergate,11403.95232278994
ClarkCounty,SherwoodtoNewberg,1041.058535919153
ClarkCounty,Tigard,6734.720724621679
ClarkCounty,Tualatin,4260.1367601747825
ClarkCounty,Vancouver,11611.885394187706
ClarkCounty,WestLinntoOregonCity,2643.770249915562
ClarkCounty,WillametteValley,498.6879484583162
ClarkCounty,Wilsonville,2301.7584286056226
ColumbiaCounty,Beaverton,689.7410747667623
ColumbiaCounty,Clackamas,198.61033703557965
ColumbiaCounty,ClarkCounty,186.7011962207771
ColumbiaCounty,ColumbiaCounty,7.029401728889277
ColumbiaCounty,Damascus,32.78680595884326
ColumbiaCounty,External,0.0
ColumbiaCounty,FairviewtoWoodVillagetoTroutdale,151.65595767889602
ColumbiaCounty,ForestGrove,13.33649700626708
ColumbiaCounty,Gateway,435.2040272605584
ColumbiaCounty,Gresham,78.23984155355802
ColumbiaCounty,HappyValley,54.2586783207465
ColumbiaCounty,Hillsboro,789.0742685204686
ColumbiaCounty,Lents,165.96349183757297
ColumbiaCounty,MilwaukietoLakeOswego,124.2826852995539
ColumbiaCounty,PortlandCentralCity,2048.2261254024093
ColumbiaCounty,Rivergate,268.8585794629258
ColumbiaCounty,SherwoodtoNewberg,13.210270109901025
ColumbiaCounty,Tigard,240.0418065892768
ColumbiaCounty,Tualatin,86.8552560642125
ColumbiaCounty,Vancouver,196.68556744614864
ColumbiaCounty,WestLinntoOregonCity,99.29059621193409
ColumbiaCounty,WillametteValley,16.206589374732644
ColumbiaCounty,Wilsonville,83.62536180273095
Damascus,Beaverton,6908.30406110362
Damascus,Clackamas,3468.6462236520097
Damascus,ClarkCounty,51.54528574584741
Damascus,ColumbiaCounty,92.4767349170564
Damascus,Damascus,-3255.435369644459
Damascus,External,0.0
Damascus,FairviewtoWoodVillagetoTroutdale,-6172.005126820363
Damascus,ForestGrove,627.1904240205976
Damascus,Gateway,4160.270096778875
Damascus,Gresham,-10059.850884963449
Damascus,HappyValley,283.67171496547854
Damascus,Hillsboro,5277.433231096957
Damascus,Lents,4826.211262879936
Damascus,MilwaukietoLakeOswego,3531.848802687421
Damascus,PortlandCentralCity,82219.98642067901
Damascus,Rivergate,1043.916821178589
Damascus,SherwoodtoNewberg,887.4804551757065
Damascus,Tigard,3834.1181912767547
Damascus,Tualatin,2544.5149499268905
Damascus,Vancouver,29.38226827315729
Damascus,WestLinntoOregonCity,2182.8632122333497
Damascus,WillametteValley,81.54491193517262
Damascus,Wilsonville,1091.4188965510423
External,Beaverton,0.0
External,Clackamas,0.0
External,ClarkCounty,0.0
External,ColumbiaCounty,0.0
External,Damascus,0.0
External,External,0.0
External,FairviewtoWoodVillagetoTroutdale,0.0
External,ForestGrove,0.0
External,Gateway,0.0
External,Gresham,0.0
External,HappyValley,0.0
External,Hillsboro,0.0
External,Lents,0.0
External,MilwaukietoLakeOswego,0.0
External,PortlandCentralCity,0.0
External,Rivergate,0.0
External,SherwoodtoNewberg,0.0
External,Tigard,0.0
External,Tualatin,0.0
External,Vancouver,0.0
External,WestLinntoOregonCity,0.0
External,WillametteValley,0.0
External,Wilsonville,0.0
FairviewtoWoodVillagetoTroutdale,Beaverton,9173.073758094044
FairviewtoWoodVillagetoTroutdale,Clackamas,6843.704501872935
FairviewtoWoodVillagetoTroutdale,ClarkCounty,3650.9787725952287
FairviewtoWoodVillagetoTroutdale,ColumbiaCounty,134.67583556865387
FairviewtoWoodVillagetoTroutdale,Damascus,-125.38849088461644
FairviewtoWoodVillagetoTroutdale,External,0.0
FairviewtoWoodVillagetoTroutdale,FairviewtoWoodVillagetoTroutdale,6613.955547130445
FairviewtoWoodVillagetoTroutdale,ForestGrove,759.8344892659031
FairviewtoWoodVillagetoTroutdale,Gateway,25533.904528774692
FairviewtoWoodVillagetoTroutdale,Gresham,4979.679554017292
FairviewtoWoodVillagetoTroutdale,HappyValley,-421.82359438706584
FairviewtoWoodVillagetoTroutdale,Hillsboro,6957.747228286811
FairviewtoWoodVillagetoTroutdale,Lents,24870.274678528574
FairviewtoWoodVillagetoTroutdale,MilwaukietoLakeOswego,8058.100996780578
FairviewtoWoodVillagetoTroutdale,PortlandCentralCity,199195.09866301375
FairviewtoWoodVillagetoTroutdale,Rivergate,3960.1314773851145
FairviewtoWoodVillagetoTroutdale,SherwoodtoNewberg,698.3390138243411
FairviewtoWoodVillagetoTroutdale,Tigard,5001.215963968311
FairviewtoWoodVillagetoTroutdale,Tualatin,2566.185329756284
FairviewtoWoodVillagetoTroutdale,Vancouver,1507.6287101196158
FairviewtoWoodVillagetoTroutdale,WestLinntoOregonCity,1960.1034858687271
FairviewtoWoodVillagetoTroutdale,WillametteValley,161.24801753912197
FairviewtoWoodVillagetoTroutdale,Wilsonville,1214.4066291775327
ForestGrove,Beaverton,1575.0461608682886
ForestGrove,Clackamas,839.3404216202265
ForestGrove,ClarkCounty,1032.430650382875
ForestGrove,ColumbiaCounty,-39.74390139258568
ForestGrove,Damascus,250.69892377169026
ForestGrove,External,0.0
ForestGrove,FairviewtoWoodVillagetoTroutdale,1522.7789794298997
ForestGrove,ForestGrove,-268.18316629639185
ForestGrove,Gateway,2564.252358098585
ForestGrove,Gresham,966.1842804910402
ForestGrove,HappyValley,343.50279690344894
ForestGrove,Hillsboro,2046.9019572593024
ForestGrove,Lents,1781.335670302754
ForestGrove,MilwaukietoLakeOswego,391.28400345102114
ForestGrove,PortlandCentralCity,9779.18434628886
ForestGrove,Rivergate,1166.5808480853884
ForestGrove,SherwoodtoNewberg,325.34609005052465
ForestGrove,Tigard,373.31251960866524
ForestGrove,Tualatin,453.5035939789706
ForestGrove,Vancouver,1033.247511738992
ForestGrove,WestLinntoOregonCity,-249.4659937414156
ForestGrove,WillametteValley,46.8209405032861
ForestGrove,Wilsonville,562.3307456048035
Gateway,Beaverton,23098.69909157945
Gateway,Clackamas,11530.934871497473
Gateway,ClarkCounty,3062.936896460964
Gateway,ColumbiaCounty,250.37409693295967
Gateway,Damascus,1083.5017517480387
Gateway,External,0.0
Gateway,FairviewtoWoodVillagetoTroutdale,27042.32990924915
Gateway,ForestGrove,1160.5705317102875
Gateway,Gateway,50456.51127515953
Gateway,Gresham,44604.77701642238
Gateway,HappyValley,785.7913784928276
Gateway,Hillsboro,11750.847464820112
Gateway,Lents,36295.440067988086
Gateway,MilwaukietoLakeOswego,23535.786987405787
Gateway,PortlandCentralCity,711387.5624922367
Gateway,Rivergate,15802.809693121773
Gateway,SherwoodtoNewberg,1380.5268528924164
Gateway,Tigard,15416.626922229012
Gateway,Tualatin,5971.692181045687
Gateway,Vancouver,3439.8540894713265
Gateway,WestLinntoOregonCity,4341.444763150464
Gateway,WillametteValley,387.48178447342224
Gateway,Wilsonville,2493.574847909781
Gresham,Beaverton,22536.013187653247
Gresham,Clackamas,33009.98926573022
Gresham,ClarkCounty,3611.179285583638
Gresham,ColumbiaCounty,168.33338952446297
Gresham,Damascus,-678.0823664647263
Gresham,External,0.0
Gresham,FairviewtoWoodVillagetoTroutdale,21524.695778475587
Gresham,ForestGrove,1072.1679662569452
Gresham,Gateway,176173.87388187254
Gresham,Gresham,11873.173137802369
Gresham,HappyValley,761.1601540907925
Gresham,Hillsboro,10359.40056536633
Gresham,Lents,81523.76025723146
Gresham,MilwaukietoLakeOswego,33857.274257484474
Gresham,PortlandCentralCity,1593025.6876798458
Gresham,Rivergate,5682.240516061826
Gresham,SherwoodtoNewberg,1209.0426460564936
Gresham,Tigard,16890.293495118076
Gresham,Tualatin,6448.017593644746
Gresham,Vancouver,4090.904619851022
Gresham,WestLinntoOregonCity,6912.639404103698
Gresham,WillametteValley,161.4188705156734
Gresham,Wilsonville,2200.6611083651505
HappyValley,Beaverton,9719.882168785403
HappyValley,Clackamas,6352.516310301583
