BENEFIT,BENEFIT GROUP,VALUE,CHART
hhs_for_the_coc,Social Goods,266158.658151,coc_lowinc
travel_options_benefit,Social Goods,112907979.446,coc_lowinc
veh_ownership_cost_benefit,Economic Vitality,8354.74084905,coc_lowinc
physical_activity_benefit,Social Goods,-1346.71557396,coc_lowinc
travel_time_reliability_benefit,Economic Vitality,27035.1258484,coc_lowinc
travel_time_benefit,Economic Vitality,174158.357098,coc_lowinc
trk_travel_time_benefit,Economic Vitality,4730.59443715,coc_lowinc
dtransit_travel_time_benefit,Economic Vitality,-137.666358295,coc_lowinc
veh_operating_cost_benefit,Economic Vitality,0.0,coc_lowinc
emissions_cost_benefit,Environmental Stewardship,0.0,coc_lowinc
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_lowinc
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_lowinc
safety_cost_benefit,Social Goods,0.0,coc_lowinc
hhs_for_the_coc,Social Goods,130961.298272,coc_medinc
travel_options_benefit,Social Goods,58977980.0901,coc_medinc
veh_ownership_cost_benefit,Economic Vitality,2798.56930975,coc_medinc
physical_activity_benefit,Social Goods,-660.752220587,coc_medinc
travel_time_reliability_benefit,Economic Vitality,13989.5545725,coc_medinc
travel_time_benefit,Economic Vitality,84083.035973,coc_medinc
trk_travel_time_benefit,Economic Vitality,1931.85385742,coc_medinc
dtransit_travel_time_benefit,Economic Vitality,-121.845499008,coc_medinc
veh_operating_cost_benefit,Economic Vitality,0.0,coc_medinc
emissions_cost_benefit,Environmental Stewardship,0.0,coc_medinc
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_medinc
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_medinc
safety_cost_benefit,Social Goods,0.0,coc_medinc
hhs_for_the_coc,Social Goods,348932.28827,coc_highinc
travel_options_benefit,Social Goods,166099160.81,coc_highinc
veh_ownership_cost_benefit,Economic Vitality,6819.21102551,coc_highinc
physical_activity_benefit,Social Goods,-1761.34970894,coc_highinc
travel_time_reliability_benefit,Economic Vitality,39316.934823,coc_highinc
travel_time_benefit,Economic Vitality,242647.358501,coc_highinc
trk_travel_time_benefit,Economic Vitality,4664.94994703,coc_highinc
dtransit_travel_time_benefit,Economic Vitality,-293.625659683,coc_highinc
veh_operating_cost_benefit,Economic Vitality,0.0,coc_highinc
emissions_cost_benefit,Environmental Stewardship,0.0,coc_highinc
noise_pollution_cost_benefit,Environmental Stewardship,0.0,coc_highinc
surface_water_pollution_cost_benefit,Environmental Stewardship,0.0,coc_highinc
safety_cost_benefit,Social Goods,0.0,coc_highinc
hhs_for_the_coc,Social Goods,440965.753921,coc_veryhighinc
travel_options_benefit,Social Goods,257496069.254,coc_veryhighinc
veh_ownership_cost_benefit,Economic Vitality,6467.05105989,coc_veryhighinc
physical_activity_benefit,Social Goods,-2356.03446352,coc_veryhighinc
