ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,3
1,Fulton,DRIVEALONEFREE,976
1,Fulton,DRIVEALONEPAY,67
1,Fulton,KNR_ALLTRN,3
1,Fulton,PNR_ALLTRN,1
1,Fulton,PNR_PRMTRN,13
1,Fulton,SCHOOL_BUS,77
1,Fulton,SHARED2FREE,535
1,Fulton,SHARED2PAY,7
1,Fulton,SHARED3FREE,365
1,Fulton,SHARED3PAY,3
1,Fulton,TOTAL,2087
1,Fulton,WALK,37
2,Fulton,BIKE,10
2,Fulton,DRIVEALONEFREE,1665
2,Fulton,DRIVEALONEPAY,161
2,Fulton,KNR_ALLTRN,7
2,Fulton,KNR_PRMTRN,6
2,Fulton,PNR_ALLTRN,1
2,Fulton,PNR_PRMTRN,24
2,Fulton,SCHOOL_BUS,247
2,Fulton,SHARED2FREE,947
2,Fulton,SHARED2PAY,21
2,Fulton,SHARED3FREE,561
2,Fulton,SHARED3PAY,10
2,Fulton,TOTAL,3731
2,Fulton,WALK,64
2,Fulton,WALK_ALLTRN,7
3,Fulton,BIKE,44
3,Fulton,DRIVEALONEFREE,6629
3,Fulton,DRIVEALONEPAY,387
3,Fulton,KNR_ALLTRN,3
3,Fulton,KNR_PRMTRN,11
3,Fulton,PNR_ALLTRN,6
3,Fulton,PNR_PRMTRN,50
3,Fulton,SCHOOL_BUS,816
3,Fulton,SHARED2FREE,3774
3,Fulton,SHARED2PAY,35
3,Fulton,SHARED3FREE,2445
3,Fulton,SHARED3PAY,54
3,Fulton,TOTAL,14921
3,Fulton,WALK,658
3,Fulton,WALK_ALLTRN,9
4,Fulton,BIKE,7
4,Fulton,DRIVEALONEFREE,1891
4,Fulton,DRIVEALONEPAY,232
4,Fulton,KNR_ALLTRN,14
4,Fulton,KNR_PRMTRN,14
4,Fulton,PNR_ALLTRN,1
4,Fulton,PNR_PRMTRN,31
4,Fulton,SCHOOL_BUS,311
4,Fulton,SHARED2FREE,1158
4,Fulton,SHARED2PAY,33
4,Fulton,SHARED3FREE,843
4,Fulton,SHARED3PAY,42
4,Fulton,TOTAL,4679
4,Fulton,WALK,81
4,Fulton,WALK_ALLTRN,21
5,Fulton,BIKE,7
5,Fulton,DRIVEALONEFREE,1936
5,Fulton,DRIVEALONEPAY,223
5,Fulton,KNR_ALLTRN,10
5,Fulton,KNR_PRMTRN,6
5,Fulton,PNR_ALLTRN,1
5,Fulton,PNR_PRMTRN,20
5,Fulton,SCHOOL_BUS,274
5,Fulton,SHARED2FREE,1269
5,Fulton,SHARED2PAY,30
5,Fulton,SHARED3FREE,892
5,Fulton,SHARED3PAY,22
