PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,8,DISCRETIONARY,1342,1
FULL-TIME WORKER,8,EATING OUT,324,1
FULL-TIME WORKER,8,ESCORT,179,1
FULL-TIME WORKER,8,HOME,1136197,1
FULL-TIME WORKER,8,MAINTENANCE,692,1
FULL-TIME WORKER,8,SHOP,564,1
FULL-TIME WORKER,8,VISITING,293,1
FULL-TIME WORKER,8,WORK,20627,1
FULL-TIME WORKER,8,WORK-BASED,56,1
FULL-TIME WORKER,9,DISCRETIONARY,3047,1
FULL-TIME WORKER,9,EATING OUT,643,1
FULL-TIME WORKER,9,ESCORT,727,1
FULL-TIME WORKER,9,HOME,1110569,1
FULL-TIME WORKER,9,MAINTENANCE,1708,1
FULL-TIME WORKER,9,SHOP,1212,1
FULL-TIME WORKER,9,VISITING,604,1
FULL-TIME WORKER,9,WORK,41593,1
FULL-TIME WORKER,9,WORK-BASED,171,1
FULL-TIME WORKER,10,DISCRETIONARY,4800,1
FULL-TIME WORKER,10,EATING OUT,876,1
FULL-TIME WORKER,10,ESCORT,2107,1
FULL-TIME WORKER,10,HOME,1048868,1
FULL-TIME WORKER,10,MAINTENANCE,3144,1
FULL-TIME WORKER,10,SHOP,1898,1
FULL-TIME WORKER,10,VISITING,836,1
FULL-TIME WORKER,10,WORK,97327,1
FULL-TIME WORKER,10,WORK-BASED,418,1
FULL-TIME WORKER,11,DISCRETIONARY,6357,1
FULL-TIME WORKER,11,EATING OUT,961,1
FULL-TIME WORKER,11,ESCORT,4509,1
FULL-TIME WORKER,11,HOME,980454,1
FULL-TIME WORKER,11,MAINTENANCE,4671,1
FULL-TIME WORKER,11,SHOP,2524,1
FULL-TIME WORKER,11,VISITING,1024,1
FULL-TIME WORKER,11,WORK,159052,1
FULL-TIME WORKER,11,WORK-BASED,722,1
FULL-TIME WORKER,12,DISCRETIONARY,7395,1
FULL-TIME WORKER,12,EATING OUT,860,1
FULL-TIME WORKER,12,ESCORT,5605,1
FULL-TIME WORKER,12,HOME,878711,1
FULL-TIME WORKER,12,MAINTENANCE,6084,1
FULL-TIME WORKER,12,SHOP,2894,1
FULL-TIME WORKER,12,VISITING,1081,1
FULL-TIME WORKER,12,WORK,256490,1
FULL-TIME WORKER,12,WORK-BASED,1154,1
FULL-TIME WORKER,13,DISCRETIONARY,7704,1
FULL-TIME WORKER,13,EATING OUT,731,1
FULL-TIME WORKER,13,ESCORT,10976,1
FULL-TIME WORKER,13,HOME,742451,1
FULL-TIME WORKER,13,MAINTENANCE,7355,1
FULL-TIME WORKER,13,SHOP,2982,1
FULL-TIME WORKER,13,VISITING,1136,1
FULL-TIME WORKER,13,WORK,385159,1
FULL-TIME WORKER,13,WORK-BASED,1780,1
FULL-TIME WORKER,14,DISCRETIONARY,9016,1
FULL-TIME WORKER,14,EATING OUT,623,1
FULL-TIME WORKER,14,ESCORT,23016,1
FULL-TIME WORKER,14,HOME,579053,1
FULL-TIME WORKER,14,MAINTENANCE,9043,1
FULL-TIME WORKER,14,SHOP,2914,1
FULL-TIME WORKER,14,VISITING,1197,1
FULL-TIME WORKER,14,WORK,532876,1
FULL-TIME WORKER,14,WORK-BASED,2536,1
FULL-TIME WORKER,15,DISCRETIONARY,10151,1
FULL-TIME WORKER,15,EATING OUT,615,1
FULL-TIME WORKER,15,ESCORT,22938,1
FULL-TIME WORKER,15,HOME,466689,1
FULL-TIME WORKER,15,MAINTENANCE,10483,1
FULL-TIME WORKER,15,SHOP,3133,1
FULL-TIME WORKER,15,VISITING,1382,1
FULL-TIME WORKER,15,WORK,641298,1
FULL-TIME WORKER,15,WORK-BASED,3585,1
FULL-TIME WORKER,16,DISCRETIONARY,11280,1
FULL-TIME WORKER,16,EATING OUT,627,1
FULL-TIME WORKER,16,ESCORT,14541,1
FULL-TIME WORKER,16,HOME,392764,1
FULL-TIME WORKER,16,MAINTENANCE,12026,1
FULL-TIME WORKER,16,SHOP,3667,1
FULL-TIME WORKER,16,VISITING,1877,1
FULL-TIME WORKER,16,WORK,718470,1
FULL-TIME WORKER,16,WORK-BASED,5022,1
FULL-TIME WORKER,17,DISCRETIONARY,12369,1
FULL-TIME WORKER,17,EATING OUT,694,1
FULL-TIME WORKER,17,ESCORT,6879,1
FULL-TIME WORKER,17,HOME,350339,1
FULL-TIME WORKER,17,MAINTENANCE,13885,1
FULL-TIME WORKER,17,SHOP,5143,1
FULL-TIME WORKER,17,VISITING,2631,1
FULL-TIME WORKER,17,WORK,761639,1
FULL-TIME WORKER,17,WORK-BASED,6695,1
FULL-TIME WORKER,18,DISCRETIONARY,13043,1
FULL-TIME WORKER,18,EATING OUT,788,1
FULL-TIME WORKER,18,ESCORT,5210,1
FULL-TIME WORKER,18,HOME,319095,1
FULL-TIME WORKER,18,MAINTENANCE,15940,1
FULL-TIME WORKER,18,SHOP,7651,1
FULL-TIME WORKER,18,VISITING,3308,1
FULL-TIME WORKER,18,WORK,786518,1
FULL-TIME WORKER,18,WORK-BASED,8721,1
