TRIPS BY MODE,NEST_MODE,SIMPLE_MODE,QUANTITY
AUTO           ,DRIVEALONE     ,DRIVEALONEFREE ,4558649
AUTO           ,DRIVEALONE     ,DRIVEALONEPAY  ,60442
AUTO           ,SHARED2        ,SHARED2FREE    ,2346721
AUTO           ,SHARED2        ,SHARED2PAY     ,2127
AUTO           ,SHARED3        ,SHARED3FREE    ,1686497
AUTO           ,SHARED3        ,SHARED3PAY     ,1173
NONMOTORIZED   ,BIKE           ,BIKE           ,106157
NONMOTORIZED   ,WALK           ,WALK           ,1086159
SCHOOL_BUS     ,SCHOOL_BUS     ,SCHOOL_BUS     ,206962
TRANSIT        ,KNR            ,KNR_LOCAL      ,1621
TRANSIT        ,KNR            ,KNR_PRMTRN     ,7491
TRANSIT        ,PNR            ,PNR_LOCAL      ,755
TRANSIT        ,PNR            ,PNR_PRMTRN     ,9930
TRANSIT        ,WALK_TRANSIT   ,WALK_LOCAL     ,80836
TRANSIT        ,WALK_TRANSIT   ,WALK_PRMTRN    ,99471
