TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY,
AUTO,DRIVEALONE,DRIVEALONEFREE,-760507,
AUTO,DRIVEALONE,DRIVEALONEPAY,731072,
AUTO,SHARED2,SHARED2FREE,-103865,
AUTO,SHARED2,SHARED2PAY,97520,
AUTO,SHARED3,SHARED3FREE,-96415,
AUTO,SHARED3,SHARED3PAY,95231,
NONMOTORIZED,NONMOTORIZED,BIKE,-1309,
NONMOTORIZED,NONMOTORIZED,WALK,12754,
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,-3574,
TRANSIT,KNR,KNR_ALLTRN,788,
TRANSIT,KNR,KNR_PRMTRN,11222,
TRANSIT,PNR,PNR_ALLTRN,-711,
TRANSIT,PNR,PNR_PRMTRN,9115,
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,18022,
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,16330,
