ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,-6
1,Fulton,DRIVEALONEFREE,-53
1,Fulton,DRIVEALONEPAY,67
1,Fulton,KNR_ALLTRN,3
1,Fulton,PNR_ALLTRN,1
1,Fulton,PNR_PRMTRN,12
1,Fulton,SCHOOL_BUS,7
1,Fulton,SHARED2FREE,18
1,Fulton,SHARED2PAY,7
1,Fulton,SHARED3FREE,-16
1,Fulton,SHARED3PAY,3
1,Fulton,TOTAL,44
1,Fulton,WALK,1
2,Fulton,BIKE,5
2,Fulton,DRIVEALONEFREE,-201
2,Fulton,DRIVEALONEPAY,157
2,Fulton,KNR_ALLTRN,2
2,Fulton,KNR_PRMTRN,5
2,Fulton,PNR_ALLTRN,-1
2,Fulton,PNR_PRMTRN,16
2,Fulton,SCHOOL_BUS,2
2,Fulton,SHARED2FREE,-19
2,Fulton,SHARED2PAY,21
2,Fulton,SHARED3FREE,-17
2,Fulton,SHARED3PAY,10
2,Fulton,TOTAL,-36
2,Fulton,WALK,-23
2,Fulton,WALK_ALLTRN,7
3,Fulton,BIKE,-13
3,Fulton,DRIVEALONEFREE,-383
3,Fulton,DRIVEALONEPAY,383
3,Fulton,KNR_ALLTRN,0
3,Fulton,KNR_PRMTRN,6
3,Fulton,PNR_ALLTRN,-3
3,Fulton,PNR_PRMTRN,35
3,Fulton,SCHOOL_BUS,-20
3,Fulton,SHARED2FREE,-205
3,Fulton,SHARED2PAY,35
3,Fulton,SHARED3FREE,-152
3,Fulton,SHARED3PAY,54
3,Fulton,TOTAL,-211
3,Fulton,WALK,43
3,Fulton,WALK_ALLTRN,9
4,Fulton,BIKE,-13
4,Fulton,DRIVEALONEFREE,-285
4,Fulton,DRIVEALONEPAY,232
4,Fulton,KNR_ALLTRN,3
4,Fulton,KNR_PRMTRN,13
4,Fulton,PNR_ALLTRN,-3
4,Fulton,PNR_PRMTRN,6
4,Fulton,SCHOOL_BUS,-5
4,Fulton,SHARED2FREE,-99
4,Fulton,SHARED2PAY,33
4,Fulton,SHARED3FREE,-6
4,Fulton,SHARED3PAY,42
4,Fulton,TOTAL,-52
4,Fulton,WALK,9
4,Fulton,WALK_ALLTRN,21
5,Fulton,BIKE,-1
5,Fulton,DRIVEALONEFREE,-291
5,Fulton,DRIVEALONEPAY,223
5,Fulton,KNR_ALLTRN,2
5,Fulton,KNR_PRMTRN,4
5,Fulton,PNR_ALLTRN,-2
5,Fulton,PNR_PRMTRN,3
5,Fulton,SCHOOL_BUS,-1
5,Fulton,SHARED2FREE,-37
5,Fulton,SHARED2PAY,30
5,Fulton,SHARED3FREE,-16
5,Fulton,SHARED3PAY,22
5,Fulton,TOTAL,23
5,Fulton,WALK,3
5,Fulton,WALK_ALLTRN,84
6,Fulton,BIKE,-7
6,Fulton,DRIVEALONEFREE,-72
6,Fulton,DRIVEALONEPAY,53
6,Fulton,KNR_ALLTRN,15
6,Fulton,SCHOOL_BUS,0
6,Fulton,SHARED2FREE,10
6,Fulton,SHARED2PAY,3
6,Fulton,SHARED3FREE,39
6,Fulton,SHARED3PAY,6
6,Fulton,TOTAL,65
6,Fulton,WALK,-18
6,Fulton,WALK_ALLTRN,36
7,Fulton,BIKE,0
7,Fulton,DRIVEALONEFREE,-263
7,Fulton,DRIVEALONEPAY,248
7,Fulton,KNR_ALLTRN,5
