"Freight Flows","Lat","Long","Grouping","Daily$","DailyTons"
"Lombard St EB OR 99E",455.77204,-1226.5723,"All Goods",1226100,1908
"Lombard St EB OR 99E",45.577204,-122.65723,"Chemical",8439,23
"Lombard St EB OR 99E",45.577204,-122.65723,"Coal, Oil, Waste, etc.",367269,902
"Lombard St EB OR 99E",45.577204,-122.65723,"Electronics",14890,1
"Lombard St EB OR 99E",45.577204,-122.65723,"Food",474804,349
"Lombard St EB OR 99E",45.577204,-122.65723,"Gravel, Sand, etc.",293,23
"Lombard St EB OR 99E",45.577204,-122.65723,"Machinery",76550,44
"Lombard St EB OR 99E",45.577204,-122.65723,"Misc manufactured",1011,0
"Lombard St EB OR 99E",45.577204,-122.65723,"Motor Vehicles, etc.",0,0
"Lombard St EB OR 99E",45.577204,-122.65723,"Wood, Paper, etc.",128770,230
"Lombard St NB Terminal 4",45.605478,-122.765716,"Agriculture",23148,50
"Lombard St NB Terminal 4",456.05478,-1227.65716,"All Goods",1517655,3279
"Lombard St NB Terminal 4",45.605478,-122.765716,"Chemical",5426,15
"Lombard St NB Terminal 4",45.605478,-122.765716,"Coal, Oil, Waste, etc.",717154,1760
"Lombard St NB Terminal 4",45.605478,-122.765716,"Electronics",32590,3
"Lombard St NB Terminal 4",45.605478,-122.765716,"Food",52526,39
"Lombard St NB Terminal 4",45.605478,-122.765716,"Gravel, Sand, etc.",9212,735
"Lombard St NB Terminal 4",45.605478,-122.765716,"Machinery",406571,235
"Lombard St NB Terminal 4",45.605478,-122.765716,"Misc manufactured",31391,15
"Lombard St NB Terminal 4",45.605478,-122.765716,"Motor Vehicles, etc.",0,0
"Lombard St NB Terminal 4",45.605478,-122.765716,"Wood, Paper, etc.",239638,428
"Lombard St SB Terminal 4",45.605478,-122.765716,"Agriculture",54647,119
"Lombard St SB Terminal 4",456.05478,-1227.65716,"All Goods",2234239,4521
"Lombard St SB Terminal 4",45.605478,-122.765716,"Chemical",2339,6
"Lombard St SB Terminal 4",45.605478,-122.765716,"Coal, Oil, Waste, etc.",1025054,2516
"Lombard St SB Terminal 4",45.605478,-122.765716,"Electronics",40189,3
"Lombard St SB Terminal 4",45.605478,-122.765716,"Food",166285,122
"Lombard St SB Terminal 4",45.605478,-122.765716,"Gravel, Sand, etc.",9003,718
"Lombard St SB Terminal 4",45.605478,-122.765716,"Machinery",493601,285
"Lombard St SB Terminal 4",45.605478,-122.765716,"Misc manufactured",22533,11
"Lombard St SB Terminal 4",45.605478,-122.765716,"Motor Vehicles, etc.",6248,1
"Lombard St SB Terminal 4",45.605478,-122.765716,"Wood, Paper, etc.",414340,740
"Lombard St WB OR 99E",45.577204,-122.65723,"Agriculture",13222,29
"Lombard St WB OR 99E",455.77204,-1226.5723,"All Goods",1753319,2541
"Lombard St WB OR 99E",45.577204,-122.65723,"Chemical",6652,18
"Lombard St WB OR 99E",45.577204,-122.65723,"Coal, Oil, Waste, etc.",419979,1031
"Lombard St WB OR 99E",45.577204,-122.65723,"Electronics",14831,1
"Lombard St WB OR 99E",45.577204,-122.65723,"Food",869895,639
"Lombard St WB OR 99E",45.577204,-122.65723,"Gravel, Sand, etc.",3895,311
"Lombard St WB OR 99E",45.577204,-122.65723,"Machinery",179167,103
"Lombard St WB OR 99E",45.577204,-122.65723,"Misc manufactured",22533,11
"Lombard St WB OR 99E",45.577204,-122.65723,"Motor Vehicles, etc.",0,0
"Lombard St WB OR 99E",45.577204,-122.65723,"Wood, Paper, etc.",223145,398
"Marine Drive EB I-5",45.60806,-122.688062,"Agriculture",0,0
"Marine Drive EB I-5",456.0806,-1226.88062,"All Goods",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Chemical",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Coal, Oil, Waste, etc.",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Electronics",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Food",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Gravel, Sand, etc.",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Machinery",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Misc manufactured",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Motor Vehicles, etc.",0,0
"Marine Drive EB I-5",45.60806,-122.688062,"Wood, Paper, etc.",0,0
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Agriculture",555336,1208
"Marine Drive EB Ledbetter",456.37801,-1227.58713,"All Goods",2811473,4143
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Chemical",87352,242
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Coal, Oil, Waste, etc.",618044,1517
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Electronics",17196,1
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Food",779433,572
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Gravel, Sand, etc.",0,0
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Machinery",572414,330
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Misc manufactured",40249,19
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Motor Vehicles, etc.",0,0
"Marine Drive EB Ledbetter",45.637801,-122.758713,"Wood, Paper, etc.",141450,252
"Marine Drive WB I-5",45.60806,-122.688062,"Agriculture",40722,89
"Marine Drive WB I-5",456.0806,-1226.88062,"All Goods",1758594,2119
"Marine Drive WB I-5",45.60806,-122.688062,"Chemical",8488,23
"Marine Drive WB I-5",45.60806,-122.688062,"Coal, Oil, Waste, etc.",498397,1223
"Marine Drive WB I-5",45.60806,-122.688062,"Electronics",5377,0
"Marine Drive WB I-5",45.60806,-122.688062,"Food",254451,187
"Marine Drive WB I-5",45.60806,-122.688062,"Gravel, Sand, etc.",0,0
"Marine Drive WB I-5",45.60806,-122.688062,"Machinery",894585,516
"Marine Drive WB I-5",45.60806,-122.688062,"Misc manufactured",15884,8
"Marine Drive WB I-5",45.60806,-122.688062,"Motor Vehicles, etc.",0,0
"Marine Drive WB I-5",45.60806,-122.688062,"Wood, Paper, etc.",40690,73
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Agriculture",194701,424
"Marine Drive WB Ledbetter",456.37801,-1227.58713,"All Goods",2061908,2958
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Chemical",274449,759
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Coal, Oil, Waste, etc.",283154,695
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Electronics",11687,1
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Food",1099159,807
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Gravel, Sand, etc.",0,0
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Machinery",0,0
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Misc manufactured",62782,30
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Motor Vehicles, etc.",0,0
"Marine Drive WB Ledbetter",45.637801,-122.758713,"Wood, Paper, etc.",135976,243
"OR 30 NB",45.641935,-122.836238,"Agriculture",155835,339
"OR 30 NB",456.41935,-1228.36238,"All Goods",1641426,2711
"OR 30 NB",45.641935,-122.836238,"Chemical",114705,317
"OR 30 NB",45.641935,-122.836238,"Coal, Oil, Waste, etc.",332538,816
"OR 30 NB",45.641935,-122.836238,"Electronics",25815,2
"OR 30 NB",45.641935,-122.836238,"Food",64929,48
"OR 30 NB",45.641935,-122.836238,"Gravel, Sand, etc.",1316,105
"OR 30 NB",45.641935,-122.836238,"Machinery",477039,275
"OR 30 NB",45.641935,-122.836238,"Misc manufactured",22533,11
"OR 30 NB",45.641935,-122.836238,"Motor Vehicles, etc.",0,0
"OR 30 NB",45.641935,-122.836238,"Wood, Paper, etc.",446717,797
"OR 30 NB I-405",45.535766,-122.692374,"Agriculture",152516,332
"OR 30 NB I-405",455.35766,-1226.92374,"All Goods",12341218,19012
"OR 30 NB I-405",45.535766,-122.692374,"Chemical",279703,773
"OR 30 NB I-405",45.535766,-122.692374,"Coal, Oil, Waste, etc.",3628244,8906
"OR 30 NB I-405",45.535766,-122.692374,"Electronics",487000,42
"OR 30 NB I-405",45.535766,-122.692374,"Food",5377050,3949
"OR 30 NB I-405",45.535766,-122.692374,"Gravel, Sand, etc.",33882,2703
"OR 30 NB I-405",45.535766,-122.692374,"Machinery",1441510,832
"OR 30 NB I-405",45.535766,-122.692374,"Misc manufactured",156955,75
"OR 30 NB I-405",45.535766,-122.692374,"Motor Vehicles, etc.",0,0
"OR 30 NB I-405",45.535766,-122.692374,"Wood, Paper, etc.",784358,1400
"OR 30 SB",45.641935,-122.836238,"Agriculture",294162,640
"OR 30 SB",456.41935,-1228.36238,"All Goods",1473215,2232
"OR 30 SB",45.641935,-122.836238,"Chemical",9102,25
"OR 30 SB",45.641935,-122.836238,"Coal, Oil, Waste, etc.",353264,867
"OR 30 SB",45.641935,-122.836238,"Electronics",131348,11
"OR 30 SB",45.641935,-122.836238,"Food",61277,45
"OR 30 SB",45.641935,-122.836238,"Gravel, Sand, etc.",940,75
"OR 30 SB",45.641935,-122.836238,"Machinery",416025,240
"OR 30 SB",45.641935,-122.836238,"Misc manufactured",31391,15
"OR 30 SB",45.641935,-122.836238,"Motor Vehicles, etc.",0,0
"OR 30 SB",45.641935,-122.836238,"Wood, Paper, etc.",175707,314
"OR 30 SB I-405",45.535766,-122.692374,"Agriculture",719089,1564
"OR 30 SB I-405",455.35766,-1226.92374,"All Goods",11912255,27203
"OR 30 SB I-405",45.535766,-122.692374,"Chemical",1466818,4055
"OR 30 SB I-405",45.535766,-122.692374,"Coal, Oil, Waste, etc.",6561112,16106
"OR 30 SB I-405",45.535766,-122.692374,"Electronics",169404,15
"OR 30 SB I-405",45.535766,-122.692374,"Food",1534520,1127
"OR 30 SB I-405",45.535766,-122.692374,"Gravel, Sand, etc.",36257,2893
"OR 30 SB I-405",45.535766,-122.692374,"Machinery",774546,447
"OR 30 SB I-405",45.535766,-122.692374,"Misc manufactured",117867,56
"OR 30 SB I-405",45.535766,-122.692374,"Motor Vehicles, etc.",6248,1
"OR 30 SB I-405",45.535766,-122.692374,"Wood, Paper, etc.",526393,940
"OR 99E NB",45.584635,-122.662929,"Agriculture",119568,260
"OR 99E NB",455.84635,-1226.62929,"All Goods",3163930,4929
"OR 99E NB",45.584635,-122.662929,"Chemical",76123,210
"OR 99E NB",45.584635,-122.662929,"Coal, Oil, Waste, etc.",1229010,3017
"OR 99E NB",45.584635,-122.662929,"Electronics",10005,1
"OR 99E NB",45.584635,-122.662929,"Food",1490796,1095
"OR 99E NB",45.584635,-122.662929,"Gravel, Sand, etc.",564,45
"OR 99E NB",45.584635,-122.662929,"Machinery",77698,45
"OR 99E NB",45.584635,-122.662929,"Misc manufactured",23204,11
"OR 99E NB",45.584635,-122.662929,"Motor Vehicles, etc.",0,0
"OR 99E NB",45.584635,-122.662929,"Wood, Paper, etc.",136962,244
"OR 99E SB",45.584635,-122.662929,"Agriculture",51738,113
"OR 99E SB",455.84635,-1226.62929,"All Goods",2480707,3798
"OR 99E SB",45.584635,-122.662929,"Chemical",89436,247
"OR 99E SB",45.584635,-122.662929,"Coal, Oil, Waste, etc.",905844,2224
"OR 99E SB",45.584635,-122.662929,"Electronics",32867,3
"OR 99E SB",45.584635,-122.662929,"Food",700509,514
"OR 99E SB",45.584635,-122.662929,"Gravel, Sand, etc.",1343,107
"OR 99E SB",45.584635,-122.662929,"Machinery",499483,288
"OR 99E SB",45.584635,-122.662929,"Misc manufactured",41260,20
"OR 99E SB",45.584635,-122.662929,"Motor Vehicles, etc.",0,0
"OR 99E SB",45.584635,-122.662929,"Wood, Paper, etc.",158228,282
"St John Bridge NB",45.585259,-122.764129,"Agriculture",298995,650
"St John Bridge NB",455.85259,-1227.64129,"All Goods",2398707,5034
"St John Bridge NB",45.585259,-122.764129,"Chemical",11613,32
"St John Bridge NB",45.585259,-122.764129,"Coal, Oil, Waste, etc.",1185705,2911
"St John Bridge NB",45.585259,-122.764129,"Electronics",156070,13
"St John Bridge NB",45.585259,-122.764129,"Food",67306,49
"St John Bridge NB",45.585259,-122.764129,"Gravel, Sand, etc.",8695,694
"St John Bridge NB",45.585259,-122.764129,"Machinery",390024,225
"St John Bridge NB",45.585259,-122.764129,"Misc manufactured",31391,15
"St John Bridge NB",45.585259,-122.764129,"Motor Vehicles, etc.",0,0
"St John Bridge NB",45.585259,-122.764129,"Wood, Paper, etc.",248909,444
"St John Bridge SB",45.585259,-122.764129,"Agriculture",123687,269
"St John Bridge SB",455.85259,-1227.64129,"All Goods",3159275,6360
"St John Bridge SB",45.585259,-122.764129,"Chemical",94609,262
"St John Bridge SB",45.585259,-122.764129,"Coal, Oil, Waste, etc.",1472056,3613
"St John Bridge SB",45.585259,-122.764129,"Electronics",42382,4
"St John Bridge SB",45.585259,-122.764129,"Food",216552,159
"St John Bridge SB",45.585259,-122.764129,"Gravel, Sand, etc.",9589,765
"St John Bridge SB",45.585259,-122.764129,"Machinery",674574,389
"St John Bridge SB",45.585259,-122.764129,"Misc manufactured",22533,11
"St John Bridge SB",45.585259,-122.764129,"Motor Vehicles, etc.",6248,1
"St John Bridge SB",45.585259,-122.764129,"Wood, Paper, etc.",497045,887
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Agriculture",329037,716
"Tual Sher Rd EB I-5",453.82624,-1227.56003,"All Goods",4807483,10229
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Chemical",532508,1472
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Coal, Oil, Waste, etc.",2017153,4952
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Electronics",491092,42
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Food",568031,417
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Gravel, Sand, etc.",18610,1485
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Machinery",309677,179
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Misc manufactured",0,0
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Motor Vehicles, etc.",0,0
"Tual Sher Rd EB I-5",45.382624,-122.756003,"Wood, Paper, etc.",541376,966
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Agriculture",250907,546
"Tual Sher Rd EB OR 99W",453.68241,-1228.40361,"All Goods",1164610,3410
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Chemical",1994,6
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Coal, Oil, Waste, etc.",491426,1206
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Electronics",29076,3
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Food",210724,155
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Gravel, Sand, etc.",16899,1348
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Machinery",107950,62
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Misc manufactured",11243,5
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Motor Vehicles, etc.",0,0
"Tual Sher Rd EB OR 99W",45.368241,-122.840361,"Wood, Paper, etc.",44391,79
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Agriculture",127560,278
"Tual Sher Rd WB I-5",453.82624,-1227.56003,"All Goods",4383751,9637
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Chemical",162720,450
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Coal, Oil, Waste, etc.",1857957,4561
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Electronics",157058,14
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Food",567315,417
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Gravel, Sand, etc.",23278,1857
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Machinery",492055,284
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Misc manufactured",0,0
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Motor Vehicles, etc.",0,0
"Tual Sher Rd WB I-5",45.382624,-122.756003,"Wood, Paper, etc.",995807,1778
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Agriculture",57115,124
"Tual Sher Rd WB OR 99W",453.68241,-1228.40361,"All Goods",1260717,1935
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Chemical",0,0
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Coal, Oil, Waste, etc.",236043,579
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Electronics",17050,1
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Food",506548,372
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Gravel, Sand, etc.",1239,99
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Machinery",26002,15
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Misc manufactured",0,0
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Motor Vehicles, etc.",0,0
"Tual Sher Rd WB OR 99W",45.368241,-122.840361,"Wood, Paper, etc.",416720,744
"US-26 EB Cedar Hills",45.518069,-122.804749,"Agriculture",1193058,2596
"US-26 EB Cedar Hills",455.18069,-1228.04749,"All Goods",6562542,10756
"US-26 EB Cedar Hills",45.518069,-122.804749,"Chemical",296309,819
"US-26 EB Cedar Hills",45.518069,-122.804749,"Coal, Oil, Waste, etc.",970933,2383
"US-26 EB Cedar Hills",45.518069,-122.804749,"Electronics",331001,29
"US-26 EB Cedar Hills",45.518069,-122.804749,"Food",532379,391
"US-26 EB Cedar Hills",45.518069,-122.804749,"Gravel, Sand, etc.",4406,352
"US-26 EB Cedar Hills",45.518069,-122.804749,"Machinery",633935,366
"US-26 EB Cedar Hills",45.518069,-122.804749,"Misc manufactured",627820,300
"US-26 EB Cedar Hills",45.518069,-122.804749,"Motor Vehicles, etc.",0,0
"US-26 EB Cedar Hills",45.518069,-122.804749,"Wood, Paper, etc.",1972701,3521
"US-26 EB Helvetia",45.559424,-122.91461,"Agriculture",1110106,2415
"US-26 EB Helvetia",455.59424,-1229.1461,"All Goods",4644056,7679
"US-26 EB Helvetia",45.559424,-122.91461,"Chemical",98273,272
"US-26 EB Helvetia",45.559424,-122.91461,"Coal, Oil, Waste, etc.",711227,1746
"US-26 EB Helvetia",45.559424,-122.91461,"Electronics",103306,9
"US-26 EB Helvetia",45.559424,-122.91461,"Food",197314,145
"US-26 EB Helvetia",45.559424,-122.91461,"Gravel, Sand, etc.",377,30
"US-26 EB Helvetia",45.559424,-122.91461,"Machinery",443772,256
"US-26 EB Helvetia",45.559424,-122.91461,"Misc manufactured",556851,266
"US-26 EB Helvetia",45.559424,-122.91461,"Motor Vehicles, etc.",0,0
"US-26 EB Helvetia",45.559424,-122.91461,"Wood, Paper, etc.",1422829,2540
"US-26 EB OR 8",45.50495,-122.761546,"Agriculture",1264251,2751
"US-26 EB OR 8",455.0495,-1227.61546,"All Goods",5944506,9603
"US-26 EB OR 8",45.50495,-122.761546,"Chemical",215820,597
"US-26 EB OR 8",45.50495,-122.761546,"Coal, Oil, Waste, etc.",937679,2302
"US-26 EB OR 8",45.50495,-122.761546,"Electronics",245619,21
"US-26 EB OR 8",45.50495,-122.761546,"Food",764136,561
"US-26 EB OR 8",45.50495,-122.761546,"Gravel, Sand, etc.",6107,487
"US-26 EB OR 8",45.50495,-122.761546,"Machinery",640701,370
"US-26 EB OR 8",45.50495,-122.761546,"Misc manufactured",629750,301
"US-26 EB OR 8",45.50495,-122.761546,"Motor Vehicles, etc.",0,0
"US-26 EB OR 8",45.50495,-122.761546,"Wood, Paper, etc.",1240443,2214
"US-26 EB Tunnel",45.511032,-122.705531,"Agriculture",1264251,2751
"US-26 EB Tunnel",455.11032,-1227.05531,"All Goods",5996517,9620
"US-26 EB Tunnel",45.511032,-122.705531,"Chemical",215806,597
"US-26 EB Tunnel",45.511032,-122.705531,"Coal, Oil, Waste, etc.",962122,2362
"US-26 EB Tunnel",45.511032,-122.705531,"Electronics",291158,25
"US-26 EB Tunnel",45.511032,-122.705531,"Food",764136,561
"US-26 EB Tunnel",45.511032,-122.705531,"Gravel, Sand, etc.",5919,472
"US-26 EB Tunnel",45.511032,-122.705531,"Machinery",640773,370
"US-26 EB Tunnel",45.511032,-122.705531,"Misc manufactured",629750,301
"US-26 EB Tunnel",45.511032,-122.705531,"Motor Vehicles, etc.",0,0
"US-26 EB Tunnel",45.511032,-122.705531,"Wood, Paper, etc.",1222602,2182
"US-26 WB Cedar Hills",45.518069,-122.804749,"Agriculture",403341,878
"US-26 WB Cedar Hills",455.18069,-1228.04749,"All Goods",8198114,7682
"US-26 WB Cedar Hills",45.518069,-122.804749,"Chemical",203266,562
"US-26 WB Cedar Hills",45.518069,-122.804749,"Coal, Oil, Waste, etc.",795461,1953
"US-26 WB Cedar Hills",45.518069,-122.804749,"Electronics",448027,39
"US-26 WB Cedar Hills",45.518069,-122.804749,"Food",1254722,921
"US-26 WB Cedar Hills",45.518069,-122.804749,"Gravel, Sand, etc.",7445,594
"US-26 WB Cedar Hills",45.518069,-122.804749,"Machinery",578961,334
"US-26 WB Cedar Hills",45.518069,-122.804749,"Misc manufactured",1849484,884
"US-26 WB Cedar Hills",45.518069,-122.804749,"Motor Vehicles, etc.",1911365,186
"US-26 WB Cedar Hills",45.518069,-122.804749,"Wood, Paper, etc.",746043,1332
"US-26 WB Helvetia",45.559424,-122.91461,"Agriculture",487807,1061
"US-26 WB Helvetia",455.59424,-1229.1461,"All Goods",4446269,4760
"US-26 WB Helvetia",45.559424,-122.91461,"Chemical",19019,53
"US-26 WB Helvetia",45.559424,-122.91461,"Coal, Oil, Waste, etc.",508458,1248
"US-26 WB Helvetia",45.559424,-122.91461,"Electronics",134418,12
"US-26 WB Helvetia",45.559424,-122.91461,"Food",288400,212
"US-26 WB Helvetia",45.559424,-122.91461,"Gravel, Sand, etc.",2315,185
"US-26 WB Helvetia",45.559424,-122.91461,"Machinery",728058,420
"US-26 WB Helvetia",45.559424,-122.91461,"Misc manufactured",1511768,722
"US-26 WB Helvetia",45.559424,-122.91461,"Motor Vehicles, etc.",307875,30
"US-26 WB Helvetia",45.559424,-122.91461,"Wood, Paper, etc.",458151,818
"US-26 WB OR 8",45.50495,-122.761546,"Agriculture",97497,212
"US-26 WB OR 8",455.0495,-1227.61546,"All Goods",7700560,6311
"US-26 WB OR 8",45.50495,-122.761546,"Chemical",215204,595
"US-26 WB OR 8",45.50495,-122.761546,"Coal, Oil, Waste, etc.",604741,1484
"US-26 WB OR 8",45.50495,-122.761546,"Electronics",409062,35
"US-26 WB OR 8",45.50495,-122.761546,"Food",1412842,1038
"US-26 WB OR 8",45.50495,-122.761546,"Gravel, Sand, etc.",3262,260
"US-26 WB OR 8",45.50495,-122.761546,"Machinery",371851,215
"US-26 WB OR 8",45.50495,-122.761546,"Misc manufactured",1849484,884
"US-26 WB OR 8",45.50495,-122.761546,"Motor Vehicles, etc.",1953911,190
"US-26 WB OR 8",45.50495,-122.761546,"Wood, Paper, etc.",782706,1397
"US-26 WB Tunnel",45.511032,-122.705531,"Agriculture",97641,212
"US-26 WB Tunnel",455.11032,-1227.05531,"All Goods",7713312,6326
"US-26 WB Tunnel",45.511032,-122.705531,"Chemical",215204,595
"US-26 WB Tunnel",45.511032,-122.705531,"Coal, Oil, Waste, etc.",610870,1500
"US-26 WB Tunnel",45.511032,-122.705531,"Electronics",415527,36
"US-26 WB Tunnel",45.511032,-122.705531,"Food",1412842,1038
"US-26 WB Tunnel",45.511032,-122.705531,"Gravel, Sand, etc.",3262,260
"US-26 WB Tunnel",45.511032,-122.705531,"Machinery",371851,215
"US-26 WB Tunnel",45.511032,-122.705531,"Misc manufactured",1849484,884
"US-26 WB Tunnel",45.511032,-122.705531,"Motor Vehicles, etc.",1953911,190
"US-26 WB Tunnel",45.511032,-122.705531,"Wood, Paper, etc.",782720,1397
