"Freight Flows","Lat","Long","Grouping","Daily$","DailyTons"
"Hwy 217 NB US 26",455.0249,-1227.85801,"All Goods",2401134,4133
"Hwy 217 NB US 26",45.50249,-122.785801,"Chemical",42339,117
"Hwy 217 NB US 26",45.50249,-122.785801,"Coal, Oil, Waste, etc.",426462,1047
"Hwy 217 NB US 26",45.50249,-122.785801,"Electronics",433864,37
"Hwy 217 NB US 26",45.50249,-122.785801,"Food",439582,323
"Hwy 217 NB US 26",45.50249,-122.785801,"Gravel, Sand, etc.",8458,675
"Hwy 217 NB US 26",45.50249,-122.785801,"Machinery",141570,82
"Hwy 217 NB US 26",45.50249,-122.785801,"Misc manufactured",1930,1
"Hwy 217 NB US 26",45.50249,-122.785801,"Motor Vehicles, etc.",0,0
"Hwy 217 NB US 26",45.50249,-122.785801,"Wood, Paper, etc.",310746,555
"Hwy 217 SB US 26",45.50249,-122.785801,"Agriculture",219627,478
"Hwy 217 SB US 26",455.0249,-1227.85801,"All Goods",2460200,4166
"Hwy 217 SB US 26",45.50249,-122.785801,"Chemical",126438,350
"Hwy 217 SB US 26",45.50249,-122.785801,"Coal, Oil, Waste, etc.",313538,770
"Hwy 217 SB US 26",45.50249,-122.785801,"Electronics",151354,13
"Hwy 217 SB US 26",45.50249,-122.785801,"Food",486774,357
"Hwy 217 SB US 26",45.50249,-122.785801,"Gravel, Sand, etc.",3860,308
"Hwy 217 SB US 26",45.50249,-122.785801,"Machinery",53347,31
"Hwy 217 SB US 26",45.50249,-122.785801,"Misc manufactured",31391,15
"Hwy 217 SB US 26",45.50249,-122.785801,"Motor Vehicles, etc.",42546,4
"Hwy 217 SB US 26",45.50249,-122.785801,"Wood, Paper, etc.",1031327,1841
"I-205 EB Stafford",45.372744,-122.727953,"Agriculture",291505,634
"I-205 EB Stafford",453.72744,-1227.27953,"All Goods",8939264,13019
"I-205 EB Stafford",45.372744,-122.727953,"Chemical",439090,1214
"I-205 EB Stafford",45.372744,-122.727953,"Coal, Oil, Waste, etc.",1982468,4866
"I-205 EB Stafford",45.372744,-122.727953,"Electronics",280545,24
"I-205 EB Stafford",45.372744,-122.727953,"Food",596178,438
"I-205 EB Stafford",45.372744,-122.727953,"Gravel, Sand, etc.",19062,1521
"I-205 EB Stafford",45.372744,-122.727953,"Machinery",3558267,2053
"I-205 EB Stafford",45.372744,-122.727953,"Misc manufactured",87724,42
"I-205 EB Stafford",45.372744,-122.727953,"Motor Vehicles, etc.",461813,45
"I-205 EB Stafford",45.372744,-122.727953,"Wood, Paper, etc.",1222614,2182
"I-205 NB Sandy",45.551377,-122.563909,"Agriculture",1098630,2390
"I-205 NB Sandy",455.51377,-1225.63909,"All Goods",18074647,26967
"I-205 NB Sandy",45.551377,-122.563909,"Chemical",854694,2363
"I-205 NB Sandy",45.551377,-122.563909,"Coal, Oil, Waste, etc.",4629930,11365
"I-205 NB Sandy",45.551377,-122.563909,"Electronics",770172,66
"I-205 NB Sandy",45.551377,-122.563909,"Food",5541742,4070
"I-205 NB Sandy",45.551377,-122.563909,"Gravel, Sand, etc.",16665,1330
"I-205 NB Sandy",45.551377,-122.563909,"Machinery",1258681,726
"I-205 NB Sandy",45.551377,-122.563909,"Misc manufactured",412648,197
"I-205 NB Sandy",45.551377,-122.563909,"Motor Vehicles, etc.",1050495,102
"I-205 NB Sandy",45.551377,-122.563909,"Wood, Paper, etc.",2440988,4357
"I-205 SB Sandy",45.551377,-122.563909,"Agriculture",561716,1222
"I-205 SB Sandy",455.51377,-1225.63909,"All Goods",17069303,18743
"I-205 SB Sandy",45.551377,-122.563909,"Chemical",944345,2611
"I-205 SB Sandy",45.551377,-122.563909,"Coal, Oil, Waste, etc.",1801600,4422
"I-205 SB Sandy",45.551377,-122.563909,"Electronics",2059599,178
"I-205 SB Sandy",45.551377,-122.563909,"Food",4226693,3104
"I-205 SB Sandy",45.551377,-122.563909,"Gravel, Sand, etc.",8613,687
"I-205 SB Sandy",45.551377,-122.563909,"Machinery",3986715,2300
"I-205 SB Sandy",45.551377,-122.563909,"Misc manufactured",349448,167
"I-205 SB Sandy",45.551377,-122.563909,"Motor Vehicles, etc.",910076,89
"I-205 SB Sandy",45.551377,-122.563909,"Wood, Paper, etc.",2220497,3964
"I-205 WB Stafford",45.372744,-122.727953,"Agriculture",473392,1030
"I-205 WB Stafford",453.72744,-1227.27953,"All Goods",9819672,17386
"I-205 WB Stafford",45.372744,-122.727953,"Chemical",538514,1489
