"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"41958","BUS",33.7432306102783,-84.7262776286926,"DAILY",336.02,555.01
"56817","BUS",33.5686896987481,-85.1033103770418,"DAILY",51.98,48.01
"56818","BUS",33.57153042303,-85.0946596677538,"DAILY",261.01,245.98
"56843","BUS",33.6004704205704,-85.1024501076168,"DAILY",88,88
"56850","BUS",33.5816898652961,-85.0984395182198,"DAILY",51,44
"62289","BUS",34.3322404247821,-83.8089996826749,"DAILY",0,0
"62294","BUS",34.3149896366361,-83.7996100753071,"DAILY",0,0
"62295","BUS",34.3125903376948,-83.7979602252625,"DAILY",0,0
"62296","BUS",34.3118901457753,-83.7967505130632,"DAILY",1,1
"62297","BUS",34.3107704095128,-83.797489411143,"DAILY",1,2
"62298","BUS",34.3087801900896,-83.7999301755582,"DAILY",0,0
"62299","BUS",34.3074701842838,-83.8024296250195,"DAILY",0,1
"62302","BUS",34.3054999431626,-83.8102000586168,"DAILY",0,0
"62303","BUS",34.3029798230612,-83.8127301843521,"DAILY",11,8
"62305","BUS",34.3019904214359,-83.8157004479328,"DAILY",8,8
"62307","BUS",34.2969596947102,-83.820919415778,"DAILY",0,0
"62310","BUS",34.2876003358738,-83.8114404470901,"DAILY",0,0
"62445","BUS",34.2873596449015,-83.8274801371761,"DAILY",12,11
"62457","BUS",34.2940504733927,-83.8296301438631,"DAILY",4,6
"62458","BUS",34.2957695587167,-83.8286898493753,"DAILY",1,0
"62460","BUS",34.2963299025218,-83.8275001434418,"DAILY",11,10
"62461","BUS",34.2970900293474,-83.8258502933972,"DAILY",24.99,47.99
"62468","BUS",34.3005500809929,-83.8292100122835,"DAILY",2,2
"62470","BUS",34.3008497555236,-83.8285698117811,"DAILY",0,1
"62474","BUS",34.3026601702284,-83.826130381117,"DAILY",0,1
"62484","BUS",34.3150096149382,-83.8293900686748,"DAILY",2,1
"62485","BUS",34.3184496882816,-83.831199968845,"DAILY",0,1
"62486","BUS",34.3194799978587,-83.8318001568159,"DAILY",0,0
"62487","BUS",34.321470217282,-83.8330205390235,"DAILY",1,0
"62488","BUS",34.3240797640687,-83.8346703890681,"DAILY",0,0
"62491","BUS",34.3275322049324,-83.8361335139662,"DAILY",6,2
"62492","BUS",34.3304899449835,-83.8396106029446,"DAILY",0,0
"62493","BUS",34.3318703505204,-83.8410603903322,"DAILY",5,5
"62604","BUS",34.2800399755696,-83.8776905290751,"DAILY",2,3
"62605","BUS",34.2763097411727,-83.868550333153,"DAILY",1,1
"62607","BUS",34.2741996519371,-83.8628698874456,"DAILY",0,12
"62608","BUS",34.2750301784938,-83.8598596113335,"DAILY",1,1
"62609","BUS",34.2762203144873,-83.8574295169267,"DAILY",39,36
"62610","BUS",34.2781496476567,-83.8551994851768,"DAILY",44,47
"62611","BUS",34.2800199972676,-83.853400255015,"DAILY",4,4
"62613","BUS",34.2837302533625,-83.8490095465697,"DAILY",9,13
"62614","BUS",34.2843695590281,-83.8467395022885,"DAILY",11,11
"62615","BUS",34.286290330068,-83.8414498456378,"DAILY",17,18
"62616","BUS",34.2873796232036,-83.8380594504774,"DAILY",0,1
"62617","BUS",34.2889398334589,-83.8351998882336,"DAILY",9,8
"62618","BUS",34.2905504651432,-83.8318495056046,"DAILY",25,25
"62803","BUS",34.3048197295452,-83.8607705632983,"DAILY",7,9
"62805","BUS",34.2986901962068,-83.857009385347,"DAILY",0,1
"62808","BUS",34.295540283917,-83.8528600858412,"DAILY",10.99,22.01
"62812","BUS",34.2966695336567,-83.8439599651074,"DAILY",22.01,43.99
"62813","BUS",34.2965896204485,-83.8411004028636,"DAILY",0,1
"62825","BUS",34.2921496806549,-83.8420193573347,"DAILY",13.99,5.99
"62826","BUS",34.2890996598753,-83.8411897641837,"DAILY",67.99,47.94
"62833","BUS",34.2939696088368,-83.8504593339573,"DAILY",52.99,65.98
"62835","BUS",34.2928898291784,-83.8476597905106,"DAILY",57.95,54.01
"62836","BUS",34.2915703098954,-83.8461206418029,"DAILY",28.97,21.99
"62858","BUS",34.2901499477545,-83.8099599834284,"DAILY",0,1
"62860","BUS",34.2927404675869,-83.8071204274503,"DAILY",0,1
"62884","BUS",34.3064902961356,-83.8152096275477,"DAILY",0,0
"62886","BUS",34.3094299605801,-83.8153003226189,"DAILY",0,0
"62889","BUS",34.3169104076761,-83.8163899972239,"DAILY",1,3
"62891","BUS",34.3197397157854,-83.8188094216224,"DAILY",1,2
