ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,1
1,Fulton,DRIVEALONEFREE,827
1,Fulton,DRIVEALONEPAY,21
1,Fulton,KNR_ALLTRN,2
1,Fulton,PNR_PRMTRN,3
1,Fulton,SCHOOL_BUS,63
1,Fulton,SHARED2FREE,485
1,Fulton,SHARED2PAY,1
1,Fulton,SHARED3FREE,346
1,Fulton,SHARED3PAY,1
1,Fulton,TOTAL,1788
1,Fulton,WALK,38
2,Fulton,BIKE,8
2,Fulton,DRIVEALONEFREE,1544
2,Fulton,DRIVEALONEPAY,24
2,Fulton,KNR_ALLTRN,4
2,Fulton,PNR_ALLTRN,1
2,Fulton,PNR_PRMTRN,5
2,Fulton,SCHOOL_BUS,220
2,Fulton,SHARED2FREE,826
2,Fulton,SHARED2PAY,8
2,Fulton,SHARED3FREE,658
2,Fulton,TOTAL,3404
2,Fulton,WALK,106
3,Fulton,BIKE,39
3,Fulton,DRIVEALONEFREE,4945
3,Fulton,DRIVEALONEPAY,94
3,Fulton,KNR_ALLTRN,5
3,Fulton,PNR_ALLTRN,8
3,Fulton,PNR_PRMTRN,11
3,Fulton,SCHOOL_BUS,737
3,Fulton,SHARED2FREE,2994
3,Fulton,SHARED2PAY,16
3,Fulton,SHARED3FREE,2310
3,Fulton,SHARED3PAY,18
3,Fulton,TOTAL,11678
3,Fulton,WALK,501
4,Fulton,BIKE,11
4,Fulton,DRIVEALONEFREE,1852
4,Fulton,DRIVEALONEPAY,49
4,Fulton,KNR_ALLTRN,1
4,Fulton,KNR_PRMTRN,1
4,Fulton,PNR_ALLTRN,3
4,Fulton,PNR_PRMTRN,6
4,Fulton,SCHOOL_BUS,298
4,Fulton,SHARED2FREE,1117
4,Fulton,SHARED2PAY,11
4,Fulton,SHARED3FREE,900
4,Fulton,SHARED3PAY,10
4,Fulton,TOTAL,4368
4,Fulton,WALK,109
5,Fulton,BIKE,13
5,Fulton,DRIVEALONEFREE,1838
5,Fulton,DRIVEALONEPAY,50
5,Fulton,KNR_ALLTRN,3
5,Fulton,PNR_ALLTRN,4
5,Fulton,PNR_PRMTRN,8
5,Fulton,SCHOOL_BUS,258
5,Fulton,SHARED2FREE,1174
5,Fulton,SHARED2PAY,10
5,Fulton,SHARED3FREE,833
5,Fulton,SHARED3PAY,11
5,Fulton,TOTAL,4351
5,Fulton,WALK,149
6,Fulton,BIKE,5
6,Fulton,DRIVEALONEFREE,208
6,Fulton,SHARED2FREE,84
6,Fulton,SHARED3FREE,61
6,Fulton,TOTAL,363
6,Fulton,WALK,5
7,Fulton,BIKE,23
7,Fulton,DRIVEALONEFREE,2343
7,Fulton,DRIVEALONEPAY,44
7,Fulton,KNR_ALLTRN,6
7,Fulton,PNR_ALLTRN,7
7,Fulton,PNR_PRMTRN,10
7,Fulton,SCHOOL_BUS,202
7,Fulton,SHARED2FREE,1236
7,Fulton,SHARED2PAY,10
7,Fulton,SHARED3FREE,829
7,Fulton,SHARED3PAY,4
7,Fulton,TOTAL,4921
7,Fulton,WALK,206
7,Fulton,WALK_ALLTRN,1
8,Fulton,BIKE,4
8,Fulton,DRIVEALONEFREE,876
8,Fulton,DRIVEALONEPAY,29
8,Fulton,KNR_ALLTRN,2
8,Fulton,KNR_PRMTRN,1
8,Fulton,PNR_PRMTRN,2
8,Fulton,SCHOOL_BUS,141
8,Fulton,SHARED2FREE,537
8,Fulton,SHARED2PAY,4
8,Fulton,SHARED3FREE,438
8,Fulton,SHARED3PAY,2
8,Fulton,TOTAL,2054
8,Fulton,WALK,17
8,Fulton,WALK_ALLTRN,1
9,Fulton,BIKE,6
9,Fulton,DRIVEALONEFREE,415
9,Fulton,DRIVEALONEPAY,6
9,Fulton,KNR_ALLTRN,1
9,Fulton,PNR_PRMTRN,2
9,Fulton,SCHOOL_BUS,59
9,Fulton,SHARED2FREE,261
9,Fulton,SHARED2PAY,1
9,Fulton,SHARED3FREE,224
9,Fulton,TOTAL,989
9,Fulton,WALK,14
10,Fulton,BIKE,6
10,Fulton,DRIVEALONEFREE,1085
10,Fulton,DRIVEALONEPAY,5
10,Fulton,KNR_ALLTRN,1
10,Fulton,SCHOOL_BUS,354
10,Fulton,SHARED2FREE,829
10,Fulton,SHARED2PAY,1
10,Fulton,SHARED3FREE,632
10,Fulton,TOTAL,2970
10,Fulton,WALK,57
11,Fulton,BIKE,1
11,Fulton,DRIVEALONEFREE,305
11,Fulton,DRIVEALONEPAY,8
11,Fulton,KNR_ALLTRN,1
11,Fulton,KNR_PRMTRN,1
11,Fulton,PNR_ALLTRN,1
11,Fulton,PNR_PRMTRN,5
11,Fulton,SCHOOL_BUS,46
11,Fulton,SHARED2FREE,160
11,Fulton,SHARED3FREE,168
11,Fulton,SHARED3PAY,1
11,Fulton,TOTAL,703
11,Fulton,WALK,6
12,Fulton,DRIVEALONEFREE,126
12,Fulton,DRIVEALONEPAY,1
12,Fulton,PNR_PRMTRN,3
12,Fulton,SCHOOL_BUS,13
12,Fulton,SHARED2FREE,97
12,Fulton,SHARED3FREE,32
12,Fulton,TOTAL,273
12,Fulton,WALK,1
13,Fulton,BIKE,6
13,Fulton,DRIVEALONEFREE,1681
13,Fulton,DRIVEALONEPAY,36
13,Fulton,KNR_ALLTRN,6
13,Fulton,KNR_PRMTRN,1
13,Fulton,PNR_PRMTRN,4
13,Fulton,SCHOOL_BUS,351
13,Fulton,SHARED2FREE,1134
13,Fulton,SHARED2PAY,14
13,Fulton,SHARED3FREE,1014
13,Fulton,SHARED3PAY,8
13,Fulton,TOTAL,4361
13,Fulton,WALK,106
14,Fulton,BIKE,16
14,Fulton,DRIVEALONEFREE,1697
14,Fulton,DRIVEALONEPAY,10
14,Fulton,SHARED2FREE,889
14,Fulton,SHARED2PAY,1
14,Fulton,SHARED3FREE,535
14,Fulton,SHARED3PAY,1
14,Fulton,TOTAL,3282
14,Fulton,WALK,133
15,Fulton,BIKE,1
15,Fulton,DRIVEALONEFREE,175
15,Fulton,PNR_PRMTRN,1
15,Fulton,SCHOOL_BUS,46
15,Fulton,SHARED2FREE,110
15,Fulton,SHARED3FREE,89
15,Fulton,SHARED3PAY,3
15,Fulton,TOTAL,435
15,Fulton,WALK,10
16,Fulton,BIKE,2
16,Fulton,DRIVEALONEFREE,577
16,Fulton,DRIVEALONEPAY,9
16,Fulton,KNR_ALLTRN,2
16,Fulton,PNR_ALLTRN,2
16,Fulton,PNR_PRMTRN,3
16,Fulton,SCHOOL_BUS,53
16,Fulton,SHARED2FREE,295
16,Fulton,SHARED2PAY,2
16,Fulton,SHARED3FREE,194
16,Fulton,SHARED3PAY,1
16,Fulton,TOTAL,1157
16,Fulton,WALK,17
17,Fulton,BIKE,8
17,Fulton,DRIVEALONEFREE,787
17,Fulton,DRIVEALONEPAY,23
17,Fulton,PNR_ALLTRN,3
17,Fulton,PNR_PRMTRN,2
17,Fulton,SCHOOL_BUS,137
17,Fulton,SHARED2FREE,534
17,Fulton,SHARED2PAY,3
17,Fulton,SHARED3FREE,462
17,Fulton,SHARED3PAY,5
17,Fulton,TOTAL,1969
17,Fulton,WALK,5
18,Fulton,BIKE,3
18,Fulton,DRIVEALONEFREE,710
18,Fulton,DRIVEALONEPAY,10
18,Fulton,KNR_ALLTRN,1
18,Fulton,KNR_PRMTRN,1
18,Fulton,PNR_ALLTRN,2
18,Fulton,PNR_PRMTRN,3
18,Fulton,SCHOOL_BUS,178
18,Fulton,SHARED2FREE,478
18,Fulton,SHARED2PAY,2
18,Fulton,SHARED3FREE,374
18,Fulton,SHARED3PAY,1
18,Fulton,TOTAL,1784
18,Fulton,WALK,21
19,Fulton,BIKE,2
19,Fulton,DRIVEALONEFREE,481
19,Fulton,DRIVEALONEPAY,13
