ZONE,COUNTY,TRIP MODE,QUANTITY
216,El Dorado,BIKE,10
216,El Dorado,HOV2,1200
216,El Dorado,HOV3PLUS,910
216,El Dorado,SCHBUS,80
216,El Dorado,SOV,2530
216,El Dorado,WALK,30
216,El Dorado,WALKTRANSIT,20
217,El Dorado,BIKE,200
217,El Dorado,HOV2,6540
217,El Dorado,HOV3PLUS,5060
217,El Dorado,SCHBUS,340
217,El Dorado,SOV,10820
217,El Dorado,WALK,740
217,El Dorado,WALKTRANSIT,40
218,El Dorado,BIKE,30
218,El Dorado,HOV2,940
218,El Dorado,HOV3PLUS,810
218,El Dorado,SCHBUS,120
218,El Dorado,SOV,1540
219,El Dorado,HOV2,1720
219,El Dorado,HOV3PLUS,1200
219,El Dorado,SCHBUS,140
219,El Dorado,SOV,3440
219,El Dorado,WALK,90
220,El Dorado,BIKE,10
220,El Dorado,HOV2,940
220,El Dorado,HOV3PLUS,390
220,El Dorado,SCHBUS,30
220,El Dorado,SOV,1360
220,El Dorado,WALK,70
221,El Dorado,BIKE,60
221,El Dorado,HOV2,990
221,El Dorado,HOV3PLUS,460
221,El Dorado,SCHBUS,30
221,El Dorado,SOV,1570
221,El Dorado,WALK,200
221,El Dorado,WALKTRANSIT,20
222,El Dorado,BIKE,10
222,El Dorado,HOV2,460
222,El Dorado,HOV3PLUS,690
222,El Dorado,SCHBUS,60
222,El Dorado,SOV,1290
222,El Dorado,WALK,110
223,El Dorado,HOV2,1120
223,El Dorado,HOV3PLUS,1000
223,El Dorado,SCHBUS,50
223,El Dorado,SOV,2350
223,El Dorado,WALK,100
224,El Dorado,BIKE,50
224,El Dorado,HOV2,1840
224,El Dorado,HOV3PLUS,1000
224,El Dorado,SCHBUS,60
224,El Dorado,SOV,2740
224,El Dorado,WALK,120
225,El Dorado,HOV2,2280
225,El Dorado,HOV3PLUS,1140
225,El Dorado,SCHBUS,80
225,El Dorado,SOV,4090
225,El Dorado,WALK,70
847,El Dorado,HOV2,1730
847,El Dorado,HOV3PLUS,810
847,El Dorado,SCHBUS,140
847,El Dorado,SOV,2100
847,El Dorado,WALK,40
848,El Dorado,HOV2,2360
848,El Dorado,HOV3PLUS,1790
848,El Dorado,SCHBUS,100
848,El Dorado,SOV,4590
848,El Dorado,WALK,270
850,El Dorado,BIKE,40
850,El Dorado,HOV2,3300
850,El Dorado,HOV3PLUS,2810
850,El Dorado,SCHBUS,330
850,El Dorado,SOV,4880
850,El Dorado,WALK,210
851,El Dorado,BIKE,20
851,El Dorado,HOV2,2760
851,El Dorado,HOV3PLUS,1790
851,El Dorado,SCHBUS,150
851,El Dorado,SOV,4430
851,El Dorado,WALK,40
851,El Dorado,WALKTRANSIT,20
853,El Dorado,BIKE,30
853,El Dorado,HOV2,2160
853,El Dorado,HOV3PLUS,1150
853,El Dorado,SCHBUS,80
853,El Dorado,SOV,3680
853,El Dorado,WALK,50
854,El Dorado,BIKE,10
854,El Dorado,HOV2,2120
854,El Dorado,HOV3PLUS,1240
854,El Dorado,SCHBUS,30
854,El Dorado,SOV,3300
854,El Dorado,WALK,30
855,El Dorado,BIKE,30
855,El Dorado,HOV2,380
855,El Dorado,HOV3PLUS,240
855,El Dorado,SCHBUS,30
855,El Dorado,SOV,860
855,El Dorado,WALK,50
856,El Dorado,BIKE,190
856,El Dorado,HOV2,2000
856,El Dorado,HOV3PLUS,1610
856,El Dorado,SCHBUS,70
856,El Dorado,SOV,5250
856,El Dorado,WALK,430
856,El Dorado,WALKTRANSIT,60
857,El Dorado,BIKE,20
857,El Dorado,HOV2,430
857,El Dorado,HOV3PLUS,320
857,El Dorado,SOV,560
857,El Dorado,WALK,50
858,El Dorado,HOV2,500
858,El Dorado,HOV3PLUS,490
858,El Dorado,SCHBUS,140
858,El Dorado,SOV,1640
858,El Dorado,WALK,120
859,El Dorado,HOV2,860
859,El Dorado,HOV3PLUS,950
859,El Dorado,SCHBUS,70
859,El Dorado,SOV,1320
859,El Dorado,WALK,20
860,El Dorado,HOV2,960
860,El Dorado,HOV3PLUS,610
860,El Dorado,SOV,1660
860,El Dorado,WALK,160
861,El Dorado,HOV2,410
861,El Dorado,HOV3PLUS,90
861,El Dorado,SCHBUS,40
861,El Dorado,SOV,310
861,El Dorado,WALK,10
864,El Dorado,HOV2,1160
864,El Dorado,HOV3PLUS,830
864,El Dorado,SCHBUS,30
864,El Dorado,SOV,1650
864,El Dorado,WALK,70
865,El Dorado,HOV2,60
865,El Dorado,HOV3PLUS,30
865,El Dorado,SCHBUS,10
865,El Dorado,SOV,140
865,El Dorado,WALK,20
866,El Dorado,BIKE,20
866,El Dorado,HOV2,570
866,El Dorado,HOV3PLUS,580
866,El Dorado,SOV,770
866,El Dorado,WALK,130
868,El Dorado,HOV2,80
868,El Dorado,SOV,120
868,El Dorado,WALK,20
869,El Dorado,HOV2,70
869,El Dorado,SOV,70
870,El Dorado,BIKE,50
870,El Dorado,HOV2,2340
870,El Dorado,HOV3PLUS,1340
870,El Dorado,SCHBUS,130
870,El Dorado,SOV,2920
870,El Dorado,WALK,90
871,El Dorado,HOV2,460
871,El Dorado,HOV3PLUS,180
871,El Dorado,SCHBUS,30
871,El Dorado,SOV,1030
871,El Dorado,WALK,10
872,El Dorado,HOV2,1270
872,El Dorado,HOV3PLUS,500
872,El Dorado,SCHBUS,10
872,El Dorado,SOV,1220
872,El Dorado,WALK,40
873,El Dorado,HOV2,280
873,El Dorado,HOV3PLUS,200
873,El Dorado,SCHBUS,60
873,El Dorado,SOV,470
874,El Dorado,HOV2,140
874,El Dorado,HOV3PLUS,130
874,El Dorado,SOV,390
874,El Dorado,WALK,30
875,El Dorado,HOV2,230
875,El Dorado,HOV3PLUS,150
875,El Dorado,SCHBUS,10
875,El Dorado,SOV,460
997,El Dorado,BIKE,20
997,El Dorado,HOV2,420
997,El Dorado,HOV3PLUS,260
997,El Dorado,SOV,610
998,El Dorado,HOV2,630
998,El Dorado,HOV3PLUS,380
998,El Dorado,SCHBUS,10
998,El Dorado,SOV,1890
998,El Dorado,WALK,20
999,El Dorado,HOV2,3210
999,El Dorado,HOV3PLUS,2090
999,El Dorado,SCHBUS,200
999,El Dorado,SOV,4850
999,El Dorado,WALK,170
999,El Dorado,WALKTRANSIT,20
1000,El Dorado,HOV2,250
1000,El Dorado,HOV3PLUS,240
1000,El Dorado,SOV,440
1001,El Dorado,HOV2,2390
1001,El Dorado,HOV3PLUS,1190
1001,El Dorado,SCHBUS,160
1001,El Dorado,SOV,4400
1001,El Dorado,WALK,100
1002,El Dorado,HOV2,1110
1002,El Dorado,HOV3PLUS,620
1002,El Dorado,SCHBUS,30
1002,El Dorado,SOV,1440
1002,El Dorado,WALK,10
1003,El Dorado,HOV2,1080
1003,El Dorado,HOV3PLUS,790
1003,El Dorado,SCHBUS,60
