SIMPLE MODE,TRIP MODE,QUANTITY
ACTIVE,BIKE,74770
ACTIVE,WALK,364490
AUTO,HOV2,2159980
AUTO,HOV3PLUS,1518600
AUTO,SOV,3519950
SCHBUS,SCHBUS,112120
TRANSIT,WALKTRANSIT,96510
