BENEFIT,SCENARIO,VALUE,CHART
travel_options,I205,26464943.03342078,Benefits-everybody
veh_ownership_cost,I205,209216.06467596168,Benefits-everybody
travel_time_reliability,I205,2779973.5279783667,Benefits-everybody
travel_time,I205,23301994.39079112,Benefits-everybody
veh_operating_cost,I205,-15499198.36564064,Benefits-everybody
emissions_cost,I205,-4708070.842295885,Benefits-everybody
noise_pollution_cost,I205,-945067.5562635512,Benefits-everybody
surface_water_pollution_cost,I205,-1103101.1813840866,Benefits-everybody
safety_cost,I205,-1484723.2595305443,Benefits-everybody
active_transportation,I205,-484499.602727324,Benefits-everybody
travel_options,DivisionBRT,8546581.470848752,Benefits-everybody
veh_ownership_cost,DivisionBRT,17386310.070673592,Benefits-everybody
travel_time_reliability,DivisionBRT,347639.07861311035,Benefits-everybody
travel_time,DivisionBRT,10389032.744128218,Benefits-everybody
veh_operating_cost,DivisionBRT,1619973.6944322588,Benefits-everybody
emissions_cost,DivisionBRT,585481.4863226414,Benefits-everybody
noise_pollution_cost,DivisionBRT,9884.34538064897,Benefits-everybody
surface_water_pollution_cost,DivisionBRT,103798.27553778887,Benefits-everybody
safety_cost,DivisionBRT,1164379.7109398842,Benefits-everybody
active_transportation,DivisionBRT,-392014.342310873,Benefits-everybody
travel_options,I205,22.29532070927117,BenefitsPerHousehold-everybody
veh_ownership_cost,I205,0.17625351596607086,BenefitsPerHousehold-everybody
travel_time_reliability,I205,2.34198128789814,BenefitsPerHousehold-everybody
travel_time,I205,19.630703056955475,BenefitsPerHousehold-everybody
veh_operating_cost,I205,-13.05725834596303,BenefitsPerHousehold-everybody
emissions_cost,I205,-3.966301730496767,BenefitsPerHousehold-everybody
noise_pollution_cost,I205,-0.7961696434492391,BenefitsPerHousehold-everybody
surface_water_pollution_cost,I205,-0.9293046496520332,BenefitsPerHousehold-everybody
safety_cost,I205,-1.2508011520729587,BenefitsPerHousehold-everybody
active_transportation,I205,-0.4081653987571012,BenefitsPerHousehold-everybody
travel_options,DivisionBRT,7.200044776966128,BenefitsPerHousehold-everybody
veh_ownership_cost,DivisionBRT,14.647050571277745,BenefitsPerHousehold-everybody
travel_time_reliability,DivisionBRT,0.292867615054639,BenefitsPerHousehold-everybody
travel_time,DivisionBRT,8.752212940604192,BenefitsPerHousehold-everybody
veh_operating_cost,DivisionBRT,1.3647425204104655,BenefitsPerHousehold-everybody
emissions_cost,DivisionBRT,0.4932373173983286,BenefitsPerHousehold-everybody
noise_pollution_cost,DivisionBRT,0.008327040416617396,BenefitsPerHousehold-everybody
surface_water_pollution_cost,DivisionBRT,0.08744458052533244,BenefitsPerHousehold-everybody
safety_cost,DivisionBRT,0.9809285835223518,BenefitsPerHousehold-everybody
active_transportation,DivisionBRT,-0.3302514376629363,BenefitsPerHousehold-everybody
travel_options,I205,3984553.191757922,Benefits-minority
veh_ownership_cost,I205,42423.32202617595,Benefits-minority
travel_time_reliability,I205,431999.0762925315,Benefits-minority
travel_time,I205,3561067.3882525656,Benefits-minority
veh_operating_cost,I205,0.0,Benefits-minority
emissions_cost,I205,0.0,Benefits-minority
noise_pollution_cost,I205,0.0,Benefits-minority
surface_water_pollution_cost,I205,0.0,Benefits-minority
safety_cost,I205,0.0,Benefits-minority
travel_options,DivisionBRT,1706157.1258278056,Benefits-minority
veh_ownership_cost,DivisionBRT,4777031.714646712,Benefits-minority
travel_time_reliability,DivisionBRT,66575.38259810372,Benefits-minority
travel_time,DivisionBRT,2420951.9095074264,Benefits-minority
veh_operating_cost,DivisionBRT,0.0,Benefits-minority
emissions_cost,DivisionBRT,0.0,Benefits-minority
noise_pollution_cost,DivisionBRT,0.0,Benefits-minority
surface_water_pollution_cost,DivisionBRT,0.0,Benefits-minority
safety_cost,DivisionBRT,0.0,Benefits-minority
travel_options,I205,690223.3457010529,Benefits-low english proficiency
veh_ownership_cost,I205,7297.519500797057,Benefits-low english proficiency
travel_time_reliability,I205,72609.44038085226,Benefits-low english proficiency
travel_time,I205,632461.4153041678,Benefits-low english proficiency
veh_operating_cost,I205,0.0,Benefits-low english proficiency
emissions_cost,I205,0.0,Benefits-low english proficiency
noise_pollution_cost,I205,0.0,Benefits-low english proficiency
surface_water_pollution_cost,I205,0.0,Benefits-low english proficiency
safety_cost,I205,0.0,Benefits-low english proficiency
travel_options,DivisionBRT,169454.21336526785,Benefits-low english proficiency
veh_ownership_cost,DivisionBRT,1148624.785838169,Benefits-low english proficiency
travel_time_reliability,DivisionBRT,13014.483689840152,Benefits-low english proficiency
travel_time,DivisionBRT,534917.5256935628,Benefits-low english proficiency
veh_operating_cost,DivisionBRT,0.0,Benefits-low english proficiency
emissions_cost,DivisionBRT,0.0,Benefits-low english proficiency
noise_pollution_cost,DivisionBRT,0.0,Benefits-low english proficiency
surface_water_pollution_cost,DivisionBRT,0.0,Benefits-low english proficiency
safety_cost,DivisionBRT,0.0,Benefits-low english proficiency
travel_options,I205,14487780.08763855,Benefits-children and seniors
veh_ownership_cost,I205,65077.62658523675,Benefits-children and seniors
travel_time_reliability,I205,1416161.878503123,Benefits-children and seniors
travel_time,I205,12362331.420441855,Benefits-children and seniors
veh_operating_cost,I205,0.0,Benefits-children and seniors
emissions_cost,I205,0.0,Benefits-children and seniors
