BENEFIT,SCENARIO,VALUE,CHART
noise_pollution_cost,I205,0.0,Benefits-children and seniors
surface_water_pollution_cost,I205,0.0,Benefits-children and seniors
safety_cost,I205,0.0,Benefits-children and seniors
travel_options,DivisionBRT,3670869.986213598,Benefits-children and seniors
veh_ownership_cost,DivisionBRT,7020429.070521653,Benefits-children and seniors
travel_time_reliability,DivisionBRT,171322.12698367322,Benefits-children and seniors
travel_time,DivisionBRT,5120089.913496851,Benefits-children and seniors
veh_operating_cost,DivisionBRT,0.0,Benefits-children and seniors
emissions_cost,DivisionBRT,0.0,Benefits-children and seniors
noise_pollution_cost,DivisionBRT,0.0,Benefits-children and seniors
surface_water_pollution_cost,DivisionBRT,0.0,Benefits-children and seniors
safety_cost,DivisionBRT,0.0,Benefits-children and seniors
travel_options,I205,4101208.4915343523,Benefits-low income
veh_ownership_cost,I205,76432.79346882139,Benefits-low income
travel_time_reliability,I205,470330.6289928556,Benefits-low income
travel_time,I205,3834376.86567536,Benefits-low income
veh_operating_cost,I205,0.0,Benefits-low income
emissions_cost,I205,0.0,Benefits-low income
noise_pollution_cost,I205,0.0,Benefits-low income
surface_water_pollution_cost,I205,0.0,Benefits-low income
safety_cost,I205,0.0,Benefits-low income
travel_options,DivisionBRT,1783530.0637840268,Benefits-low income
veh_ownership_cost,DivisionBRT,5065411.025385234,Benefits-low income
travel_time_reliability,DivisionBRT,72527.44577498261,Benefits-low income
travel_time,DivisionBRT,2589297.4037788957,Benefits-low income
veh_operating_cost,DivisionBRT,0.0,Benefits-low income
emissions_cost,DivisionBRT,0.0,Benefits-low income
noise_pollution_cost,DivisionBRT,0.0,Benefits-low income
surface_water_pollution_cost,DivisionBRT,0.0,Benefits-low income
safety_cost,DivisionBRT,0.0,Benefits-low income
travel_options,I205,17.877353617434167,BenefitsPerHousehold-minority
veh_ownership_cost,I205,0.1903392157135766,BenefitsPerHousehold-minority
travel_time_reliability,I205,1.9382349482149197,BenefitsPerHousehold-minority
travel_time,I205,15.977314868575508,BenefitsPerHousehold-minority
veh_operating_cost,I205,0.0,BenefitsPerHousehold-minority
emissions_cost,I205,0.0,BenefitsPerHousehold-minority
noise_pollution_cost,I205,0.0,BenefitsPerHousehold-minority
surface_water_pollution_cost,I205,0.0,BenefitsPerHousehold-minority
safety_cost,I205,0.0,BenefitsPerHousehold-minority
travel_options,DivisionBRT,7.6549547207505055,BenefitsPerHousehold-minority
veh_ownership_cost,DivisionBRT,21.43293892552096,BenefitsPerHousehold-minority
travel_time_reliability,DivisionBRT,0.2987014100813596,BenefitsPerHousehold-minority
travel_time,DivisionBRT,10.86199914876082,BenefitsPerHousehold-minority
veh_operating_cost,DivisionBRT,0.0,BenefitsPerHousehold-minority
emissions_cost,DivisionBRT,0.0,BenefitsPerHousehold-minority
noise_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-minority
surface_water_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-minority
safety_cost,DivisionBRT,0.0,BenefitsPerHousehold-minority
travel_options,I205,16.397589758226584,BenefitsPerHousehold-low english proficiency
veh_ownership_cost,I205,0.17336668162852326,BenefitsPerHousehold-low english proficiency
travel_time_reliability,I205,1.7249776081252746,BenefitsPerHousehold-low english proficiency
travel_time,I205,15.025343449563492,BenefitsPerHousehold-low english proficiency
veh_operating_cost,I205,0.0,BenefitsPerHousehold-low english proficiency
emissions_cost,I205,0.0,BenefitsPerHousehold-low english proficiency
noise_pollution_cost,I205,0.0,BenefitsPerHousehold-low english proficiency
surface_water_pollution_cost,I205,0.0,BenefitsPerHousehold-low english proficiency
safety_cost,I205,0.0,BenefitsPerHousehold-low english proficiency
travel_options,DivisionBRT,4.0257123884217805,BenefitsPerHousehold-low english proficiency
veh_ownership_cost,DivisionBRT,27.287802044967012,BenefitsPerHousehold-low english proficiency
travel_time_reliability,DivisionBRT,0.3091842166601527,BenefitsPerHousehold-low english proficiency
travel_time,DivisionBRT,12.707999802440309,BenefitsPerHousehold-low english proficiency
veh_operating_cost,DivisionBRT,0.0,BenefitsPerHousehold-low english proficiency
emissions_cost,DivisionBRT,0.0,BenefitsPerHousehold-low english proficiency
noise_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-low english proficiency
surface_water_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-low english proficiency
safety_cost,DivisionBRT,0.0,BenefitsPerHousehold-low english proficiency
travel_options,I205,22.7406540046198,BenefitsPerHousehold-children and seniors
veh_ownership_cost,I205,0.10214869225406188,BenefitsPerHousehold-children and seniors
travel_time_reliability,I205,2.222869694236305,BenefitsPerHousehold-children and seniors
travel_time,I205,19.404456709180405,BenefitsPerHousehold-children and seniors
veh_operating_cost,I205,0.0,BenefitsPerHousehold-children and seniors
emissions_cost,I205,0.0,BenefitsPerHousehold-children and seniors
noise_pollution_cost,I205,0.0,BenefitsPerHousehold-children and seniors
surface_water_pollution_cost,I205,0.0,BenefitsPerHousehold-children and seniors
safety_cost,I205,0.0,BenefitsPerHousehold-children and seniors
travel_options,DivisionBRT,5.761958267412758,BenefitsPerHousehold-children and seniors
veh_ownership_cost,DivisionBRT,11.01957287389566,BenefitsPerHousehold-children and seniors
travel_time_reliability,DivisionBRT,0.2689147122267148,BenefitsPerHousehold-children and seniors
travel_time,DivisionBRT,8.036717322533152,BenefitsPerHousehold-children and seniors
veh_operating_cost,DivisionBRT,0.0,BenefitsPerHousehold-children and seniors
emissions_cost,DivisionBRT,0.0,BenefitsPerHousehold-children and seniors
noise_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-children and seniors
surface_water_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-children and seniors
safety_cost,DivisionBRT,0.0,BenefitsPerHousehold-children and seniors
travel_options,I205,17.861873951610704,BenefitsPerHousehold-low income
veh_ownership_cost,I205,0.3328855203356944,BenefitsPerHousehold-low income
travel_time_reliability,I205,2.048417296509881,BenefitsPerHousehold-low income
travel_time,I205,16.699749939326324,BenefitsPerHousehold-low income
veh_operating_cost,I205,0.0,BenefitsPerHousehold-low income
emissions_cost,I205,0.0,BenefitsPerHousehold-low income
noise_pollution_cost,I205,0.0,BenefitsPerHousehold-low income
surface_water_pollution_cost,I205,0.0,BenefitsPerHousehold-low income
safety_cost,I205,0.0,BenefitsPerHousehold-low income
travel_options,DivisionBRT,7.767756565894557,BenefitsPerHousehold-low income
veh_ownership_cost,DivisionBRT,22.06123717808856,BenefitsPerHousehold-low income
travel_time_reliability,DivisionBRT,0.3158766732145221,BenefitsPerHousehold-low income
travel_time,DivisionBRT,11.277091604828028,BenefitsPerHousehold-low income
veh_operating_cost,DivisionBRT,0.0,BenefitsPerHousehold-low income
emissions_cost,DivisionBRT,0.0,BenefitsPerHousehold-low income
noise_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-low income
surface_water_pollution_cost,DivisionBRT,0.0,BenefitsPerHousehold-low income
safety_cost,DivisionBRT,0.0,BenefitsPerHousehold-low income
