FROM,TO,Raw_Observed,Iterative_SL_Fit
District.1,District.1,95626,4717
District.1,District.2,11403,1155
District.1,District.3,2518,294
District.1,District.4,3947,362
District.1,District.5,97,9
District.1,District.6,1262,105
District.1,District.7,172,11
District.1,District.8,24,2
District.1,Iowa,19277,802
District.1,South.Dakota,76,11
District.1,Wyoming,1353,162
District.1,Colorado,1138,85
District.1,Kansas,4048,545
District.1,Missouri,1189,216
District.2,District.1,10538,1154
District.2,District.2,175914,7997
District.2,District.3,4720,598
District.2,District.4,2832,283
District.2,District.5,104,9
District.2,District.6,1828,148
District.2,District.7,161,10
District.2,District.8,135,12
District.2,Iowa,67727,4188
District.2,South.Dakota,79,13
District.2,Wyoming,1604,171
District.2,Colorado,1332,111
District.2,Kansas,3196,344
District.2,Missouri,50,11
District.3,District.1,3124,295
District.3,District.2,5690,598
District.3,District.3,60306,2627
District.3,District.4,4115,424
District.3,District.5,98,7
District.3,District.6,961,67
District.3,District.7,163,12
District.3,District.8,977,74
District.3,Iowa,21339,1812
District.3,South.Dakota,2449,297
District.3,Wyoming,337,36
District.3,Colorado,430,36
District.3,Kansas,1112,149
District.3,Missouri,9,2
District.4,District.1,4540,362
District.4,District.2,3044,283
District.4,District.3,4063,425
District.4,District.4,61409,2454
District.4,District.5,293,22
District.4,District.6,4225,324
District.4,District.7,1326,85
District.4,District.8,314,32
District.4,Iowa,7779,354
District.4,South.Dakota,465,111
District.4,Wyoming,1882,196
District.4,Colorado,1689,134
District.4,Kansas,2538,430
District.4,Missouri,121,29
District.5,District.1,123,9
District.5,District.2,105,9
District.5,District.3,102,7
District.5,District.4,289,22
District.5,District.5,16953,768
District.5,District.6,1286,82
District.5,District.7,67,3
District.5,District.8,169,8
District.5,Iowa,1700,58
District.5,South.Dakota,1147,124
District.5,Wyoming,6030,626
District.5,Colorado,1841,174
District.5,Kansas,184,36
District.5,Missouri,15,4
District.6,District.1,1314,105
District.6,District.2,1505,148
District.6,District.3,510,67
District.6,District.4,3519,324
District.6,District.5,1075,82
District.6,District.6,38993,1002
District.6,District.7,1558,122
District.6,District.8,518,32
District.6,Iowa,5487,225
District.6,South.Dakota,1557,165
District.6,Wyoming,3098,275
District.6,Colorado,4536,332
District.6,Kansas,1607,277
District.6,Missouri,18,5
District.7,District.1,160,11
District.7,District.2,115,10
District.7,District.3,153,12
District.7,District.4,1399,85
District.7,District.5,53,3
District.7,District.6,1584,122
District.7,District.7,8452,315
District.7,District.8,19,1
District.7,Iowa,320,13
District.7,South.Dakota,26,5
District.7,Wyoming,107,8
District.7,Colorado,625,66
District.7,Kansas,2249,363
District.7,Missouri,2,0
District.8,District.1,27,2
District.8,District.2,122,12
District.8,District.3,1067,74
District.8,District.4,325,32
District.8,District.5,142,8
District.8,District.6,364,32
District.8,District.7,14,1
District.8,District.8,3195,122
District.8,Iowa,241,14
District.8,South.Dakota,855,152
District.8,Wyoming,58,4
District.8,Colorado,82,5
District.8,Kansas,89,9
District.8,Missouri,0,0
Iowa,District.1,17585,802
Iowa,District.2,66622,4189
Iowa,District.3,23179,1812
Iowa,District.4,7846,354
Iowa,District.5,1724,58
Iowa,District.6,4619,225
Iowa,District.7,336,13
Iowa,District.8,239,14
Iowa,Iowa,26508,367
Iowa,South.Dakota,53,12
Iowa,Wyoming,26101,1188
Iowa,Colorado,8270,505
Iowa,Kansas,5358,171
Iowa,Missouri,52,4
South.Dakota,District.1,81,11
South.Dakota,District.2,83,13
South.Dakota,District.3,2399,297
South.Dakota,District.4,497,111
South.Dakota,District.5,1310,124
South.Dakota,District.6,1605,165
South.Dakota,District.7,41,5
South.Dakota,District.8,834,152
South.Dakota,Iowa,144,12
South.Dakota,South.Dakota,779,23
South.Dakota,Wyoming,294,47
South.Dakota,Colorado,447,35
South.Dakota,Kansas,716,160
South.Dakota,Missouri,0,0
Wyoming,District.1,1922,162
Wyoming,District.2,1668,171
Wyoming,District.3,351,36
Wyoming,District.4,2300,196
Wyoming,District.5,6155,626
Wyoming,District.6,3333,275
Wyoming,District.7,133,8
Wyoming,District.8,27,4
Wyoming,Iowa,28110,1188
Wyoming,South.Dakota,292,47
Wyoming,Wyoming,6382,42
Wyoming,Colorado,674,70
Wyoming,Kansas,655,122
Wyoming,Missouri,174,42
Colorado,District.1,794,85
Colorado,District.2,985,111
Colorado,District.3,319,36
Colorado,District.4,1519,134
Colorado,District.5,1942,174
Colorado,District.6,3875,332
Colorado,District.7,372,66
Colorado,District.8,76,5
Colorado,Iowa,9364,505
Colorado,South.Dakota,405,35
Colorado,Wyoming,482,70
Colorado,Colorado,2343,59
Colorado,Kansas,344,50
Colorado,Missouri,6,1
Kansas,District.1,5166,544
Kansas,District.2,3011,344
Kansas,District.3,1493,149
Kansas,District.4,3819,431
Kansas,District.5,221,36
Kansas,District.6,1593,278
Kansas,District.7,2440,362
Kansas,District.8,70,9
Kansas,Iowa,7130,171
Kansas,South.Dakota,702,160
Kansas,Wyoming,609,122
Kansas,Colorado,661,50
Kansas,Kansas,2138,324
Kansas,Missouri,204,39
Missouri,District.1,1142,216
Missouri,District.2,53,11
Missouri,District.3,12,2
Missouri,District.4,171,29
Missouri,District.5,28,4
Missouri,District.6,31,5
Missouri,District.7,3,0
Missouri,District.8,0,0
Missouri,Iowa,97,4
Missouri,South.Dakota,3,0
Missouri,Wyoming,208,42
Missouri,Colorado,4,1
Missouri,Kansas,126,39
Missouri,Missouri,536,1
