BENEFIT,BENEFIT GROUP,VALUE,CHART
trk_travel_time_benefit,coc_ext_lowengpro,435.728318153,Benefits
dtransit_travel_time_benefit,coc_ext_lowengpro,-14.015255522,Benefits
veh_operating_cost_benefit,coc_ext_lowengpro,0.0,Benefits
emissions_cost_benefit,coc_ext_lowengpro,0.0,Benefits
noise_pollution_cost_benefit,coc_ext_lowengpro,0.0,Benefits
surface_water_pollution_cost_benefit,coc_ext_lowengpro,0.0,Benefits
safety_cost_benefit,coc_ext_lowengpro,0.0,Benefits
hhs_for_the_coc,coc_ext_age18or65,631411.436377,Benefits
travel_options_benefit,coc_ext_age18or65,322894592.219,Benefits
veh_ownership_cost_benefit,coc_ext_age18or65,7081.28681665,Benefits
physical_activity_benefit,coc_ext_age18or65,-3442.87399499,Benefits
travel_time_reliability_benefit,coc_ext_age18or65,78183.4478436,Benefits
travel_time_benefit,coc_ext_age18or65,469767.124349,Benefits
trk_travel_time_benefit,coc_ext_age18or65,9264.03934856,Benefits
dtransit_travel_time_benefit,coc_ext_age18or65,-308.93644786,Benefits
veh_operating_cost_benefit,coc_ext_age18or65,0.0,Benefits
emissions_cost_benefit,coc_ext_age18or65,0.0,Benefits
noise_pollution_cost_benefit,coc_ext_age18or65,0.0,Benefits
surface_water_pollution_cost_benefit,coc_ext_age18or65,0.0,Benefits
safety_cost_benefit,coc_ext_age18or65,0.0,Benefits
hhs_for_the_coc,coc_lowinc_ext,229837.422142,Benefits
travel_options_benefit,coc_lowinc_ext,98219679.9998,Benefits
veh_ownership_cost_benefit,coc_lowinc_ext,8179.01741445,Benefits
physical_activity_benefit,coc_lowinc_ext,-1129.65030169,Benefits
travel_time_reliability_benefit,coc_lowinc_ext,22673.4678575,Benefits
travel_time_benefit,coc_lowinc_ext,148971.679954,Benefits
trk_travel_time_benefit,coc_lowinc_ext,4501.60148101,Benefits
dtransit_travel_time_benefit,coc_lowinc_ext,-156.250140786,Benefits
veh_operating_cost_benefit,coc_lowinc_ext,0.0,Benefits
emissions_cost_benefit,coc_lowinc_ext,0.0,Benefits
noise_pollution_cost_benefit,coc_lowinc_ext,0.0,Benefits
surface_water_pollution_cost_benefit,coc_lowinc_ext,0.0,Benefits
safety_cost_benefit,coc_lowinc_ext,0.0,Benefits
hhs_for_the_coc,everybody,1189040.1944,Benefits
travel_options_benefit,everybody,596392320.999,Benefits
veh_ownership_cost_benefit,everybody,24454.9994755,Benefits
physical_activity_benefit,everybody,-6548.29627333,Benefits
travel_time_reliability_benefit,everybody,139960.860192,Benefits
travel_time_benefit,everybody,847134.195648,Benefits
trk_travel_time_benefit,everybody,40959.526335,Benefits
dtransit_travel_time_benefit,everybody,-692.29657199,Benefits
veh_operating_cost_benefit,everybody,-327808.060122,Benefits
emissions_cost_benefit,everybody,-103653.690132,Benefits
noise_pollution_cost_benefit,everybody,-8935.24035554,Benefits
surface_water_pollution_cost_benefit,everybody,-26199.0297997,Benefits
safety_cost_benefit,everybody,-59351.7698548,Benefits
