BENEFIT,BENEFIT GROUP,VALUE,CHART
hhs_for_the_coc,coc_lowinc,266158.658151,Benefits
travel_options_benefit,coc_lowinc,112907979.446,Benefits
veh_ownership_cost_benefit,coc_lowinc,8354.74084905,Benefits
physical_activity_benefit,coc_lowinc,-1346.71557396,Benefits
travel_time_reliability_benefit,coc_lowinc,27035.1258484,Benefits
travel_time_benefit,coc_lowinc,174158.357098,Benefits
trk_travel_time_benefit,coc_lowinc,4730.59443715,Benefits
dtransit_travel_time_benefit,coc_lowinc,-137.666358295,Benefits
veh_operating_cost_benefit,coc_lowinc,0.0,Benefits
emissions_cost_benefit,coc_lowinc,0.0,Benefits
noise_pollution_cost_benefit,coc_lowinc,0.0,Benefits
surface_water_pollution_cost_benefit,coc_lowinc,0.0,Benefits
safety_cost_benefit,coc_lowinc,0.0,Benefits
hhs_for_the_coc,coc_medinc,130961.298272,Benefits
travel_options_benefit,coc_medinc,58977980.0901,Benefits
veh_ownership_cost_benefit,coc_medinc,2798.56930975,Benefits
physical_activity_benefit,coc_medinc,-660.752220587,Benefits
travel_time_reliability_benefit,coc_medinc,13989.5545725,Benefits
travel_time_benefit,coc_medinc,84083.035973,Benefits
trk_travel_time_benefit,coc_medinc,1931.85385742,Benefits
dtransit_travel_time_benefit,coc_medinc,-121.845499008,Benefits
veh_operating_cost_benefit,coc_medinc,0.0,Benefits
emissions_cost_benefit,coc_medinc,0.0,Benefits
noise_pollution_cost_benefit,coc_medinc,0.0,Benefits
surface_water_pollution_cost_benefit,coc_medinc,0.0,Benefits
safety_cost_benefit,coc_medinc,0.0,Benefits
hhs_for_the_coc,coc_highinc,348932.28827,Benefits
travel_options_benefit,coc_highinc,166099160.81,Benefits
veh_ownership_cost_benefit,coc_highinc,6819.21102551,Benefits
physical_activity_benefit,coc_highinc,-1761.34970894,Benefits
travel_time_reliability_benefit,coc_highinc,39316.934823,Benefits
travel_time_benefit,coc_highinc,242647.358501,Benefits
trk_travel_time_benefit,coc_highinc,4664.94994703,Benefits
dtransit_travel_time_benefit,coc_highinc,-293.625659683,Benefits
veh_operating_cost_benefit,coc_highinc,0.0,Benefits
emissions_cost_benefit,coc_highinc,0.0,Benefits
noise_pollution_cost_benefit,coc_highinc,0.0,Benefits
surface_water_pollution_cost_benefit,coc_highinc,0.0,Benefits
safety_cost_benefit,coc_highinc,0.0,Benefits
hhs_for_the_coc,coc_veryhighinc,440965.753921,Benefits
travel_options_benefit,coc_veryhighinc,257496069.254,Benefits
veh_ownership_cost_benefit,coc_veryhighinc,6467.05105989,Benefits
physical_activity_benefit,coc_veryhighinc,-2356.03446352,Benefits
travel_time_reliability_benefit,coc_veryhighinc,52671.2853564,Benefits
travel_time_benefit,coc_veryhighinc,318026.560997,Benefits
trk_travel_time_benefit,coc_veryhighinc,5609.32017409,Benefits
dtransit_travel_time_benefit,coc_veryhighinc,-209.957204116,Benefits
veh_operating_cost_benefit,coc_veryhighinc,0.0,Benefits
emissions_cost_benefit,coc_veryhighinc,0.0,Benefits
noise_pollution_cost_benefit,coc_veryhighinc,0.0,Benefits
surface_water_pollution_cost_benefit,coc_veryhighinc,0.0,Benefits
safety_cost_benefit,coc_veryhighinc,0.0,Benefits
hhs_for_the_coc,coc_ext_minority,222369.216679,Benefits
travel_options_benefit,coc_ext_minority,110205175.551,Benefits
veh_ownership_cost_benefit,coc_ext_minority,3836.03539405,Benefits
physical_activity_benefit,coc_ext_minority,-1045.47532046,Benefits
travel_time_reliability_benefit,coc_ext_minority,24016.6237216,Benefits
travel_time_benefit,coc_ext_minority,123161.275695,Benefits
trk_travel_time_benefit,coc_ext_minority,3549.95072482,Benefits
dtransit_travel_time_benefit,coc_ext_minority,-144.922816778,Benefits
veh_operating_cost_benefit,coc_ext_minority,0.0,Benefits
emissions_cost_benefit,coc_ext_minority,0.0,Benefits
noise_pollution_cost_benefit,coc_ext_minority,0.0,Benefits
surface_water_pollution_cost_benefit,coc_ext_minority,0.0,Benefits
safety_cost_benefit,coc_ext_minority,0.0,Benefits
hhs_for_the_coc,coc_ext_lowengpro,41539.2811308,Benefits
travel_options_benefit,coc_ext_lowengpro,18820404.613,Benefits
veh_ownership_cost_benefit,coc_ext_lowengpro,440.262012911,Benefits
physical_activity_benefit,coc_ext_lowengpro,-197.211342826,Benefits
travel_time_reliability_benefit,coc_ext_lowengpro,4514.96068641,Benefits
travel_time_benefit,coc_ext_lowengpro,18628.2712293,Benefits
