TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,12821903
AUTO,DRIVEALONE,DRIVEALONEPAY,870848
AUTO,SHARED2,SHARED2FREE,5840274
AUTO,SHARED2,SHARED2PAY,119415
AUTO,SHARED3,SHARED3FREE,4019226
AUTO,SHARED3,SHARED3PAY,95231
NONMOTORIZED,NONMOTORIZED,BIKE,119340
NONMOTORIZED,NONMOTORIZED,WALK,1221003
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,1248151
TRANSIT,KNR,KNR_ALLTRN,34454
TRANSIT,KNR,KNR_PRMTRN,39550
TRANSIT,PNR,PNR_ALLTRN,6325
TRANSIT,PNR,PNR_PRMTRN,77017
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,227424
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,89688
