ZONE,PER,PERSONS NOT AT HOME
-1,PER01,0.0
-1,PER02,0.0
-1,PER03,0.0
-1,PER04,0.0
-1,PER05,27.533146
-1,PER06,395.822447
-1,PER07,617.688651
-1,PER08,1676.022711
-1,PER09,5092.621306
-1,PER10,8489.614455
-1,PER11,8462.842235
-1,PER12,10616.204371
-1,PER13,14342.039242
-1,PER14,16758.929348
-1,PER15,18480.754572
-1,PER16,21973.288275
-1,PER17,24905.822014
-1,PER18,24098.351788
-1,PER19,24929.109433
-1,PER20,31406.454541
-1,PER21,30645.265444
-1,PER22,28452.118252
-1,PER23,29735.17988
-1,PER24,27646.965502
-1,PER25,25432.129208
-1,PER26,19358.842086
-1,PER27,16612.15954
-1,PER28,14969.618559
-1,PER29,15149.016325
-1,PER30,9367.723174
-1,PER31,7490.930615
-1,PER32,6321.275373
-1,PER33,5283.216502
-1,PER34,6647.822248
-1,PER35,10450.78707
-1,PER36,4925.497987
-1,PER37,3987.911477
-1,PER38,2241.97343
-1,PER39,2214.103352
-1,PER40,902.260362
-1,PER41,891.248464
-1,PER42,844.842814
-1,PER43,777.697971
-1,PER44,767.534721
-1,PER45,493.141531
-1,PER46,483.783
-1,PER47,0.0
-1,PER48,0.0
-1,PER49,0.0
22,PER01,0.0
22,PER02,0.0
22,PER03,0.0
22,PER04,0.0
22,PER05,0.0
22,PER06,0.0
22,PER07,0.0
22,PER08,0.0
22,PER09,0.0
22,PER10,0.0
22,PER11,0.0
22,PER12,0.0
22,PER13,0.0
22,PER14,0.0
22,PER15,0.0
22,PER16,0.0
22,PER17,0.0
22,PER18,0.0
22,PER19,0.0
22,PER20,0.0
22,PER21,0.0
22,PER22,0.0
22,PER23,0.0
22,PER24,0.0
22,PER25,403.789
22,PER26,403.789
22,PER27,403.789
22,PER28,0.0
22,PER29,0.0
22,PER30,0.0
22,PER31,0.0
22,PER32,0.0
22,PER33,0.0
22,PER34,0.0
22,PER35,0.0
22,PER36,0.0
22,PER37,0.0
22,PER38,0.0
22,PER39,0.0
22,PER40,0.0
22,PER41,0.0
22,PER42,0.0
22,PER43,0.0
22,PER44,0.0
22,PER45,0.0
22,PER46,0.0
22,PER47,0.0
22,PER48,0.0
22,PER49,0.0
24,PER01,0.0
24,PER02,0.0
24,PER03,0.0
24,PER04,0.0
24,PER05,0.0
24,PER06,0.0
24,PER07,0.0
24,PER08,0.0
24,PER09,0.0
24,PER10,0.0
24,PER11,0.0
24,PER12,0.0
24,PER13,0.0
24,PER14,0.0
24,PER15,0.0
24,PER16,0.0
24,PER17,0.0
24,PER18,0.0
24,PER19,0.0
24,PER20,0.0
24,PER21,12.9184
24,PER22,0.0
24,PER23,0.0
24,PER24,0.0
24,PER25,0.0
24,PER26,0.0
24,PER27,0.0
24,PER28,0.0
24,PER29,0.0
24,PER30,0.0
24,PER31,0.0
24,PER32,0.0
24,PER33,0.0
24,PER34,0.0
24,PER35,0.0
24,PER36,0.0
24,PER37,0.0
24,PER38,0.0
24,PER39,0.0
24,PER40,0.0
24,PER41,0.0
24,PER42,0.0
24,PER43,0.0
24,PER44,0.0
24,PER45,0.0
24,PER46,0.0
24,PER47,0.0
24,PER48,0.0
24,PER49,0.0
26,PER01,0.0
26,PER02,0.0
26,PER03,0.0
26,PER04,0.0
26,PER05,0.0
26,PER06,0.0
26,PER07,0.0
26,PER08,0.0
26,PER09,0.0
26,PER10,0.0
26,PER11,0.0
26,PER12,0.0
26,PER13,0.0
26,PER14,0.0
26,PER15,0.0
26,PER16,0.0
26,PER17,6.967203
26,PER18,0.0
26,PER19,0.0
26,PER20,0.0
26,PER21,0.0
26,PER22,0.0
26,PER23,596.052
26,PER24,0.0
26,PER25,0.0
26,PER26,0.0
26,PER27,27.539679
26,PER28,27.539679
26,PER29,27.539679
26,PER30,27.539679
26,PER31,0.0
26,PER32,0.0
26,PER33,0.0
26,PER34,0.0
26,PER35,0.0
26,PER36,0.0
26,PER37,0.0
26,PER38,0.0
26,PER39,0.0
26,PER40,0.0
26,PER41,0.0
26,PER42,0.0
26,PER43,0.0
26,PER44,0.0
26,PER45,0.0
26,PER46,0.0
26,PER47,0.0
26,PER48,0.0
26,PER49,0.0
31,PER01,0.0
31,PER02,0.0
31,PER03,0.0
31,PER04,0.0
31,PER05,0.0
31,PER06,0.0
31,PER07,0.0
31,PER08,0.0
31,PER09,0.0
31,PER10,0.0
31,PER11,0.0
31,PER12,0.0
31,PER13,0.0
31,PER14,112.21
31,PER15,112.21
31,PER16,112.21
31,PER17,112.21
31,PER18,112.21
31,PER19,112.21
31,PER20,112.21
31,PER21,112.21
31,PER22,112.21
31,PER23,112.21
31,PER24,112.21
31,PER25,112.21
31,PER26,112.21
31,PER27,112.21
31,PER28,112.21
31,PER29,0.0
31,PER30,0.0
31,PER31,0.0
31,PER32,94.5915
31,PER33,94.5915
31,PER34,94.5915
31,PER35,94.5915
31,PER36,94.5915
31,PER37,94.5915
31,PER38,0.0
31,PER39,0.0
31,PER40,0.0
31,PER41,0.0
31,PER42,0.0
31,PER43,0.0
31,PER44,0.0
31,PER45,0.0
31,PER46,0.0
31,PER47,0.0
31,PER48,0.0
31,PER49,0.0
32,PER01,0.0
32,PER02,0.0
32,PER03,0.0
32,PER04,0.0
32,PER05,0.0
32,PER06,0.0
32,PER07,0.0
32,PER08,0.0
32,PER09,0.0
32,PER10,0.0
32,PER11,0.0
32,PER12,0.0
32,PER13,0.0
32,PER14,0.0
32,PER15,0.0
32,PER16,0.0
32,PER17,0.0
32,PER18,0.0
32,PER19,0.0
32,PER20,0.0
32,PER21,0.0
32,PER22,0.0
32,PER23,0.0
32,PER24,0.0
32,PER25,0.0
32,PER26,0.0
32,PER27,0.0
32,PER28,0.0
32,PER29,0.0
32,PER30,0.0
32,PER31,0.0
32,PER32,0.0
32,PER33,0.0
32,PER34,0.0
32,PER35,0.0
32,PER36,0.0
32,PER37,0.0
32,PER38,0.0
32,PER39,0.0
32,PER40,0.0
32,PER41,0.0
32,PER42,0.0
32,PER43,0.0
32,PER44,0.0
32,PER45,0.0
32,PER46,0.0
32,PER47,0.0
32,PER48,0.0
32,PER49,0.0
33,PER01,0.0
33,PER02,0.0
33,PER03,0.0
33,PER04,0.0
33,PER05,0.0
33,PER06,0.0
33,PER07,0.0
33,PER08,55.52918
33,PER09,83.29377
33,PER10,83.29377
33,PER11,223.26836
33,PER12,223.26836
33,PER13,223.26836
33,PER14,223.26836
33,PER15,223.26836
33,PER16,223.26836
33,PER17,223.26836
33,PER18,249.05507
33,PER19,249.05507
33,PER20,249.05507
33,PER21,249.05507
33,PER22,195.50377
33,PER23,195.50377
33,PER24,195.50377
33,PER25,195.50377
33,PER26,139.97459
33,PER27,139.97459
33,PER28,139.97459
33,PER29,139.97459
33,PER30,139.97459
33,PER31,0.0
33,PER32,0.0
33,PER33,0.0
33,PER34,0.0
33,PER35,0.0
33,PER36,0.0
33,PER37,0.0
33,PER38,0.0
33,PER39,0.0
33,PER40,0.0
33,PER41,0.0
33,PER42,0.0
33,PER43,0.0
33,PER44,0.0
33,PER45,0.0
33,PER46,0.0
33,PER47,0.0
33,PER48,0.0
33,PER49,0.0
34,PER01,0.0
34,PER02,0.0
34,PER03,0.0
34,PER04,0.0
34,PER05,0.0
34,PER06,0.0
34,PER07,0.0
34,PER08,0.0
34,PER09,0.0
34,PER10,0.0
34,PER11,0.0
34,PER12,0.0
34,PER13,0.0
34,PER14,0.0
34,PER15,0.0
34,PER16,0.0
34,PER17,0.0
34,PER18,0.0
34,PER19,0.0
34,PER20,0.0
34,PER21,0.0
34,PER22,0.0
34,PER23,0.0
34,PER24,0.0
34,PER25,0.0
34,PER26,0.0
34,PER27,0.0
34,PER28,0.0
34,PER29,0.0
34,PER30,0.0
34,PER31,0.0
34,PER32,0.0
34,PER33,0.0
34,PER34,0.0
34,PER35,0.0
34,PER36,0.0
34,PER37,0.0
34,PER38,0.0
34,PER39,0.0
34,PER40,0.0
34,PER41,0.0
34,PER42,0.0
34,PER43,0.0
34,PER44,0.0
34,PER45,0.0
34,PER46,0.0
34,PER47,0.0
34,PER48,0.0
34,PER49,0.0
36,PER01,0.0
36,PER02,0.0
36,PER03,0.0
36,PER04,0.0
36,PER05,0.0
36,PER06,0.0
36,PER07,0.0
36,PER08,0.0
36,PER09,0.0
36,PER10,0.0
36,PER11,0.0
36,PER12,0.0
36,PER13,0.0
36,PER14,0.0
36,PER15,0.0
36,PER16,0.0
36,PER17,0.0
36,PER18,0.0
36,PER19,0.0
36,PER20,0.0
36,PER21,0.0
36,PER22,0.0
36,PER23,0.0
36,PER24,0.0
36,PER25,0.0
36,PER26,0.0
36,PER27,0.0
36,PER28,0.0
36,PER29,0.0
36,PER30,0.0
36,PER31,0.0
36,PER32,0.0
36,PER33,0.0
36,PER34,0.0
36,PER35,0.0
36,PER36,0.0
36,PER37,0.0
36,PER38,0.0
36,PER39,0.0
36,PER40,0.0
36,PER41,0.0
36,PER42,0.0
36,PER43,0.0
36,PER44,0.0
36,PER45,0.0
36,PER46,0.0
36,PER47,0.0
36,PER48,0.0
36,PER49,0.0
40,PER01,0.0
40,PER02,0.0
40,PER03,0.0
40,PER04,0.0
40,PER05,0.0
40,PER06,0.0
40,PER07,0.0
40,PER08,0.0
40,PER09,0.0
40,PER10,23.9681
40,PER11,23.9681
40,PER12,23.9681
40,PER13,24.649275
40,PER14,24.649275
40,PER15,34.979825
40,PER16,45.310375
40,PER17,45.310375
40,PER18,45.310375
40,PER19,45.310375
40,PER20,466.471375
40,PER21,445.810275
40,PER22,44.941104
40,PER23,86.21925
40,PER24,54.31825
40,PER25,64.6488
40,PER26,65.329975
40,PER27,65.329975
40,PER28,58.656775
40,PER29,52.66475
40,PER30,23.67695
40,PER31,34.0075
40,PER32,135.778775
40,PER33,5.992025
40,PER34,5.992025
40,PER35,118.775025
40,PER36,124.76705
40,PER37,124.76705
40,PER38,118.775025
40,PER39,0.0
40,PER40,0.0
40,PER41,0.0
40,PER42,0.0
40,PER43,0.0
40,PER44,0.0
40,PER45,0.0
40,PER46,0.0
40,PER47,0.0
40,PER48,0.0
40,PER49,0.0
41,PER01,0.0
41,PER02,0.0
41,PER03,0.0
41,PER04,0.0
41,PER05,0.0
41,PER06,0.0
41,PER07,0.0
41,PER08,0.0
41,PER09,0.0
41,PER10,0.0
41,PER11,27.021398
41,PER12,385.343398
41,PER13,385.343398
41,PER14,385.343398
41,PER15,385.343398
41,PER16,685.443951
41,PER17,358.322
41,PER18,685.443951
41,PER19,547.624951
41,PER20,82.684
41,PER21,41.342
41,PER22,346.650476
41,PER23,19.528525
41,PER24,19.528525
41,PER25,0.0
41,PER26,5.992025
41,PER27,5.992025
41,PER28,0.0
41,PER29,0.0
41,PER30,0.0
41,PER31,0.0
41,PER32,0.0
41,PER33,0.0
41,PER34,0.0
41,PER35,0.0
41,PER36,0.0
41,PER37,0.0
41,PER38,0.0
41,PER39,0.0
41,PER40,0.0
41,PER41,0.0
41,PER42,0.0
41,PER43,0.0
41,PER44,0.0
41,PER45,0.0
41,PER46,0.0
41,PER47,0.0
41,PER48,0.0
41,PER49,0.0
42,PER01,0.0
42,PER02,0.0
42,PER03,0.0
42,PER04,0.0
42,PER05,0.0
42,PER06,0.0
42,PER07,0.0
42,PER08,0.0
42,PER09,0.0
42,PER10,0.0
42,PER11,0.0
42,PER12,6.379675
42,PER13,59.013078
42,PER14,23.249308
42,PER15,323.727562
42,PER16,260.272648
42,PER17,311.844498
42,PER18,428.750148
42,PER19,477.581225
42,PER20,750.753207
42,PER21,695.023531
42,PER22,612.8826
42,PER23,1951.786869
42,PER24,390.384368
42,PER25,600.988316
42,PER26,662.069429
42,PER27,806.091213
