SIMPLE MODE,TRIP MODE,QUANTITY
ACTIVE,BIKE,167731.660531
ACTIVE,WALK,571560.880435
AUTO,HOV2,1683154.00127
AUTO,HOV3PLUS,1711955.32549
AUTO,SOV,3147178.10177
OTHER,OTHER,61522.489755
SCHBUS,SCHBUS,21860.229802
TNC,TNC,12547.027138
TRANSIT,WALKTRANSIT,133220.790779
