AXIS,CHART,QUANTITY
Daily Travel Time,El Dorado,92.263124735
Daily Travel Time,Placer,94.1788172796
Daily Travel Time,Sacramento,99.3044822446
Daily Travel Time,Sutter,65.4723090971
Daily Travel Time,Yolo,90.8472058809
Daily Travel Time,Yuba,75.9834055196
Auto VMT Per Person,El Dorado,38.3811810487
Auto VMT Per Person,Placer,35.270606718
Auto VMT Per Person,Sacramento,28.6093800954
Auto VMT Per Person,Sutter,29.2905448585
Auto VMT Per Person,Yolo,30.1053207346
Auto VMT Per Person,Yuba,38.9348027582
Distance to Work,El Dorado,38.4267124329
Distance to Work,Placer,17.6988356073
Distance to Work,Sacramento,13.1246758792
Distance to Work,Sutter,13.6782258579
Distance to Work,Yolo,12.6087556906
Distance to Work,Yuba,27.2277690292
Auto Mode Share,El Dorado,0.945562452188
Auto Mode Share,Placer,0.919149246708
Auto Mode Share,Sacramento,0.870462266298
Auto Mode Share,Sutter,0.939847824423
Auto Mode Share,Yolo,0.726702916618
Auto Mode Share,Yuba,0.876751000382
