PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,8,DISCRETIONARY,1412,1
FULL-TIME WORKER,8,EATING OUT,377,1
FULL-TIME WORKER,8,ESCORT,165,1
FULL-TIME WORKER,8,HOME,1200166,1
FULL-TIME WORKER,8,MAINTENANCE,790,1
FULL-TIME WORKER,8,SHOP,635,1
FULL-TIME WORKER,8,VISITING,250,1
FULL-TIME WORKER,8,WORK,22740,1
FULL-TIME WORKER,8,WORK-BASED,64,1
FULL-TIME WORKER,9,DISCRETIONARY,3097,1
FULL-TIME WORKER,9,EATING OUT,697,1
FULL-TIME WORKER,9,ESCORT,690,1
FULL-TIME WORKER,9,HOME,1172155,1
FULL-TIME WORKER,9,MAINTENANCE,1853,1
FULL-TIME WORKER,9,SHOP,1333,1
FULL-TIME WORKER,9,VISITING,507,1
FULL-TIME WORKER,9,WORK,46101,1
FULL-TIME WORKER,9,WORK-BASED,166,1
FULL-TIME WORKER,10,DISCRETIONARY,4889,1
FULL-TIME WORKER,10,EATING OUT,906,1
FULL-TIME WORKER,10,ESCORT,2231,1
FULL-TIME WORKER,10,HOME,1105403,1
FULL-TIME WORKER,10,MAINTENANCE,3243,1
FULL-TIME WORKER,10,SHOP,2108,1
FULL-TIME WORKER,10,VISITING,775,1
FULL-TIME WORKER,10,WORK,106611,1
FULL-TIME WORKER,10,WORK-BASED,433,1
FULL-TIME WORKER,11,DISCRETIONARY,6467,1
FULL-TIME WORKER,11,EATING OUT,1025,1
FULL-TIME WORKER,11,ESCORT,4736,1
FULL-TIME WORKER,11,HOME,1033726,1
FULL-TIME WORKER,11,MAINTENANCE,4781,1
FULL-TIME WORKER,11,SHOP,2763,1
FULL-TIME WORKER,11,VISITING,927,1
FULL-TIME WORKER,11,WORK,171403,1
FULL-TIME WORKER,11,WORK-BASED,771,1
FULL-TIME WORKER,12,DISCRETIONARY,7645,1
FULL-TIME WORKER,12,EATING OUT,937,1
FULL-TIME WORKER,12,ESCORT,5902,1
FULL-TIME WORKER,12,HOME,927484,1
FULL-TIME WORKER,12,MAINTENANCE,6261,1
FULL-TIME WORKER,12,SHOP,3196,1
FULL-TIME WORKER,12,VISITING,1006,1
FULL-TIME WORKER,12,WORK,272890,1
FULL-TIME WORKER,12,WORK-BASED,1278,1
FULL-TIME WORKER,13,DISCRETIONARY,8098,1
FULL-TIME WORKER,13,EATING OUT,831,1
FULL-TIME WORKER,13,ESCORT,11488,1
FULL-TIME WORKER,13,HOME,785890,1
FULL-TIME WORKER,13,MAINTENANCE,7630,1
FULL-TIME WORKER,13,SHOP,3252,1
FULL-TIME WORKER,13,VISITING,1101,1
FULL-TIME WORKER,13,WORK,406368,1
FULL-TIME WORKER,13,WORK-BASED,1941,1
FULL-TIME WORKER,14,DISCRETIONARY,9540,1
FULL-TIME WORKER,14,EATING OUT,768,1
FULL-TIME WORKER,14,ESCORT,23693,1
FULL-TIME WORKER,14,HOME,615599,1
FULL-TIME WORKER,14,MAINTENANCE,9521,1
FULL-TIME WORKER,14,SHOP,3222,1
FULL-TIME WORKER,14,VISITING,1220,1
FULL-TIME WORKER,14,WORK,560288,1
FULL-TIME WORKER,14,WORK-BASED,2748,1
FULL-TIME WORKER,15,DISCRETIONARY,10690,1
FULL-TIME WORKER,15,EATING OUT,689,1
FULL-TIME WORKER,15,ESCORT,23478,1
FULL-TIME WORKER,15,HOME,498419,1
FULL-TIME WORKER,15,MAINTENANCE,10835,1
FULL-TIME WORKER,15,SHOP,3414,1
FULL-TIME WORKER,15,VISITING,1512,1
FULL-TIME WORKER,15,WORK,673764,1
FULL-TIME WORKER,15,WORK-BASED,3798,1
FULL-TIME WORKER,16,DISCRETIONARY,11779,1
FULL-TIME WORKER,16,EATING OUT,697,1
FULL-TIME WORKER,16,ESCORT,14652,1
