TRIPS BY MODE,NEST_MODE,SIMPLE_MODE,QUANTITY
AUTO           ,DRIVEALONE     ,DRIVEALONEFREE ,4849606
AUTO           ,DRIVEALONE     ,DRIVEALONEPAY  ,74376
AUTO           ,SHARED2        ,SHARED2FREE    ,2379860
AUTO           ,SHARED2        ,SHARED2PAY     ,2560
AUTO           ,SHARED3        ,SHARED3FREE    ,1599296
AUTO           ,SHARED3        ,SHARED3PAY     ,1284
NONMOTORIZED   ,BIKE           ,BIKE           ,111745
NONMOTORIZED   ,WALK           ,WALK           ,1053163
SCHOOL_BUS     ,SCHOOL_BUS     ,SCHOOL_BUS     ,165538
TRANSIT        ,KNR            ,KNR_LOCAL      ,2823
TRANSIT        ,KNR            ,KNR_PRMTRN     ,11064
TRANSIT        ,PNR            ,PNR_LOCAL      ,1381
TRANSIT        ,PNR            ,PNR_PRMTRN     ,16889
TRANSIT        ,WALK_TRANSIT   ,WALK_LOCAL     ,91499
TRANSIT        ,WALK_TRANSIT   ,WALK_PRMTRN    ,133747
