ZONE,PER,PERSONS NOT AT HOME
13,PER0,0
13,PER1,0
13,PER2,0
13,PER3,0
13,PER4,0
13,PER5,0
13,PER6,0
13,PER7,0
13,PER10,33
13,PER11,50
13,PER12,75
13,PER13,127
13,PER14,194
13,PER15,242
13,PER16,292
13,PER17,315
13,PER18,340
13,PER19,357
13,PER20,358
13,PER21,353
13,PER22,367
13,PER23,365
13,PER24,357
13,PER25,353
13,PER26,346
13,PER27,340
13,PER28,323
13,PER29,313
13,PER30,304
13,PER31,293
13,PER32,272
13,PER33,242
13,PER34,201
13,PER35,148
13,PER36,138
13,PER37,135
13,PER38,113
13,PER39,88
13,PER40,82
13,PER41,66
13,PER42,49
13,PER43,32
13,PER44,30
13,PER45,22
13,PER46,16
13,PER47,6
13,PER8,16
13,PER9,22
14,PER10,14
14,PER11,21
14,PER12,27
14,PER13,37
14,PER14,43
14,PER15,48
14,PER16,52
14,PER17,55
14,PER18,56
14,PER19,59
14,PER20,60
14,PER21,60
14,PER22,61
14,PER23,64
14,PER24,66
14,PER25,64
14,PER26,65
14,PER27,63
14,PER28,62
14,PER29,60
14,PER30,59
14,PER31,56
14,PER32,48
14,PER33,37
14,PER34,27
14,PER35,23
14,PER36,16
14,PER37,13
14,PER38,11
14,PER39,10
14,PER40,8
14,PER41,8
14,PER42,4
14,PER43,3
14,PER44,2
14,PER45,1
14,PER46,1
14,PER47,1
14,PER8,3
14,PER9,8
15,PER10,5727
15,PER11,8030
15,PER12,10897
15,PER13,14250
15,PER14,17446
15,PER15,19813
15,PER16,21491
15,PER17,22448
15,PER18,23064
15,PER19,23480
15,PER20,23873
15,PER21,24158
15,PER22,24632
15,PER23,25065
15,PER24,25251
15,PER25,25245
15,PER26,25278
15,PER27,25193
15,PER28,24833
15,PER29,23972
15,PER30,22272
15,PER31,20450
15,PER32,18341
15,PER33,15664
15,PER34,12543
15,PER35,9905
15,PER36,8017
15,PER37,6912
15,PER38,5781
15,PER39,5046
15,PER40,4464
15,PER41,3990
15,PER42,3506
15,PER43,3111
15,PER44,2735
15,PER45,2353
15,PER46,1927
15,PER47,1406
15,PER8,1537
15,PER9,2934
16,PER10,1301
16,PER11,1781
16,PER12,2411
16,PER13,3110
16,PER14,3755
16,PER15,4212
16,PER16,4563
16,PER17,4749
16,PER18,4851
16,PER19,4926
16,PER20,4987
16,PER21,5044
16,PER22,5089
16,PER23,5153
16,PER24,5193
16,PER25,5201
16,PER26,5205
16,PER27,5174
16,PER28,5076
16,PER29,4886
16,PER30,4519
16,PER31,4152
16,PER32,3725
16,PER33,3093
16,PER34,2410
16,PER35,1871
16,PER36,1529
16,PER37,1257
16,PER38,1024
16,PER39,856
16,PER40,745
16,PER41,651
16,PER42,573
16,PER43,503
16,PER44,434
16,PER45,365
16,PER46,287
16,PER47,205
16,PER8,442
16,PER9,746
17,PER12,3
17,PER13,8
17,PER14,15
17,PER15,16
17,PER16,17
17,PER17,17
17,PER18,19
17,PER19,20
17,PER20,21
17,PER21,21
17,PER22,23
17,PER23,21
17,PER24,21
17,PER25,24
17,PER26,22
17,PER27,21
17,PER28,19
17,PER29,17
17,PER30,15
17,PER31,15
17,PER32,15
17,PER33,14
17,PER34,8
17,PER35,7
17,PER36,8
17,PER37,7
17,PER38,5
17,PER39,5
17,PER40,3
17,PER41,3
17,PER42,1
17,PER45,1
17,PER46,1
17,PER47,1
18,PER10,14
18,PER11,28
18,PER12,44
18,PER13,67
18,PER14,115
18,PER15,143
18,PER16,161
18,PER17,161
18,PER18,171
18,PER19,173
18,PER20,177
18,PER21,178
18,PER22,190
18,PER23,200
18,PER24,198
18,PER25,200
18,PER26,194
18,PER27,186
18,PER28,183
18,PER29,179
18,PER30,157
18,PER31,143
18,PER32,126
18,PER33,116
18,PER34,96
18,PER35,83
18,PER36,92
18,PER37,90
18,PER38,75
18,PER39,64
18,PER40,56
18,PER41,47
18,PER42,32
18,PER43,19
18,PER44,17
18,PER45,11
18,PER46,7
18,PER47,3
18,PER8,4
18,PER9,9
19,PER11,5
19,PER12,8
19,PER13,10
19,PER14,21
19,PER15,27
19,PER16,25
19,PER17,28
19,PER18,26
19,PER19,28
19,PER20,27
19,PER21,29
19,PER22,34
19,PER23,37
19,PER24,40
19,PER25,35
19,PER26,33
19,PER27,30
19,PER28,27
19,PER29,24
19,PER30,25
19,PER31,26
19,PER32,24
19,PER33,23
19,PER34,20
19,PER35,22
19,PER36,26
19,PER37,27
19,PER38,26
19,PER39,25
19,PER40,19
19,PER41,13
19,PER42,8
19,PER43,2
19,PER44,2
20,PER10,3
20,PER11,4
20,PER12,5
20,PER13,5
20,PER14,7
20,PER15,7
20,PER16,8
20,PER17,10
20,PER18,10
20,PER19,12
20,PER20,13
20,PER21,11
20,PER22,11
20,PER23,12
20,PER24,11
20,PER25,9
20,PER26,11
20,PER27,13
20,PER28,14
20,PER29,13
20,PER30,12
20,PER31,13
20,PER32,13
20,PER33,12
20,PER34,12
20,PER35,10
20,PER36,7
20,PER37,7
20,PER38,6
20,PER39,5
20,PER40,5
20,PER41,2
20,PER42,2
20,PER43,1
20,PER44,1
20,PER45,1
20,PER46,1
20,PER9,2
21,PER10,10
21,PER11,16
21,PER12,25
21,PER13,44
21,PER14,74
21,PER15,100
21,PER16,107
21,PER17,115
21,PER18,118
21,PER19,115
21,PER20,115
21,PER21,118
21,PER22,116
21,PER23,118
21,PER24,116
21,PER25,118
21,PER26,124
21,PER27,121
21,PER28,120
21,PER29,113
21,PER30,108
21,PER31,104
21,PER32,97
21,PER33,83
21,PER34,69
21,PER35,53
21,PER36,44
21,PER37,37
21,PER38,31
21,PER39,28
21,PER40,24
21,PER41,17
21,PER42,12
21,PER43,11
21,PER44,10
21,PER45,8
21,PER46,7
21,PER47,5
21,PER8,2
21,PER9,3
22,PER13,2
22,PER14,4
22,PER15,5
22,PER16,6
22,PER17,5
22,PER18,7
22,PER19,8
22,PER20,10
22,PER21,12
22,PER22,12
22,PER23,11
22,PER24,11
22,PER25,8
22,PER26,7
22,PER27,7
22,PER28,9
22,PER29,8
22,PER30,8
22,PER31,10
22,PER32,10
22,PER33,10
22,PER34,8
22,PER35,11
22,PER36,12
22,PER37,14
22,PER38,16
22,PER39,14
22,PER40,16
22,PER41,13
22,PER42,8
22,PER43,6
22,PER44,5
22,PER45,1
22,PER46,1
23,PER13,6
23,PER14,10
23,PER15,10
23,PER16,12
23,PER17,14
23,PER18,14
23,PER19,14
23,PER20,15
23,PER21,15
23,PER22,16
23,PER23,16
23,PER24,16
23,PER25,19
23,PER26,20
23,PER27,20
23,PER28,19
23,PER29,17
23,PER30,16
23,PER31,13
23,PER32,11
23,PER33,11
23,PER34,9
23,PER35,9
23,PER36,10
23,PER37,10
23,PER38,10
23,PER39,9
23,PER40,12
23,PER41,13
23,PER42,2
23,PER43,2
23,PER44,1
23,PER45,1
24,PER10,14
24,PER11,16
24,PER12,20
24,PER13,27
24,PER14,38
24,PER15,43
24,PER16,49
24,PER17,55
24,PER18,54
24,PER19,55
24,PER20,51
24,PER21,52
24,PER22,58
24,PER23,57
24,PER24,61
24,PER25,61
24,PER26,58
24,PER27,59
24,PER28,62
24,PER29,64
24,PER30,69
24,PER31,84
24,PER32,95
24,PER33,106
24,PER34,111
24,PER35,112
24,PER36,130
24,PER37,125
24,PER38,121
24,PER39,107
24,PER40,86
24,PER41,77
24,PER42,32
24,PER43,25
24,PER44,21
24,PER45,17
24,PER46,11
24,PER47,5
24,PER8,5
24,PER9,10
25,PER10,1
25,PER11,4
25,PER12,7
25,PER13,10
25,PER14,13
25,PER15,13
25,PER16,17
25,PER17,18
25,PER18,18
25,PER19,19
25,PER20,18
25,PER21,18
25,PER22,18
25,PER23,20
25,PER24,20
25,PER25,20
25,PER26,21
25,PER27,20
25,PER28,20
25,PER29,20
25,PER30,18
25,PER31,18
25,PER32,14
25,PER33,12
25,PER34,9
25,PER35,8
25,PER36,5
25,PER37,2
25,PER38,2
25,PER39,2
25,PER40,2
25,PER41,2
25,PER8,1
25,PER9,1
26,PER10,18
26,PER11,21
26,PER12,24
26,PER13,35
26,PER14,43
26,PER15,52
26,PER16,63
26,PER17,77
26,PER18,92
26,PER19,96
26,PER20,94
26,PER21,96
26,PER22,92
26,PER23,98
26,PER24,100
26,PER25,103
26,PER26,103
26,PER27,92
26,PER28,95
26,PER29,97
26,PER30,106
26,PER31,105
26,PER32,117
26,PER33,115
26,PER34,107
26,PER35,110
26,PER36,116
26,PER37,112
26,PER38,103
26,PER39,97
26,PER40,85
26,PER41,65
26,PER42,40
26,PER43,35
26,PER44,28
26,PER45,19
26,PER46,12
26,PER47,7
26,PER8,2
26,PER9,8
27,PER10,4
27,PER11,4
27,PER12,6
27,PER13,6
27,PER14,15
27,PER15,16
27,PER16,18
27,PER17,18
27,PER18,16
27,PER19,17
27,PER20,16
27,PER21,17
27,PER22,22
27,PER23,22
27,PER24,22
27,PER25,20
27,PER26,20
27,PER27,19
27,PER28,19
27,PER29,17
27,PER30,18
27,PER31,22
27,PER32,23
27,PER33,23
27,PER34,25
27,PER35,25
27,PER36,18
27,PER37,16
27,PER38,15
27,PER39,13
27,PER40,11
27,PER41,9
27,PER42,7
27,PER43,7
27,PER44,6
27,PER45,6
27,PER46,2
27,PER47,1
28,PER10,1
28,PER11,6
28,PER12,11
28,PER13,18
28,PER14,37
28,PER15,45
28,PER16,48
28,PER17,45
28,PER18,49
28,PER19,54
28,PER20,58
28,PER21,63
28,PER22,61
28,PER23,56
28,PER24,57
28,PER25,56
28,PER26,56
28,PER27,57
28,PER28,55
28,PER29,45
28,PER30,55
28,PER31,50
28,PER32,49
28,PER33,51
28,PER34,46
28,PER35,44
28,PER36,52
28,PER37,49
28,PER38,44
28,PER39,38
28,PER40,28
28,PER41,25
28,PER42,19
28,PER43,9
28,PER44,6
28,PER45,3
28,PER46,2
28,PER47,1
29,PER10,1
29,PER11,1
29,PER13,3
29,PER14,9
29,PER15,13
29,PER16,18
29,PER17,18
29,PER18,21
29,PER19,21
29,PER20,24
29,PER21,22
29,PER22,20
29,PER23,21
29,PER24,18
29,PER25,17
29,PER26,16
29,PER27,18
29,PER28,16
29,PER29,14
29,PER30,12
29,PER31,10
29,PER32,11
29,PER33,13
29,PER34,12
29,PER35,12
29,PER36,16
29,PER37,13
29,PER38,13
29,PER39,11
29,PER40,7
29,PER41,6
29,PER42,3
29,PER43,1
29,PER9,1
30,PER10,19
30,PER11,27
30,PER12,43
30,PER13,63
30,PER14,95
30,PER15,116
30,PER16,124
30,PER17,141
30,PER18,150
30,PER19,159
30,PER20,163
30,PER21,165
30,PER22,167
30,PER23,173
30,PER24,164
30,PER25,161
30,PER26,160
30,PER27,150
30,PER28,146
30,PER29,142
30,PER30,135
30,PER31,122
30,PER32,113
30,PER33,90
30,PER34,83
30,PER35,65
30,PER36,55
30,PER37,50
30,PER38,41
30,PER39,35
30,PER40,24
30,PER41,23
30,PER42,17
30,PER43,15
30,PER44,14
30,PER45,9
30,PER46,6
30,PER47,3
30,PER8,4
30,PER9,9
31,PER10,15
31,PER11,22
31,PER12,42
31,PER13,60
31,PER14,98
31,PER15,128
31,PER16,148
31,PER17,168
31,PER18,189
31,PER19,185
31,PER20,168
31,PER21,171
31,PER22,172
31,PER23,165
31,PER24,164
31,PER25,166
31,PER26,178
31,PER27,185
31,PER28,187
31,PER29,188
31,PER30,185
