PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,8,DISCRETIONARY,1509,1
FULL-TIME WORKER,8,EATING OUT,393,1
FULL-TIME WORKER,8,ESCORT,179,1
FULL-TIME WORKER,8,HOME,1349255,1
FULL-TIME WORKER,8,MAINTENANCE,812,1
FULL-TIME WORKER,8,SHOP,596,1
FULL-TIME WORKER,8,VISITING,355,1
FULL-TIME WORKER,8,WORK,23009,1
FULL-TIME WORKER,8,WORK-BASED,66,1
FULL-TIME WORKER,9,DISCRETIONARY,3260,1
FULL-TIME WORKER,9,EATING OUT,763,1
FULL-TIME WORKER,9,ESCORT,748,1
FULL-TIME WORKER,9,HOME,1321095,1
FULL-TIME WORKER,9,MAINTENANCE,1897,1
FULL-TIME WORKER,9,SHOP,1368,1
FULL-TIME WORKER,9,VISITING,692,1
FULL-TIME WORKER,9,WORK,46165,1
FULL-TIME WORKER,9,WORK-BASED,186,1
FULL-TIME WORKER,10,DISCRETIONARY,5219,1
FULL-TIME WORKER,10,EATING OUT,1010,1
FULL-TIME WORKER,10,ESCORT,2302,1
FULL-TIME WORKER,10,HOME,1252683,1
FULL-TIME WORKER,10,MAINTENANCE,3296,1
FULL-TIME WORKER,10,SHOP,2187,1
FULL-TIME WORKER,10,VISITING,948,1
FULL-TIME WORKER,10,WORK,108097,1
FULL-TIME WORKER,10,WORK-BASED,432,1
FULL-TIME WORKER,11,DISCRETIONARY,6923,1
FULL-TIME WORKER,11,EATING OUT,1115,1
FULL-TIME WORKER,11,ESCORT,4783,1
FULL-TIME WORKER,11,HOME,1177978,1
FULL-TIME WORKER,11,MAINTENANCE,5087,1
FULL-TIME WORKER,11,SHOP,2816,1
FULL-TIME WORKER,11,VISITING,1112,1
FULL-TIME WORKER,11,WORK,175580,1
FULL-TIME WORKER,11,WORK-BASED,780,1
FULL-TIME WORKER,12,DISCRETIONARY,7994,1
FULL-TIME WORKER,12,EATING OUT,1046,1
FULL-TIME WORKER,12,ESCORT,5951,1
FULL-TIME WORKER,12,HOME,1065681,1
FULL-TIME WORKER,12,MAINTENANCE,6617,1
FULL-TIME WORKER,12,SHOP,3108,1
FULL-TIME WORKER,12,VISITING,1239,1
FULL-TIME WORKER,12,WORK,283269,1
FULL-TIME WORKER,12,WORK-BASED,1269,1
FULL-TIME WORKER,13,DISCRETIONARY,8389,1
FULL-TIME WORKER,13,EATING OUT,898,1
FULL-TIME WORKER,13,ESCORT,11408,1
FULL-TIME WORKER,13,HOME,913883,1
FULL-TIME WORKER,13,MAINTENANCE,8004,1
FULL-TIME WORKER,13,SHOP,3262,1
FULL-TIME WORKER,13,VISITING,1239,1
FULL-TIME WORKER,13,WORK,427100,1
FULL-TIME WORKER,13,WORK-BASED,1991,1
FULL-TIME WORKER,14,DISCRETIONARY,9764,1
FULL-TIME WORKER,14,EATING OUT,798,1
FULL-TIME WORKER,14,ESCORT,24002,1
FULL-TIME WORKER,14,HOME,731760,1
FULL-TIME WORKER,14,MAINTENANCE,9812,1
FULL-TIME WORKER,14,SHOP,3272,1
FULL-TIME WORKER,14,VISITING,1372,1
FULL-TIME WORKER,14,WORK,592559,1
FULL-TIME WORKER,14,WORK-BASED,2835,1
FULL-TIME WORKER,15,DISCRETIONARY,11093,1
FULL-TIME WORKER,15,EATING OUT,768,1
FULL-TIME WORKER,15,ESCORT,23660,1
FULL-TIME WORKER,15,HOME,606576,1
FULL-TIME WORKER,15,MAINTENANCE,11082,1
FULL-TIME WORKER,15,SHOP,3567,1
FULL-TIME WORKER,15,VISITING,1604,1
FULL-TIME WORKER,15,WORK,713848,1
FULL-TIME WORKER,15,WORK-BASED,3976,1
FULL-TIME WORKER,16,DISCRETIONARY,12256,1
FULL-TIME WORKER,16,EATING OUT,778,1
FULL-TIME WORKER,16,ESCORT,14745,1
FULL-TIME WORKER,16,HOME,524333,1
FULL-TIME WORKER,16,MAINTENANCE,12658,1
FULL-TIME WORKER,16,SHOP,4311,1
FULL-TIME WORKER,16,VISITING,2095,1
FULL-TIME WORKER,16,WORK,799537,1
FULL-TIME WORKER,16,WORK-BASED,5461,1
FULL-TIME WORKER,17,DISCRETIONARY,13366,1
FULL-TIME WORKER,17,EATING OUT,808,1
FULL-TIME WORKER,17,ESCORT,6787,1
FULL-TIME WORKER,17,HOME,476418,1
FULL-TIME WORKER,17,MAINTENANCE,14551,1
FULL-TIME WORKER,17,SHOP,5853,1
FULL-TIME WORKER,17,VISITING,2865,1
FULL-TIME WORKER,17,WORK,848052,1
FULL-TIME WORKER,17,WORK-BASED,7474,1
FULL-TIME WORKER,18,DISCRETIONARY,14117,1
FULL-TIME WORKER,18,EATING OUT,872,1
FULL-TIME WORKER,18,ESCORT,5229,1
FULL-TIME WORKER,18,HOME,441649,1
FULL-TIME WORKER,18,MAINTENANCE,16803,1
FULL-TIME WORKER,18,SHOP,8470,1
FULL-TIME WORKER,18,VISITING,3571,1
FULL-TIME WORKER,18,WORK,875919,1
FULL-TIME WORKER,18,WORK-BASED,9544,1
FULL-TIME WORKER,19,DISCRETIONARY,13511,1
FULL-TIME WORKER,19,EATING OUT,997,1
FULL-TIME WORKER,19,ESCORT,4994,1
FULL-TIME WORKER,19,HOME,418360,1
FULL-TIME WORKER,19,MAINTENANCE,18526,1
FULL-TIME WORKER,19,SHOP,11863,1
FULL-TIME WORKER,19,VISITING,4213,1
FULL-TIME WORKER,19,WORK,891647,1
FULL-TIME WORKER,19,WORK-BASED,12063,1
FULL-TIME WORKER,20,DISCRETIONARY,13073,1
FULL-TIME WORKER,20,EATING OUT,1103,1
FULL-TIME WORKER,20,ESCORT,4966,1
FULL-TIME WORKER,20,HOME,397711,1
FULL-TIME WORKER,20,MAINTENANCE,19605,1
FULL-TIME WORKER,20,SHOP,14849,1
FULL-TIME WORKER,20,VISITING,4846,1
FULL-TIME WORKER,20,WORK,904797,1
FULL-TIME WORKER,20,WORK-BASED,15224,1
FULL-TIME WORKER,21,DISCRETIONARY,12656,1
FULL-TIME WORKER,21,EATING OUT,1895,1
FULL-TIME WORKER,21,ESCORT,5010,1
FULL-TIME WORKER,21,HOME,380586,1
FULL-TIME WORKER,21,MAINTENANCE,19882,1
FULL-TIME WORKER,21,SHOP,15928,1
FULL-TIME WORKER,21,VISITING,5226,1
FULL-TIME WORKER,21,WORK,915957,1
FULL-TIME WORKER,21,WORK-BASED,19034,1
FULL-TIME WORKER,22,DISCRETIONARY,11774,1
FULL-TIME WORKER,22,EATING OUT,2646,1
FULL-TIME WORKER,22,ESCORT,5139,1
FULL-TIME WORKER,22,HOME,354091,1
FULL-TIME WORKER,22,MAINTENANCE,18854,1
FULL-TIME WORKER,22,SHOP,15019,1
FULL-TIME WORKER,22,VISITING,5656,1
FULL-TIME WORKER,22,WORK,924976,1
FULL-TIME WORKER,22,WORK-BASED,38019,1
FULL-TIME WORKER,23,DISCRETIONARY,11023,1
FULL-TIME WORKER,23,EATING OUT,2826,1
FULL-TIME WORKER,23,ESCORT,5282,1
FULL-TIME WORKER,23,HOME,328549,1
FULL-TIME WORKER,23,MAINTENANCE,17426,1
FULL-TIME WORKER,23,SHOP,13691,1
FULL-TIME WORKER,23,VISITING,6176,1
FULL-TIME WORKER,23,WORK,931986,1
FULL-TIME WORKER,23,WORK-BASED,59215,1
FULL-TIME WORKER,24,DISCRETIONARY,10388,1
FULL-TIME WORKER,24,EATING OUT,2680,1
FULL-TIME WORKER,24,ESCORT,5562,1
FULL-TIME WORKER,24,HOME,323736,1
FULL-TIME WORKER,24,MAINTENANCE,15945,1
FULL-TIME WORKER,24,SHOP,12744,1
FULL-TIME WORKER,24,VISITING,5850,1
FULL-TIME WORKER,24,WORK,936894,1
FULL-TIME WORKER,24,WORK-BASED,62375,1
FULL-TIME WORKER,25,DISCRETIONARY,10015,1
