TRIPS BY MODE,NEST_MODE,SIMPLE_MODE,QUANTITY
AUTO           ,DRIVEALONE     ,DRIVEALONEFREE ,4957771
AUTO           ,DRIVEALONE     ,DRIVEALONEPAY  ,281027
AUTO           ,SHARED2        ,SHARED2FREE    ,2488034
AUTO           ,SHARED2        ,SHARED2PAY     ,21649
AUTO           ,SHARED3        ,SHARED3FREE    ,1656330
AUTO           ,SHARED3        ,SHARED3PAY     ,1630
NONMOTORIZED   ,BIKE           ,BIKE           ,125603
NONMOTORIZED   ,WALK           ,WALK           ,1196909
SCHOOL_BUS     ,SCHOOL_BUS     ,SCHOOL_BUS     ,195224
TRANSIT        ,KNR            ,KNR_LOCAL      ,2725
TRANSIT        ,KNR            ,KNR_PRMTRN     ,15511
TRANSIT        ,PNR            ,PNR_LOCAL      ,1220
TRANSIT        ,PNR            ,PNR_PRMTRN     ,21017
TRANSIT        ,WALK_TRANSIT   ,WALK_LOCAL     ,89355
TRANSIT        ,WALK_TRANSIT   ,WALK_PRMTRN    ,243173
